mode,leverage,pos_ratio,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,sma_fast,sma_slow
long_only,2,1.0,5,5,0,60.0,308.51,73.52,4.2,100,200
long_only,3,0.5,5,5,0,60.0,290.57,63.28,4.59,100,200
long_only,2,0.5,5,5,0,60.0,226.7,52.07,4.35,100,200
long_only,1,1.0,5,5,0,60.0,226.7,52.07,4.35,100,200
long_only,3,1.0,5,5,0,60.0,172.36,93.02,1.85,100,200
long_only,1,0.5,5,5,0,60.0,126.43,38.55,3.28,100,200
long_only,2,0.5,6,6,0,50.0,122.87,56.07,2.19,100,150
long_only,1,1.0,6,6,0,50.0,122.87,56.07,2.19,100,150
long_short,2,0.5,10,5,5,60.0,105.42,71.73,1.47,100,200
long_short,1,1.0,10,5,5,60.0,105.42,71.73,1.47,100,200
long_only,1,0.5,6,6,0,50.0,94.77,39.57,2.4,100,150
long_only,3,0.5,6,6,0,50.0,93.97,69.77,1.35,100,150
long_short,1,0.5,10,5,5,60.0,83.37,48.39,1.72,100,200
long_short,3,0.5,10,5,5,60.0,80.19,91.89,0.87,100,200
long_only,2,0.5,6,6,0,33.3,58.41,63.67,0.92,50,150
long_only,1,1.0,6,6,0,33.3,58.41,63.67,0.92,50,150
long_only,1,0.5,6,6,0,33.3,54.84,42.54,1.29,50,150
long_only,1,0.5,6,6,0,33.3,46.83,44.45,1.05,50,200
long_only,3,0.5,6,6,0,33.3,33.67,77.27,0.44,50,150
long_only,1,0.5,7,7,0,28.6,31.81,45.1,0.71,20,150
long_only,1,1.0,7,7,0,28.6,29.09,68.16,0.43,20,150
long_only,2,0.5,7,7,0,28.6,29.09,68.16,0.43,20,150
long_short,1,0.5,12,6,6,41.7,28.59,55.19,0.52,100,150
long_short,2,1.0,10,5,5,60.0,27.56,111.03,0.25,100,200
long_only,2,1.0,6,6,0,50.0,24.27,82.56,0.29,100,150
long_only,1,0.5,9,9,0,11.1,23.4,42.54,0.55,20,200
long_only,1,1.0,6,6,0,33.3,23.19,68.64,0.34,50,200
long_only,2,0.5,6,6,0,33.3,23.19,68.64,0.34,50,200
long_only,3,0.5,7,7,0,28.6,7.26,81.4,0.09,20,150
long_only,1,1.0,9,9,0,11.1,5.56,66.14,0.08,20,200
long_only,2,0.5,9,9,0,11.1,5.56,66.14,0.08,20,200
long_only,2,1.0,6,6,0,33.3,-2.35,85.89,-0.03,50,150
long_short,1,1.0,12,6,6,41.7,-18.84,78.46,-0.24,100,150
long_short,2,0.5,12,6,6,41.7,-18.84,78.46,-0.24,100,150
long_only,2,1.0,7,7,0,28.6,-21.84,89.4,-0.24,20,150
long_short,1,0.5,12,6,6,25.0,-22.49,60.99,-0.37,50,150
long_only,3,0.5,6,6,0,33.3,-23.75,82.62,-0.29,50,200
long_only,3,0.5,9,9,0,11.1,-25.03,80.65,-0.31,20,200
long_short,1,0.5,14,7,7,21.4,-34.84,65.91,-0.53,20,150
long_short,1,0.5,12,6,6,25.0,-35.27,67.92,-0.52,50,200
long_short,1,0.5,18,9,9,16.7,-43.97,69.64,-0.63,20,200
long_only,2,1.0,9,9,0,11.1,-54.01,90.18,-0.6,20,200
long_only,2,1.0,6,6,0,33.3,-66.34,90.87,-0.73,50,200
long_only,3,1.0,6,6,0,33.3,-66.8,96.39,-0.69,50,150
long_short,2,0.5,12,6,6,25.0,-69.14,86.63,-0.8,50,150
long_short,1,1.0,12,6,6,25.0,-69.14,86.63,-0.8,50,150
long_only,3,1.0,7,7,0,28.6,-72.7,97.86,-0.74,20,150
long_short,3,0.5,12,6,6,41.7,-73.0,92.53,-0.79,100,150
long_short,2,0.5,14,7,7,21.4,-73.46,88.67,-0.83,20,150
long_short,1,1.0,14,7,7,21.4,-73.46,88.67,-0.83,20,150
long_short,3,1.0,10,5,5,60.0,-75.92,148.14,-0.51,100,200
long_short,1,1.0,12,6,6,25.0,-81.38,91.6,-0.89,50,200
long_short,2,0.5,12,6,6,25.0,-81.38,91.6,-0.89,50,200
long_short,2,0.5,18,9,9,16.7,-81.61,92.18,-0.89,20,200
long_short,1,1.0,18,9,9,16.7,-81.61,92.18,-0.89,20,200
long_only,3,1.0,9,9,0,11.1,-89.36,106.77,-0.84,20,200
long_short,3,0.5,14,7,7,21.4,-93.07,96.95,-0.96,20,150
long_short,3,0.5,12,6,6,25.0,-94.42,97.33,-0.97,50,150
long_short,3,0.5,18,9,9,16.7,-96.05,98.4,-0.98,20,200
long_short,3,0.5,12,6,6,25.0,-97.54,98.63,-0.99,50,200
long_short,2,1.0,14,7,7,21.4,-99.16,99.68,-0.99,20,150
long_short,2,1.0,18,9,9,16.7,-99.5,99.77,-1.0,20,200
long_short,2,1.0,12,6,6,41.7,-99.5,102.56,-0.97,100,150
long_short,2,1.0,12,6,6,25.0,-99.95,103.82,-0.96,50,200
long_short,2,1.0,10,5,5,20.0,-100.0,100.72,-0.99,50,150
long_short,3,1.0,6,3,3,16.7,-100.0,106.77,-0.94,20,200
long_only,3,1.0,6,6,0,50.0,-100.0,107.13,-0.93,100,150
long_short,3,1.0,2,1,1,0.0,-100.0,101.35,-0.99,50,150
long_short,3,1.0,2,1,1,0.0,-100.0,115.18,-0.87,50,200
long_short,3,1.0,12,6,6,16.7,-100.0,100.01,-1.0,20,150
long_short,3,1.0,2,1,1,0.0,-100.0,108.34,-0.92,100,150
long_only,3,1.0,6,6,0,33.3,-100.0,103.12,-0.97,50,200
