entry_pct,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,sharpe
1.5,3.0,1.0,0.2,5,0.3,147,20.4,111.54,8.28,13.47
1.0,2.0,3.0,0.6,5,0.3,436,31.7,107.88,13.81,7.81
1.5,3.0,2.0,0.4,5,0.3,145,24.8,103.78,13.61,7.62
1.5,5.0,10.0,5.0,2,0.3,101,62.4,90.45,12.45,7.27
1.5,2.0,1.0,0.2,5,0.3,149,26.8,88.14,3.98,22.17
1.5,5.0,3.0,0.6,5,0.3,142,18.3,85.75,24.05,3.57
1.5,3.0,3.0,0.6,5,0.3,145,27.6,81.21,20.66,3.93
1.5,3.0,2.0,0.5,4,0.3,145,26.9,76.44,13.67,5.59
1.5,2.0,2.0,0.4,5,0.3,147,32.0,76.4,7.37,10.37
1.5,5.0,2.0,0.4,5,0.3,144,14.6,75.61,19.41,3.89
1.5,5.0,1.0,0.2,5,0.3,146,11.0,73.0,11.13,6.56
1.5,3.0,1.0,0.25,4,0.3,146,20.5,71.2,7.74,9.2
2.0,5.0,5.0,1.0,5,0.3,58,29.3,68.76,9.56,7.19
1.5,5.0,3.0,0.75,4,0.3,140,20.7,67.97,17.26,3.94
1.5,5.0,2.0,0.5,4,0.3,142,16.9,67.91,19.58,3.47
1.5,3.0,1.0,0.2,5,0.2,147,20.4,65.83,5.59,11.77
1.0,2.0,3.0,0.6,5,0.2,436,31.7,65.47,9.38,6.98
1.5,5.0,10.0,2.0,5,0.3,126,34.9,64.19,33.16,1.94
1.5,3.0,2.0,0.4,5,0.2,145,24.8,62.01,9.26,6.7
1.5,3.0,5.0,1.0,5,0.3,142,33.8,61.54,25.78,2.39
1.5,5.0,5.0,1.6667,3,0.3,129,33.3,61.13,17.53,3.49
1.5,3.0,1.0,0.3333,3,0.3,146,24.0,59.64,7.19,8.29
1.5,3.0,10.0,2.0,5,0.3,130,47.7,58.92,34.13,1.73
1.5,2.0,1.0,0.25,4,0.3,148,27.0,56.35,4.24,13.3
1.5,3.0,5.0,1.6667,3,0.3,134,46.3,55.76,16.91,3.3
1.5,5.0,10.0,5.0,2,0.2,101,62.4,55.18,8.37,6.59
1.0,2.0,1.0,0.2,5,0.3,460,16.7,54.63,10.39,5.26
1.5,3.0,3.0,0.75,4,0.3,144,29.9,54.52,13.7,3.98
1.5,5.0,5.0,1.0,5,0.3,137,22.6,54.46,28.03,1.94
1.5,5.0,3.0,0.6,5,0.2,142,18.3,53.52,16.73,3.2
1.5,5.0,2.0,0.6667,3,0.3,141,19.9,53.06,11.75,4.52
1.5,2.0,1.0,0.2,5,0.2,149,26.8,52.97,2.67,19.86
1.0,2.0,2.0,0.5,4,0.3,444,27.5,52.67,8.7,6.05
1.0,2.0,2.0,0.6667,3,0.3,436,33.0,52.11,9.69,5.38
1.5,3.0,3.0,0.6,5,0.2,145,27.6,50.03,14.19,3.53
1.5,3.0,2.0,0.6667,3,0.3,145,29.7,49.39,8.44,5.85
