entry_pct,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,sharpe
1.0,1.0,1.0,0.2,5,0.3,1171,33.3,450.49,11.98,37.6
1.0,2.0,1.0,0.2,5,0.3,1137,18.3,422.54,21.57,19.59
1.0,3.0,1.0,0.2,5,0.3,1107,12.6,394.5,24.68,15.99
1.0,5.0,1.0,0.2,5,0.3,1072,7.7,315.69,27.48,11.49
1.0,2.0,1.0,0.25,4,0.3,1128,19.8,237.72,19.06,12.47
1.0,1.0,1.0,0.25,4,0.3,1163,34.9,223.47,12.38,18.05
1.0,1.0,1.0,0.2,5,0.2,1171,33.3,214.76,8.14,26.39
1.0,2.0,1.0,0.2,5,0.2,1137,18.3,207.29,14.76,14.05
1.0,3.0,1.0,0.2,5,0.2,1107,12.6,199.16,17.15,11.62
1.5,2.0,1.0,0.2,5,0.3,380,22.6,197.41,8.21,24.05
1.5,5.0,1.0,0.2,5,0.3,370,9.7,184.66,20.96,8.81
1.5,3.0,3.0,0.6,5,0.3,362,25.1,175.54,19.76,8.88
2.0,5.0,1.0,0.2,5,0.3,177,13.6,174.98,6.61,26.47
1.0,3.0,1.0,0.25,4,0.3,1095,13.3,171.58,23.53,7.29
1.0,5.0,1.0,0.2,5,0.2,1072,7.7,171.3,19.08,8.98
1.5,3.0,1.0,0.2,5,0.3,376,15.2,168.48,9.51,17.71
1.5,2.0,3.0,0.6,5,0.3,368,34.2,167.94,16.2,10.37
2.0,3.0,1.0,0.2,5,0.3,181,21.0,164.45,4.84,33.99
1.5,2.0,1.0,0.25,4,0.3,379,25.1,157.46,6.82,23.09
1.0,1.0,2.0,0.4,5,0.3,1153,39.8,153.23,27.32,5.61
1.5,5.0,3.0,0.6,5,0.3,354,16.1,147.7,32.06,4.61
1.5,2.0,5.0,1.0,5,0.3,360,42.8,145.86,20.24,7.21
2.0,2.0,1.0,0.2,5,0.3,184,28.8,145.46,5.17,28.14
1.5,2.0,2.0,0.4,5,0.3,374,27.5,134.81,12.43,10.85
2.0,2.0,2.0,0.4,5,0.3,182,34.1,131.26,9.57,13.72
1.5,2.0,10.0,2.0,5,0.3,340,57.4,131.22,24.43,5.37
1.0,2.0,1.0,0.25,4,0.2,1128,19.8,128.35,12.99,9.88
2.0,5.0,2.0,0.4,5,0.3,172,15.7,127.7,10.74,11.89
1.5,2.0,2.0,0.5,4,0.3,371,31.5,122.92,10.81,11.37
2.0,5.0,1.0,0.25,4,0.3,175,14.3,121.8,6.73,18.09
2.0,2.0,3.0,0.6,5,0.3,181,38.7,121.43,14.1,8.61
1.0,1.0,1.0,0.25,4,0.2,1163,34.9,120.19,8.41,14.3
1.0,2.0,2.0,0.4,5,0.3,1107,23.1,119.51,40.7,2.94
2.0,1.0,1.0,0.2,5,0.3,189,48.1,117.66,3.13,37.58
1.0,5.0,1.0,0.25,4,0.3,1055,8.1,116.64,23.37,4.99
