entry_pct,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,sharpe
1.0,2.0,1.0,0.2,5,0.3,2877,17.8,3884.17,25.03,155.2
2.0,5.0,1.0,0.2,5,0.3,531,15.1,3700.63,10.73,345.0
1.5,3.0,1.0,0.2,5,0.3,1050,16.1,2403.64,18.94,126.94
2.0,5.0,2.0,0.4,5,0.3,517,17.4,2273.06,20.02,113.56
1.0,3.0,1.0,0.2,5,0.3,2788,11.9,2127.3,41.4,51.39
2.0,5.0,3.0,0.6,5,0.3,511,20.4,2072.05,25.29,81.93
1.5,3.0,2.0,0.4,5,0.3,1029,20.5,1584.87,23.45,67.58
2.0,5.0,1.0,0.25,4,0.3,526,15.4,1469.7,10.2,144.1
2.0,3.0,1.0,0.2,5,0.3,543,20.3,1432.11,9.44,151.66
1.0,5.0,1.0,0.2,5,0.3,2641,7.3,1307.62,47.93,27.28
2.0,5.0,5.0,1.0,5,0.3,500,25.0,1280.35,24.95,51.32
1.0,2.0,1.0,0.25,4,0.3,2858,19.1,1249.03,29.78,41.94
1.0,3.0,1.0,0.25,4,0.3,2762,13.3,1130.29,38.43,29.41
1.0,2.0,1.0,0.2,5,0.2,2877,17.8,1126.32,17.27,65.23
1.5,5.0,1.0,0.2,5,0.3,1018,9.2,1115.34,31.44,35.47
1.5,2.0,1.0,0.2,5,0.3,1063,21.0,1089.48,18.91,57.63
2.0,5.0,1.0,0.2,5,0.2,531,15.1,1082.83,7.28,148.74
1.5,3.0,1.0,0.25,4,0.3,1044,17.0,1050.06,14.69,71.48
2.0,3.0,2.0,0.4,5,0.3,533,24.0,1002.11,12.96,77.33
1.5,3.0,3.0,0.6,5,0.3,1013,24.3,977.14,32.81,29.78
2.0,5.0,3.0,0.75,4,0.3,510,22.0,914.97,24.22,37.78
2.0,2.0,1.0,0.2,5,0.3,546,26.6,862.75,6.51,132.47
2.0,3.0,3.0,0.6,5,0.3,529,27.8,825.98,19.06,43.34
2.0,5.0,2.0,0.5,4,0.3,512,18.0,820.97,23.55,34.86
2.0,5.0,5.0,1.25,4,0.3,494,28.3,817.09,21.78,37.52
1.5,3.0,1.0,0.2,5,0.2,1050,16.1,787.05,13.03,60.4
1.0,5.0,1.0,0.25,4,0.3,2603,8.2,775.61,39.09,19.84
2.0,5.0,2.0,0.4,5,0.2,517,17.4,770.34,13.77,55.96
1.0,3.0,1.0,0.2,5,0.2,2788,11.9,750.93,29.86,25.15
2.0,5.0,3.0,0.6,5,0.2,511,20.4,728.81,17.53,41.57
1.5,3.0,2.0,0.5,4,0.3,1021,22.4,724.04,23.42,30.91
2.0,3.0,1.0,0.25,4,0.3,541,21.1,717.61,8.84,81.17
1.0,3.0,2.0,0.4,5,0.3,2687,16.6,690.19,58.93,11.71
2.0,5.0,1.0,0.3333,3,0.3,523,16.6,676.45,10.71,63.19
1.5,5.0,2.0,0.4,5,0.3,981,12.2,659.5,34.08,19.35
1.5,2.0,2.0,0.4,5,0.3,1046,26.5,633.86,31.0,20.45
1.5,3.0,2.0,0.4,5,0.2,1029,20.5,589.13,16.16,36.45
1.0,5.0,1.0,0.2,5,0.2,2641,7.3,552.36,35.18,15.7
2.0,5.0,1.0,0.25,4,0.2,526,15.4,546.04,6.88,79.36
2.0,2.0,2.0,0.4,5,0.3,539,30.8,539.49,11.92,45.24
2.0,3.0,1.0,0.2,5,0.2,543,20.3,531.23,6.39,83.08
