entry_pct,tp_pct,sl_capital,sl_price_pct,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,sharpe
1.0,5.0,1.0,0.2,5,0.3,1699,9.0,4721.68,29.7,158.97
1.0,3.0,1.0,0.2,5,0.3,1803,14.0,4075.94,18.84,216.39
1.5,3.0,1.0,0.2,5,0.3,710,19.4,2595.53,9.85,263.5
1.0,2.0,1.0,0.2,5,0.3,1874,19.1,2322.5,15.84,146.62
1.5,3.0,2.0,0.4,5,0.3,701,23.7,1987.95,15.89,125.08
1.0,5.0,2.0,0.4,5,0.3,1588,11.8,1408.13,30.45,46.24
1.0,5.0,1.0,0.2,5,0.2,1699,9.0,1346.95,20.93,64.37
1.0,3.0,2.0,0.4,5,0.3,1735,18.1,1344.17,23.41,57.41
1.0,5.0,1.0,0.25,4,0.3,1671,9.5,1325.83,22.82,58.1
1.5,2.0,1.0,0.2,5,0.3,727,25.0,1321.92,7.03,188.05
2.0,5.0,10.0,2.0,5,0.3,313,39.3,1302.79,29.36,44.37
1.0,3.0,1.0,0.2,5,0.2,1803,14.0,1170.41,12.94,90.44
1.0,3.0,1.0,0.25,4,0.3,1785,14.6,1132.72,17.56,64.51
1.5,3.0,1.0,0.25,4,0.3,710,20.1,1122.79,9.22,121.73
1.5,5.0,1.0,0.2,5,0.3,682,10.6,952.51,24.44,38.97
2.0,5.0,1.0,0.2,5,0.3,353,14.7,926.92,11.13,83.29
1.5,3.0,3.0,0.6,5,0.3,684,26.2,887.3,20.72,42.83
1.5,2.0,2.0,0.4,5,0.3,719,29.9,844.94,12.78,66.11
1.5,3.0,1.0,0.2,5,0.2,710,19.4,825.4,6.67,123.66
1.0,2.0,1.0,0.2,5,0.2,1874,19.1,766.72,10.82,70.88
2.0,5.0,2.0,0.4,5,0.3,349,17.5,764.5,17.83,42.87
1.0,2.0,1.0,0.25,4,0.3,1859,20.1,760.56,16.73,45.45
1.0,3.0,3.0,0.6,5,0.3,1661,22.2,694.37,31.99,21.71
1.5,3.0,2.0,0.5,4,0.3,694,24.6,691.68,15.35,45.07
1.5,3.0,2.0,0.4,5,0.2,701,23.7,686.53,10.88,63.07
1.5,5.0,2.0,0.4,5,0.3,665,13.5,679.15,37.83,17.95
1.0,3.0,2.0,0.5,4,0.3,1697,20.3,661.63,19.69,33.61
2.0,3.0,1.0,0.2,5,0.3,365,21.4,658.07,11.13,59.14
2.0,5.0,3.0,0.6,5,0.3,344,20.1,631.45,18.23,34.64
1.0,5.0,1.0,0.3333,3,0.3,1625,10.9,623.27,21.81,28.58
1.5,3.0,1.0,0.3333,3,0.3,705,22.6,611.24,8.59,71.14
1.0,3.0,1.0,0.3333,3,0.3,1762,16.9,606.78,13.77,44.06
1.0,5.0,2.0,0.4,5,0.2,1588,11.8,583.03,21.38,27.27
1.5,2.0,1.0,0.25,4,0.3,726,25.6,581.44,6.76,85.97
1.0,3.0,2.0,0.4,5,0.2,1735,18.1,537.2,16.25,33.05
2.0,5.0,10.0,2.0,5,0.2,313,39.3,536.31,19.94,26.89
1.0,2.0,2.0,0.4,5,0.3,1814,24.0,529.95,21.43,24.73
1.0,5.0,1.0,0.25,4,0.2,1671,9.5,524.28,15.82,33.14
1.5,5.0,1.0,0.25,4,0.3,679,11.2,506.89,22.77,22.26
1.0,1.0,1.0,0.2,5,0.3,1935,30.3,498.64,14.46,34.49
1.5,2.0,1.0,0.2,5,0.2,727,25.0,497.07,4.74,104.88
2.0,2.0,1.0,0.2,5,0.3,372,28.5,491.74,6.12,80.39
2.0,5.0,10.0,2.5,4,0.3,300,42.3,488.13,29.0,16.83
1.0,5.0,2.0,0.5,4,0.3,1538,13.0,479.6,26.99,17.77
2.0,3.0,10.0,2.0,5,0.3,335,49.9,465.64,26.69,17.45
2.0,5.0,2.0,0.5,4,0.3,348,19.0,465.32,12.88,36.14
2.0,3.0,2.0,0.4,5,0.3,364,24.5,457.5,18.66,24.52
1.0,3.0,1.0,0.25,4,0.2,1785,14.6,453.62,12.04,37.66
2.0,5.0,1.0,0.25,4,0.3,352,14.8,451.46,10.42,43.34
1.5,3.0,1.0,0.25,4,0.2,710,20.1,441.28,6.24,70.68
1.0,5.0,3.0,0.6,5,0.3,1493,14.3,434.23,40.02,10.85
