entry_pct,tp_pct,sl_pct,leverage,pos_ratio,rr_ratio,total_trades,win_rate,avg_tp_pct,avg_sl_pct,expectancy,total_return_pct,mdd_pct,max_consec_losses,sharpe
1.5,3.0,0.5,10,30,6.0,1021,22.4,29.0,-6.0,1.85,11090.87,49.72,18,223.075
1.5,3.0,0.5,7,30,6.0,1021,22.4,20.3,-4.2,1.295,3196.11,37.74,18,84.698
1.5,3.0,0.5,10,20,6.0,1021,22.4,29.0,-6.0,1.85,2749.17,36.26,18,75.81
1.5,2.0,0.5,10,30,4.0,1043,28.9,19.0,-6.0,1.215,2373.4,71.57,18,33.161
1.5,3.0,0.8,10,30,3.75,996,27.2,29.0,-9.0,1.339,1484.95,70.0,15,21.214
1.5,3.0,0.5,5,30,6.0,1021,22.4,14.5,-3.0,0.925,1233.85,28.45,18,43.367
1.5,3.0,0.5,7,20,6.0,1021,22.4,20.3,-4.2,1.295,1038.98,26.79,18,38.776
1.5,2.0,0.5,7,30,4.0,1043,28.9,13.3,-4.2,0.85,967.49,57.49,18,16.828
1.5,2.0,0.5,10,20,4.0,1043,28.9,19.0,-6.0,1.215,866.18,55.61,18,15.577
1.5,3.0,0.8,7,30,3.75,996,27.2,20.3,-6.3,0.938,791.05,54.77,15,14.444
1.5,1.5,0.5,10,30,3.0,1059,34.0,14.0,-6.0,0.799,728.53,84.52,17,8.62
1.5,3.0,0.8,10,20,3.75,996,27.2,29.0,-9.0,1.339,724.98,52.79,15,13.733
1.5,2.0,0.8,10,30,2.5,1026,35.3,19.0,-9.0,0.879,563.85,79.71,13,7.073
1.5,3.0,0.5,5,20,6.0,1021,22.4,14.5,-3.0,0.925,493.11,19.84,18,24.854
1.5,3.0,0.5,10,10,6.0,1021,22.4,29.0,-6.0,1.85,493.11,19.84,18,24.854
1.5,2.0,0.5,5,30,4.0,1043,28.9,9.5,-3.0,0.607,475.63,45.07,18,10.554
1.5,3.0,0.8,5,30,3.75,996,27.2,14.5,-4.5,0.67,439.32,42.57,15,10.32
1.5,3.0,1.5,10,30,2.0,915,38.5,29.0,-16.0,1.311,431.38,94.62,13,4.559
1.5,2.0,0.5,7,20,4.0,1043,28.9,13.3,-4.2,0.85,416.98,42.72,18,9.761
1.5,3.0,1.0,10,30,3.0,969,30.1,29.0,-11.0,1.054,416.12,86.79,14,4.794
1.5,3.0,0.5,3,30,6.0,1021,22.4,8.7,-1.8,0.555,401.2,18.02,18,22.267
1.5,3.0,0.8,7,20,3.75,996,27.2,20.3,-6.3,0.938,391.39,40.35,15,9.699
1.5,1.5,0.5,7,30,3.0,1059,34.0,9.8,-4.2,0.559,379.72,72.08,17,5.268
1.5,3.0,1.5,7,30,2.0,915,38.5,20.3,-11.2,0.918,379.46,85.26,13,4.45
1.5,3.0,1.5,10,20,2.0,915,38.5,29.0,-16.0,1.311,364.28,83.63,13,4.356
1.5,1.5,0.5,10,20,3.0,1059,34.0,14.0,-6.0,0.799,349.39,70.24,17,4.974
1.5,2.0,0.8,7,30,2.5,1026,35.3,13.3,-6.3,0.615,345.21,64.71,13,5.335
1.5,2.0,0.8,10,20,2.5,1026,35.3,19.0,-9.0,0.879,322.15,62.62,13,5.144
