retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,n_bos,n_zones
0.5,0.786,1.618,0.002,7,0.2,ob_only,157,26.1,78.38,18.24,4.3,1783.75,8,btc,1H,355,842
0.5,0.786,1.618,0.002,5,0.2,ob_only,157,26.1,54.29,13.35,4.07,1542.93,8,btc,1H,355,842
0.5,0.786,1.618,0.002,7,0.2,both,186,23.1,82.5,20.94,3.94,1825.04,8,btc,1H,355,842
0.5,0.786,1.618,0.002,7,0.1,ob_only,157,26.1,36.96,9.52,3.88,1369.55,8,btc,1H,355,842
0.5,0.786,1.618,0.002,3,0.2,ob_only,157,26.1,31.35,8.21,3.82,1313.52,8,btc,1H,355,842
0.5,0.786,1.618,0.002,5,0.1,ob_only,157,26.1,25.85,6.88,3.76,1258.49,8,btc,1H,355,842
0.5,0.786,1.618,0.002,5,0.2,both,186,23.1,57.24,15.4,3.72,1572.37,8,btc,1H,355,842
0.5,0.786,1.618,0.002,3,0.1,ob_only,157,26.1,15.16,4.18,3.63,1151.6,8,btc,1H,355,842
0.5,0.786,1.618,0.002,7,0.1,both,186,23.1,38.97,11.02,3.54,1389.71,8,btc,1H,355,842
0.5,0.786,1.618,0.002,3,0.2,both,186,23.1,33.06,9.52,3.47,1330.62,8,btc,1H,355,842
0.5,0.786,1.618,0.002,5,0.1,both,186,23.1,27.25,7.99,3.41,1272.55,8,btc,1H,355,842
0.5,0.786,1.618,0.002,3,0.1,both,186,23.1,15.98,4.87,3.28,1159.79,8,btc,1H,355,842
0.5,0.786,2.0,0.002,7,0.2,ob_only,151,20.5,62.3,22.25,2.8,1623.05,8,btc,1H,355,842
0.5,0.786,2.0,0.002,5,0.2,ob_only,151,20.5,44.82,16.42,2.73,1448.21,8,btc,1H,355,842
0.5,0.786,2.0,0.002,7,0.1,ob_only,151,20.5,31.31,11.78,2.66,1313.12,8,btc,1H,355,842
0.5,0.786,2.0,0.002,7,0.2,both,177,18.1,61.85,23.41,2.64,1618.5,8,btc,1H,355,842
0.5,0.786,1.618,0.005,7,0.2,both,174,28.7,76.15,28.88,2.64,1761.51,8,btc,1H,355,842
0.5,0.786,2.0,0.002,3,0.2,ob_only,151,20.5,26.78,10.18,2.63,1267.84,8,btc,1H,355,842
0.5,0.786,2.0,0.002,5,0.1,ob_only,151,20.5,22.26,8.55,2.6,1222.6,8,btc,1H,355,842
0.5,0.786,2.0,0.002,5,0.2,both,177,18.1,44.86,17.31,2.59,1448.58,8,btc,1H,355,842
0.5,0.786,2.0,0.002,3,0.1,ob_only,151,20.5,13.26,5.22,2.54,1132.58,8,btc,1H,355,842
0.5,0.786,2.0,0.002,7,0.1,both,177,18.1,31.5,12.44,2.53,1314.98,8,btc,1H,355,842
0.5,0.786,1.618,0.005,5,0.2,both,174,28.7,53.64,21.28,2.52,1536.43,8,btc,1H,355,842
0.5,0.786,2.0,0.002,3,0.2,both,177,18.1,26.99,10.75,2.51,1269.85,8,btc,1H,355,842
0.5,0.786,2.0,0.002,5,0.1,both,177,18.1,22.46,9.04,2.48,1224.59,8,btc,1H,355,842
0.5,0.786,2.0,0.002,3,0.1,both,177,18.1,13.41,5.52,2.43,1134.11,8,btc,1H,355,842
