retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,n_bos,n_zones
0.382,0.618,2.0,0.002,7,0.2,fvg_only,42,16.7,330.74,19.74,16.75,4307.41,3,eth,4H,206,341
0.382,0.618,2.0,0.002,5,0.2,fvg_only,42,16.7,206.16,14.5,14.22,3061.58,3,eth,4H,206,341
0.382,0.618,2.0,0.002,7,0.1,fvg_only,42,16.7,129.13,10.36,12.46,2291.32,3,eth,4H,206,341
0.382,0.618,2.0,0.002,3,0.2,fvg_only,42,16.7,106.47,8.94,11.9,2064.75,3,eth,4H,206,341
0.382,0.618,1.618,0.002,7,0.2,fvg_only,43,18.6,237.51,19.97,11.89,3375.15,3,eth,4H,206,341
0.382,0.618,2.0,0.002,5,0.1,fvg_only,42,16.7,85.28,7.51,11.36,1852.79,3,eth,4H,206,341
0.382,0.618,1.618,0.002,5,0.2,fvg_only,43,18.6,151.99,14.63,10.39,2519.88,3,eth,4H,206,341
0.382,0.618,2.0,0.002,3,0.1,fvg_only,42,16.7,47.14,4.57,10.32,1471.43,3,eth,4H,206,341
0.382,0.618,2.0,0.005,7,0.2,fvg_only,42,16.7,271.37,27.18,9.99,3713.65,3,eth,4H,206,341
0.382,0.618,1.618,0.002,7,0.1,fvg_only,43,18.6,97.34,10.44,9.33,1973.36,3,eth,4H,206,341
0.382,0.618,1.618,0.002,3,0.2,fvg_only,43,18.6,80.89,9.0,8.99,1808.92,3,eth,4H,206,341
0.382,0.618,2.0,0.005,5,0.2,fvg_only,42,16.7,175.53,19.99,8.78,2755.25,3,eth,4H,206,341
0.382,0.618,1.618,0.002,5,0.1,fvg_only,43,18.6,65.32,7.55,8.65,1653.17,3,eth,4H,206,341
0.382,0.618,1.618,0.005,7,0.2,fvg_only,43,20.9,214.22,25.54,8.39,3142.21,3,eth,4H,206,341
0.382,0.618,1.618,0.002,3,0.1,fvg_only,43,18.6,36.73,4.59,8.01,1367.27,3,eth,4H,206,341
0.382,0.618,2.0,0.005,7,0.1,fvg_only,42,16.7,112.89,14.29,7.9,2128.9,3,eth,4H,206,341
0.382,0.618,2.0,0.005,3,0.2,fvg_only,42,16.7,93.88,12.33,7.62,1938.79,3,eth,4H,206,341
0.382,0.618,1.618,0.002,7,0.2,fvg_only,45,15.6,145.09,19.16,7.57,2450.91,8,eth,4H,93,229
0.382,0.618,1.618,0.005,5,0.2,fvg_only,43,20.9,139.67,18.89,7.39,2396.72,3,eth,4H,206,341
0.382,0.618,2.0,0.005,5,0.1,fvg_only,42,16.7,75.82,10.34,7.33,1758.22,3,eth,4H,206,341
0.382,0.786,2.0,0.002,7,0.2,fvg_only,45,13.3,168.98,23.15,7.3,2689.79,3,eth,4H,206,341
0.382,0.618,1.618,0.002,5,0.2,fvg_only,45,15.6,98.3,14.05,6.99,1982.95,8,eth,4H,93,229
0.382,0.618,1.272,0.002,7,0.2,fvg_only,47,17.0,134.19,19.48,6.89,2341.91,8,eth,4H,93,229
0.382,0.618,1.272,0.002,7,0.2,fvg_only,43,18.6,142.65,20.87,6.83,2426.52,3,eth,4H,206,341
0.382,0.786,2.0,0.002,5,0.2,fvg_only,45,13.3,114.98,16.87,6.81,2149.76,3,eth,4H,206,341
0.382,0.618,2.0,0.005,3,0.1,fvg_only,42,16.7,42.6,6.29,6.78,1426.0,3,eth,4H,206,341
0.382,0.618,1.618,0.005,7,0.1,fvg_only,43,20.9,90.63,13.58,6.67,1906.31,3,eth,4H,206,341
0.382,0.618,1.618,0.002,7,0.1,fvg_only,45,15.6,65.76,10.04,6.55,1657.64,8,eth,4H,93,229
0.382,0.618,1.618,0.005,3,0.2,fvg_only,43,20.9,75.64,11.74,6.44,1756.37,3,eth,4H,206,341
0.382,0.786,2.0,0.002,7,0.1,fvg_only,45,13.3,77.06,11.98,6.43,1770.6,3,eth,4H,206,341
0.382,0.618,1.618,0.002,3,0.2,fvg_only,45,15.6,55.47,8.66,6.4,1554.66,8,eth,4H,93,229
0.382,0.618,1.272,0.002,5,0.2,fvg_only,47,17.0,90.08,14.24,6.33,1900.85,8,eth,4H,93,229
0.382,0.786,2.0,0.002,3,0.2,fvg_only,45,13.3,65.01,10.31,6.3,1650.1,3,eth,4H,206,341
0.382,0.618,1.618,0.002,5,0.1,fvg_only,45,15.6,45.46,7.27,6.26,1454.57,8,eth,4H,93,229
0.382,0.618,1.272,0.002,5,0.2,fvg_only,43,18.6,95.6,15.33,6.24,1956.0,3,eth,4H,206,341
0.382,0.618,1.618,0.005,5,0.1,fvg_only,43,20.9,61.33,9.87,6.21,1613.25,3,eth,4H,206,341
0.382,0.786,2.0,0.002,5,0.1,fvg_only,45,13.3,53.28,8.63,6.17,1532.82,3,eth,4H,206,341
0.382,0.786,1.618,0.002,7,0.2,fvg_only,46,15.2,125.74,20.82,6.04,2257.35,3,eth,4H,206,341
0.382,0.618,1.618,0.002,3,0.1,fvg_only,45,15.6,26.33,4.42,5.96,1263.35,8,eth,4H,93,229
0.382,0.786,2.0,0.002,3,0.1,fvg_only,45,13.3,30.86,5.22,5.91,1308.56,3,eth,4H,206,341
0.382,0.618,1.272,0.002,7,0.1,fvg_only,47,17.0,59.92,10.14,5.91,1599.25,8,eth,4H,93,229
0.382,0.618,1.272,0.002,7,0.1,fvg_only,43,18.6,63.48,10.95,5.8,1634.82,3,eth,4H,206,341
0.382,0.618,1.618,0.005,3,0.1,fvg_only,43,20.9,34.76,6.03,5.77,1347.56,3,eth,4H,206,341
0.382,0.618,1.272,0.002,3,0.2,fvg_only,47,17.0,50.46,8.74,5.77,1504.55,8,eth,4H,93,229
0.382,0.786,1.618,0.002,5,0.2,fvg_only,46,15.2,86.76,15.28,5.68,1867.59,3,eth,4H,206,341
0.382,0.618,1.272,0.002,3,0.2,fvg_only,43,18.6,53.41,9.45,5.65,1534.14,3,eth,4H,206,341
0.382,0.618,1.272,0.002,5,0.1,fvg_only,47,17.0,41.28,7.32,5.64,1412.85,8,eth,4H,93,229
0.382,0.618,1.272,0.002,5,0.1,fvg_only,43,18.6,43.67,7.93,5.51,1436.73,3,eth,4H,206,341
0.382,0.786,1.618,0.002,7,0.1,fvg_only,46,15.2,58.86,10.92,5.39,1588.6,3,eth,4H,206,341
0.382,0.618,1.272,0.002,3,0.1,fvg_only,47,17.0,23.85,4.44,5.37,1238.51,8,eth,4H,93,229
0.382,0.786,1.618,0.002,3,0.2,fvg_only,46,15.2,49.88,9.42,5.29,1498.76,3,eth,4H,206,341
0.382,0.786,1.618,0.002,7,0.2,fvg_only,46,13.0,127.52,24.38,5.23,2275.24,8,eth,4H,93,229
0.382,0.618,1.272,0.002,3,0.1,fvg_only,43,18.6,25.19,4.83,5.22,1251.9,3,eth,4H,206,341
0.382,0.786,1.618,0.002,5,0.1,fvg_only,46,15.2,41.07,7.91,5.19,1410.66,3,eth,4H,206,341
0.382,0.786,1.618,0.002,3,0.1,fvg_only,46,15.2,24.01,4.81,4.99,1240.15,3,eth,4H,206,341
0.382,0.786,1.272,0.002,7,0.2,fvg_only,48,14.6,121.74,24.38,4.99,2217.35,8,eth,4H,93,229
0.382,0.618,1.272,0.005,7,0.2,fvg_only,47,19.1,126.8,25.59,4.95,2267.97,8,eth,4H,93,229
0.382,0.786,1.618,0.002,5,0.2,fvg_only,46,13.0,87.85,18.05,4.87,1878.48,8,eth,4H,93,229
0.382,0.618,2.0,0.002,7,0.2,fvg_only,43,11.6,92.72,19.16,4.84,1927.2,8,eth,4H,93,229
0.382,0.618,2.0,0.002,5,0.2,fvg_only,43,11.6,67.56,14.05,4.81,1675.61,8,eth,4H,93,229
0.382,0.618,2.0,0.002,7,0.1,fvg_only,43,11.6,47.76,10.04,4.76,1477.57,8,eth,4H,93,229
0.382,0.618,2.0,0.002,3,0.2,fvg_only,43,11.6,41.03,8.66,4.74,1410.26,8,eth,4H,93,229
0.382,0.618,2.0,0.002,5,0.1,fvg_only,43,11.6,34.25,7.27,4.71,1342.47,8,eth,4H,93,229
0.382,0.618,2.0,0.002,3,0.1,fvg_only,43,11.6,20.59,4.42,4.66,1205.86,8,eth,4H,93,229
0.382,0.618,1.272,0.005,7,0.2,fvg_only,43,20.9,122.69,26.37,4.65,2226.88,3,eth,4H,206,341
0.382,0.786,1.272,0.002,5,0.2,fvg_only,48,14.6,82.68,18.05,4.58,1826.84,8,eth,4H,93,229
0.382,0.786,1.618,0.002,7,0.1,fvg_only,46,13.0,59.51,12.99,4.58,1595.15,8,eth,4H,93,229
0.382,0.618,1.618,0.005,7,0.2,fvg_only,45,15.6,109.83,24.11,4.56,2098.34,8,eth,4H,93,229
0.382,0.618,1.272,0.005,5,0.2,fvg_only,47,19.1,86.13,18.92,4.55,1861.25,8,eth,4H,93,229
0.382,0.786,1.618,0.002,3,0.2,fvg_only,46,13.0,50.41,11.23,4.49,1504.05,8,eth,4H,93,229
0.382,0.618,2.0,0.002,5,0.1,ob_only,109,20.2,62.27,13.96,4.46,1622.72,3,eth,4H,206,341
0.382,0.618,2.0,0.002,3,0.2,ob_only,109,20.2,74.91,16.84,4.45,1749.13,3,eth,4H,206,341
0.382,0.618,2.0,0.002,7,0.1,ob_only,109,20.2,87.35,19.72,4.43,1873.46,3,eth,4H,206,341
0.382,0.786,1.618,0.002,5,0.1,fvg_only,46,13.0,41.48,9.45,4.39,1414.81,8,eth,4H,93,229
0.382,0.618,1.618,0.005,5,0.2,fvg_only,45,15.6,77.57,17.74,4.37,1775.72,8,eth,4H,93,229
0.382,0.618,2.0,0.002,3,0.1,ob_only,109,20.2,36.83,8.5,4.33,1368.34,3,eth,4H,206,341
0.382,0.618,2.0,0.002,5,0.2,ob_only,109,20.2,122.26,28.32,4.32,2222.58,3,eth,4H,206,341
0.382,0.618,1.272,0.005,5,0.2,fvg_only,43,20.9,84.11,19.55,4.3,1841.12,3,eth,4H,206,341
0.382,0.786,1.272,0.002,7,0.1,fvg_only,48,14.6,55.48,12.99,4.27,1554.85,8,eth,4H,93,229
0.382,0.618,1.272,0.005,7,0.1,fvg_only,47,19.1,57.74,13.59,4.25,1577.44,8,eth,4H,93,229
0.382,0.618,1.618,0.005,7,0.1,fvg_only,45,15.6,53.48,12.7,4.21,1534.83,8,eth,4H,93,229
0.382,0.786,1.618,0.002,3,0.1,fvg_only,46,13.0,24.23,5.77,4.2,1242.32,8,eth,4H,93,229
0.382,0.786,1.272,0.002,3,0.2,fvg_only,48,14.6,46.85,11.23,4.17,1468.53,8,eth,4H,93,229
0.382,0.618,1.618,0.005,3,0.2,fvg_only,45,15.6,45.55,10.96,4.16,1455.52,8,eth,4H,93,229
0.382,0.618,1.272,0.005,3,0.2,fvg_only,47,19.1,48.74,11.75,4.15,1487.38,8,eth,4H,93,229
0.382,0.618,1.618,0.005,5,0.1,fvg_only,45,15.6,37.69,9.2,4.1,1376.94,8,eth,4H,93,229
0.382,0.786,1.272,0.002,5,0.1,fvg_only,48,14.6,38.45,9.45,4.07,1384.48,8,eth,4H,93,229
0.382,0.618,1.272,0.005,5,0.1,fvg_only,47,19.1,39.97,9.87,4.05,1399.74,8,eth,4H,93,229
0.382,0.618,2.0,0.002,7,0.2,ob_only,109,20.2,159.48,39.4,4.05,2594.79,3,eth,4H,206,341
0.382,0.618,1.272,0.005,7,0.1,fvg_only,43,20.9,56.77,14.08,4.03,1567.66,3,eth,4H,206,341
0.382,0.618,1.618,0.005,3,0.1,fvg_only,45,15.6,22.26,5.61,3.97,1222.55,8,eth,4H,93,229
0.382,0.618,1.272,0.005,3,0.2,fvg_only,43,20.9,48.01,12.18,3.94,1480.13,3,eth,4H,206,341
