retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,n_bos,n_zones
0.5,0.786,1.272,0.005,7,0.2,ob_only,57,31.6,180.25,32.52,5.54,2802.46,5,sol,4H,124,258
0.5,0.786,1.272,0.005,5,0.2,ob_only,57,31.6,122.05,24.18,5.05,2220.47,5,sol,4H,124,258
0.382,0.786,1.272,0.005,7,0.2,ob_only,64,32.8,195.68,41.09,4.76,2956.75,5,sol,4H,124,258
0.5,0.786,1.272,0.005,7,0.1,ob_only,57,31.6,80.95,17.43,4.64,1809.53,5,sol,4H,124,258
0.5,0.786,1.272,0.005,3,0.2,ob_only,57,31.6,67.98,15.08,4.51,1679.8,5,sol,4H,124,258
0.5,0.786,1.272,0.005,7,0.2,both,69,27.5,172.37,38.41,4.49,2723.73,5,sol,4H,124,258
0.5,0.786,1.272,0.005,5,0.1,ob_only,57,31.6,55.43,12.69,4.37,1554.3,5,sol,4H,124,258
0.382,0.786,1.272,0.005,5,0.2,ob_only,64,32.8,134.49,31.1,4.32,2344.88,5,sol,4H,124,258
0.5,0.786,1.272,0.005,3,0.1,ob_only,57,31.6,31.73,7.76,4.09,1317.26,5,sol,4H,124,258
0.5,0.786,1.272,0.005,5,0.2,both,69,27.5,117.97,28.95,4.07,2179.73,5,sol,4H,124,258
0.382,0.786,1.272,0.005,7,0.1,ob_only,64,32.8,89.66,22.74,3.94,1896.57,5,sol,4H,124,258
0.382,0.786,2.0,0.005,7,0.2,ob_only,60,23.3,178.3,46.29,3.85,2782.99,5,sol,4H,124,258
0.382,0.786,1.272,0.005,3,0.2,ob_only,64,32.8,75.33,19.77,3.81,1753.33,5,sol,4H,124,258
0.5,0.786,1.272,0.005,7,0.1,both,69,27.5,78.8,21.1,3.73,1788.01,5,sol,4H,124,258
0.382,0.786,2.0,0.005,5,0.2,ob_only,60,23.3,132.24,35.63,3.71,2322.36,5,sol,4H,124,258
0.382,0.786,1.272,0.005,5,0.1,ob_only,64,32.8,61.43,16.71,3.68,1614.3,5,sol,4H,124,258
0.5,0.786,1.272,0.005,3,0.2,both,69,27.5,66.31,18.33,3.62,1663.14,5,sol,4H,124,258
0.382,0.786,2.0,0.005,7,0.1,ob_only,60,23.3,92.36,26.41,3.5,1923.64,5,sol,4H,124,258
0.5,0.786,1.272,0.005,5,0.1,both,69,27.5,54.18,15.48,3.5,1541.83,5,sol,4H,124,258
0.5,0.786,1.272,0.002,7,0.2,ob_only,58,27.6,143.21,41.89,3.42,2432.11,5,sol,4H,124,258
0.382,0.786,2.0,0.005,3,0.2,ob_only,60,23.3,78.66,23.08,3.41,1786.57,5,sol,4H,124,258
0.382,0.786,1.272,0.005,3,0.1,ob_only,64,32.8,35.11,10.32,3.4,1351.11,5,sol,4H,124,258
0.5,0.786,2.0,0.005,7,0.2,both,62,21.0,143.71,42.63,3.37,2437.14,5,sol,4H,124,258
0.382,0.786,2.0,0.005,5,0.1,ob_only,60,23.3,64.94,19.61,3.31,1649.37,5,sol,4H,124,258
0.382,0.786,1.272,0.002,7,0.2,ob_only,65,29.2,160.2,49.05,3.27,2602.05,5,sol,4H,124,258
