retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,n_bos,n_zones
0.5,0.786,2.0,0.002,3,0.1,fvg_only,82,7.3,8.48,3.62,2.34,1084.79,5,xrp,1H,506,983
0.5,0.786,2.0,0.002,5,0.1,fvg_only,82,7.3,13.7,5.96,2.3,1136.96,5,xrp,1H,506,983
0.5,0.786,2.0,0.002,3,0.2,fvg_only,82,7.3,16.17,7.11,2.27,1161.71,5,xrp,1H,506,983
0.5,0.786,2.0,0.002,7,0.1,fvg_only,82,7.3,18.56,8.25,2.25,1185.56,5,xrp,1H,506,983
0.5,0.786,2.0,0.002,5,0.2,fvg_only,82,7.3,25.17,11.58,2.17,1251.67,5,xrp,1H,506,983
0.5,0.786,1.272,0.002,3,0.1,fvg_only,84,13.1,6.41,3.07,2.09,1064.14,5,xrp,1H,506,983
0.5,0.786,1.272,0.002,5,0.1,fvg_only,84,13.1,10.53,5.07,2.08,1105.27,5,xrp,1H,506,983
0.5,0.786,1.272,0.002,3,0.2,fvg_only,84,13.1,12.53,6.06,2.07,1125.32,5,xrp,1H,506,983
0.5,0.786,1.272,0.002,7,0.1,fvg_only,84,13.1,14.5,7.03,2.06,1145.01,5,xrp,1H,506,983
0.5,0.786,2.0,0.002,7,0.2,fvg_only,82,7.3,32.7,15.84,2.06,1327.04,5,xrp,1H,506,983
0.5,0.786,1.272,0.002,5,0.2,fvg_only,84,13.1,20.19,9.9,2.04,1201.86,5,xrp,1H,506,983
0.5,0.786,1.272,0.002,7,0.2,fvg_only,84,13.1,27.22,13.6,2.0,1272.16,5,xrp,1H,506,983
0.382,0.618,2.0,0.002,3,0.1,ob_only,250,23.2,14.03,9.78,1.44,1140.34,5,xrp,1H,506,983
0.382,0.618,2.0,0.002,5,0.1,ob_only,250,23.2,21.71,16.26,1.33,1217.06,5,xrp,1H,506,983
0.382,0.618,2.0,0.002,3,0.2,ob_only,250,23.2,24.94,19.47,1.28,1249.41,5,xrp,1H,506,983
0.382,0.618,2.0,0.002,7,0.1,ob_only,250,23.2,27.74,22.64,1.23,1277.42,5,xrp,1H,506,983
0.5,0.786,1.618,0.002,3,0.1,fvg_only,82,7.3,4.32,3.88,1.12,1043.25,5,xrp,1H,506,983
