retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,period,n_bos
0.382,0.786,1.272,0.002,7,0.2,both,72,48,24,33.3,33.83,14.11,2.4,1338.26,8,btc,1H,1y,160
0.382,0.786,1.272,0.002,5,0.2,both,72,48,24,33.3,23.74,10.26,2.31,1237.41,8,btc,1H,1y,160
0.382,0.786,1.272,0.002,7,0.1,both,72,48,24,33.3,16.38,7.28,2.25,1163.83,8,btc,1H,1y,160
0.382,0.786,1.272,0.002,3,0.2,both,72,48,24,33.3,13.97,6.27,2.23,1139.74,8,btc,1H,1y,160
0.382,0.618,1.272,0.002,7,0.2,both,65,46,19,38.5,32.24,14.52,2.22,1322.39,8,btc,1H,1y,160
0.382,0.786,1.272,0.002,5,0.1,both,72,48,24,33.3,11.59,5.25,2.21,1115.86,8,btc,1H,1y,160
0.382,0.786,1.272,0.002,3,0.1,both,72,48,24,33.3,6.88,3.18,2.17,1068.8,8,btc,1H,1y,160
0.382,0.618,1.272,0.002,5,0.2,both,65,46,19,38.5,22.67,10.52,2.16,1226.74,8,btc,1H,1y,160
0.5,0.786,1.618,0.002,7,0.2,ob_only,52,31,21,26.9,32.64,15.18,2.15,1326.44,8,btc,1H,1y,160
0.382,0.618,1.272,0.002,7,0.1,both,65,46,19,38.5,15.67,7.44,2.11,1156.71,8,btc,1H,1y,160
0.382,0.618,1.272,0.002,3,0.2,both,65,46,19,38.5,13.37,6.4,2.09,1133.73,8,btc,1H,1y,160
0.382,0.618,1.272,0.002,5,0.1,both,65,46,19,38.5,11.09,5.35,2.07,1110.94,8,btc,1H,1y,160
0.5,0.786,1.618,0.002,5,0.2,ob_only,52,31,21,26.9,22.97,11.08,2.07,1229.69,8,btc,1H,1y,160
0.382,0.618,1.272,0.002,3,0.1,both,65,46,19,38.5,6.59,3.24,2.03,1065.95,8,btc,1H,1y,160
0.5,0.786,1.618,0.002,7,0.1,ob_only,52,31,21,26.9,15.88,7.88,2.01,1158.83,8,btc,1H,1y,160
0.5,0.786,1.618,0.002,3,0.2,ob_only,52,31,21,26.9,13.56,6.79,2.0,1135.56,8,btc,1H,1y,160
0.5,0.786,1.618,0.002,5,0.1,ob_only,52,31,21,26.9,11.25,5.69,1.98,1112.48,8,btc,1H,1y,160
0.5,0.786,1.618,0.002,3,0.1,ob_only,52,31,21,26.9,6.69,3.45,1.94,1066.88,8,btc,1H,1y,160
0.5,0.786,1.618,0.002,7,0.2,both,55,34,21,25.5,30.2,15.74,1.92,1302.01,8,btc,1H,1y,160
0.382,0.786,1.272,0.002,7,0.2,ob_only,63,37,26,33.3,25.16,13.15,1.91,1251.56,8,btc,1H,1y,160
0.382,0.786,1.272,0.002,5,0.2,ob_only,63,37,26,33.3,17.89,9.54,1.87,1178.87,8,btc,1H,1y,160
0.5,0.786,1.618,0.002,5,0.2,both,55,34,21,25.5,21.35,11.5,1.86,1213.48,8,btc,1H,1y,160
0.382,0.786,1.272,0.002,7,0.1,ob_only,63,37,26,33.3,12.46,6.76,1.84,1124.64,8,btc,1H,1y,160
0.382,0.786,1.272,0.002,3,0.2,ob_only,63,37,26,33.3,10.67,5.82,1.83,1106.65,8,btc,1H,1y,160
0.382,0.786,1.272,0.002,5,0.1,ob_only,63,37,26,33.3,8.87,4.87,1.82,1088.72,8,btc,1H,1y,160
0.5,0.786,1.618,0.002,7,0.1,both,55,34,21,25.5,14.81,8.19,1.81,1148.12,8,btc,1H,1y,160
0.382,0.786,1.272,0.002,3,0.1,ob_only,63,37,26,33.3,5.3,2.94,1.8,1053.02,8,btc,1H,1y,160
0.5,0.786,1.618,0.002,3,0.2,both,55,34,21,25.5,12.66,7.06,1.79,1126.56,8,btc,1H,1y,160
