retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,period,n_bos
0.5,0.786,1.618,0.005,7,0.2,ob_only,23,15,8,52.2,23.47,7.36,3.19,1234.71,5,btc,1H,3m,59
0.5,0.786,1.618,0.005,7,0.2,both,23,15,8,52.2,23.47,7.36,3.19,1234.71,5,btc,1H,3m,59
0.5,0.786,1.618,0.002,7,0.2,ob_only,23,15,8,43.5,20.41,6.48,3.15,1204.05,5,btc,1H,3m,59
0.5,0.786,1.618,0.005,5,0.2,both,23,15,8,52.2,16.52,5.31,3.11,1165.23,5,btc,1H,3m,59
0.5,0.786,1.618,0.005,5,0.2,ob_only,23,15,8,52.2,16.52,5.31,3.11,1165.23,5,btc,1H,3m,59
0.5,0.786,1.618,0.002,5,0.2,ob_only,23,15,8,43.5,14.41,4.66,3.09,1144.13,5,btc,1H,3m,59
0.5,0.786,1.618,0.005,7,0.1,ob_only,23,15,8,52.2,11.44,3.74,3.06,1114.36,5,btc,1H,3m,59
0.5,0.786,1.618,0.005,7,0.1,both,23,15,8,52.2,11.44,3.74,3.06,1114.36,5,btc,1H,3m,59
0.5,0.786,1.618,0.005,3,0.2,both,23,15,8,52.2,9.76,3.21,3.04,1097.65,5,btc,1H,3m,59
0.5,0.786,1.618,0.002,7,0.1,ob_only,23,15,8,43.5,10.0,3.28,3.04,1100.01,5,btc,1H,3m,59
0.5,0.786,1.618,0.005,3,0.2,ob_only,23,15,8,52.2,9.76,3.21,3.04,1097.65,5,btc,1H,3m,59
0.5,0.786,1.618,0.002,3,0.2,ob_only,23,15,8,43.5,8.55,2.82,3.03,1085.47,5,btc,1H,3m,59
0.5,0.786,1.618,0.005,5,0.1,both,23,15,8,52.2,8.11,2.68,3.02,1081.06,5,btc,1H,3m,59
0.5,0.786,1.618,0.005,5,0.1,ob_only,23,15,8,52.2,8.11,2.68,3.02,1081.06,5,btc,1H,3m,59
0.5,0.786,1.618,0.002,5,0.1,ob_only,23,15,8,43.5,7.1,2.36,3.01,1071.01,5,btc,1H,3m,59
0.5,0.786,1.618,0.005,3,0.1,ob_only,23,15,8,52.2,4.83,1.62,2.99,1048.25,5,btc,1H,3m,59
0.5,0.786,1.618,0.005,3,0.1,both,23,15,8,52.2,4.83,1.62,2.99,1048.25,5,btc,1H,3m,59
0.382,0.618,1.272,0.002,7,0.2,both,14,10,4,57.1,13.58,4.56,2.98,1135.85,8,btc,1H,3m,39
