retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,period,n_bos
0.5,0.786,1.618,0.002,7,0.2,ob_only,58,33,25,31.0,68.73,13.13,5.24,1687.32,8,eth,1H,1y,158
0.382,0.786,1.618,0.005,7,0.2,ob_only,64,35,29,40.6,113.03,22.27,5.08,2130.3,8,eth,1H,1y,158
0.5,0.786,1.618,0.002,5,0.2,ob_only,58,33,25,31.0,47.87,9.52,5.03,1478.67,8,eth,1H,1y,158
0.5,0.786,1.618,0.002,7,0.1,ob_only,58,33,25,31.0,32.77,6.74,4.86,1327.66,8,eth,1H,1y,158
0.5,0.786,1.618,0.002,3,0.2,ob_only,58,33,25,31.0,27.86,5.8,4.8,1278.59,8,eth,1H,1y,158
0.5,0.786,1.618,0.002,5,0.1,ob_only,58,33,25,31.0,23.02,4.85,4.75,1230.22,8,eth,1H,1y,158
0.5,0.786,2.0,0.005,7,0.2,ob_only,47,29,18,29.8,69.43,14.97,4.64,1694.26,8,eth,1H,1y,158
0.382,0.786,1.618,0.005,5,0.2,ob_only,64,35,29,40.6,75.64,16.3,4.64,1756.42,8,eth,1H,1y,158
0.5,0.786,1.618,0.002,3,0.1,ob_only,58,33,25,31.0,13.57,2.93,4.63,1135.71,8,eth,1H,1y,158
0.5,0.786,2.0,0.005,5,0.2,ob_only,47,29,18,29.8,49.05,10.88,4.51,1490.52,8,eth,1H,1y,158
0.382,0.786,1.618,0.002,7,0.2,ob_only,65,36,29,33.8,77.21,17.42,4.43,1772.05,8,eth,1H,1y,158
0.5,0.786,2.0,0.005,7,0.1,ob_only,47,29,18,29.8,33.9,7.72,4.39,1339.05,8,eth,1H,1y,158
0.5,0.786,2.0,0.005,3,0.2,ob_only,47,29,18,29.8,28.91,6.65,4.35,1289.15,8,eth,1H,1y,158
0.382,0.786,1.618,0.005,7,0.1,ob_only,64,35,29,40.6,50.22,11.61,4.32,1502.15,8,eth,1H,1y,158
0.5,0.786,2.0,0.005,5,0.1,ob_only,47,29,18,29.8,23.96,5.56,4.31,1239.64,8,eth,1H,1y,158
0.382,0.786,2.0,0.005,7,0.2,ob_only,52,30,22,32.7,82.96,19.53,4.25,1829.61,8,eth,1H,1y,158
0.382,0.786,1.618,0.002,5,0.2,ob_only,65,36,29,33.8,53.65,12.62,4.25,1536.54,8,eth,1H,1y,158
0.5,0.786,2.0,0.005,3,0.1,ob_only,47,29,18,29.8,14.2,3.37,4.22,1142.04,8,eth,1H,1y,158
0.382,0.786,1.618,0.005,3,0.2,ob_only,64,35,29,40.6,42.26,10.01,4.22,1422.56,8,eth,1H,1y,158
0.5,0.786,2.0,0.002,7,0.2,ob_only,48,30,18,25.0,66.16,15.79,4.19,1661.62,8,eth,1H,1y,158
0.382,0.786,1.618,0.005,5,0.1,ob_only,64,35,29,40.6,34.56,8.39,4.12,1345.58,8,eth,1H,1y,158
0.5,0.786,1.618,0.005,7,0.2,ob_only,58,33,25,36.2,71.23,17.37,4.1,1712.28,8,eth,1H,1y,158
0.382,0.786,1.618,0.002,7,0.1,ob_only,65,36,29,33.8,36.63,8.93,4.1,1366.27,8,eth,1H,1y,158
0.5,0.786,2.0,0.002,5,0.2,ob_only,48,30,18,25.0,46.77,11.42,4.1,1467.67,8,eth,1H,1y,158
0.382,0.618,1.272,0.005,7,0.2,ob_only,57,34,23,47.4,72.76,17.79,4.09,1727.61,8,eth,1H,1y,158
0.382,0.786,2.0,0.005,5,0.2,ob_only,52,30,22,32.7,58.05,14.18,4.09,1580.45,8,eth,1H,1y,158
0.382,0.786,1.618,0.002,3,0.2,ob_only,65,36,29,33.8,31.11,7.68,4.05,1311.07,8,eth,1H,1y,158
0.5,0.786,2.0,0.002,7,0.1,ob_only,48,30,18,25.0,32.36,8.06,4.01,1323.55,8,eth,1H,1y,158
0.382,0.786,1.618,0.002,5,0.1,ob_only,65,36,29,33.8,25.68,6.42,4.0,1256.75,8,eth,1H,1y,158
0.5,0.786,2.0,0.002,3,0.2,ob_only,48,30,18,25.0,27.6,6.93,3.98,1276.05,8,eth,1H,1y,158
0.382,0.786,2.0,0.005,7,0.1,ob_only,52,30,22,32.7,39.79,10.04,3.96,1397.85,8,eth,1H,1y,158
0.5,0.786,2.0,0.002,5,0.1,ob_only,48,30,18,25.0,22.89,5.79,3.95,1228.89,8,eth,1H,1y,158
0.5,0.786,1.618,0.005,5,0.2,ob_only,58,33,25,36.2,49.64,12.6,3.94,1496.45,8,eth,1H,1y,158
0.382,0.786,1.618,0.005,3,0.1,ob_only,64,35,29,40.6,19.95,5.09,3.92,1199.5,8,eth,1H,1y,158
0.382,0.786,2.0,0.005,3,0.2,ob_only,52,30,22,32.7,33.83,8.64,3.92,1338.28,8,eth,1H,1y,158
0.382,0.786,1.618,0.002,3,0.1,ob_only,65,36,29,33.8,15.09,3.88,3.89,1150.94,8,eth,1H,1y,158
0.382,0.618,1.272,0.005,5,0.2,ob_only,57,34,23,47.4,50.15,12.9,3.89,1501.46,8,eth,1H,1y,158
0.5,0.786,2.0,0.002,3,0.1,ob_only,48,30,18,25.0,13.58,3.49,3.89,1135.82,8,eth,1H,1y,158
0.382,0.786,2.0,0.005,5,0.1,ob_only,52,30,22,32.7,27.95,7.22,3.87,1279.5,8,eth,1H,1y,158
0.5,0.786,1.618,0.005,7,0.1,ob_only,58,33,25,36.2,33.98,8.91,3.81,1339.84,8,eth,1H,1y,158
0.382,0.786,2.0,0.005,3,0.1,ob_only,52,30,22,32.7,16.46,4.37,3.77,1164.6,8,eth,1H,1y,158
0.5,0.786,1.618,0.005,3,0.2,ob_only,58,33,25,36.2,28.89,7.67,3.77,1288.92,8,eth,1H,1y,158
0.382,0.618,1.272,0.005,7,0.1,ob_only,57,34,23,47.4,34.06,9.13,3.73,1340.57,8,eth,1H,1y,158
0.5,0.786,1.618,0.005,5,0.1,ob_only,58,33,25,36.2,23.87,6.41,3.72,1238.73,8,eth,1H,1y,158
0.382,0.618,1.272,0.005,3,0.2,ob_only,57,34,23,47.4,28.88,7.85,3.68,1288.81,8,eth,1H,1y,158
0.382,0.618,1.272,0.005,5,0.1,ob_only,57,34,23,47.4,23.8,6.56,3.63,1238.04,8,eth,1H,1y,158
0.5,0.786,1.618,0.005,3,0.1,ob_only,58,33,25,36.2,14.07,3.87,3.63,1140.66,8,eth,1H,1y,158
0.382,0.618,1.272,0.005,3,0.1,ob_only,57,34,23,47.4,13.96,3.97,3.52,1139.59,8,eth,1H,1y,158
0.382,0.618,2.0,0.005,7,0.2,ob_only,47,29,18,34.0,72.41,22.12,3.27,1724.07,8,eth,1H,1y,158
