retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,period,n_bos
0.5,0.786,1.618,0.005,7,0.2,ob_only,39,23,16,51.3,39.56,8.98,4.41,1395.57,3,eth,1H,3m,91
0.5,0.786,1.272,0.002,7,0.2,ob_only,42,24,18,45.2,29.7,6.73,4.41,1297.04,3,eth,1H,3m,91
0.5,0.786,1.272,0.002,5,0.2,ob_only,42,24,18,45.2,20.67,4.82,4.28,1206.68,3,eth,1H,3m,91
0.5,0.786,1.618,0.005,5,0.2,ob_only,39,23,16,51.3,27.28,6.48,4.21,1272.8,3,eth,1H,3m,91
0.5,0.786,1.272,0.002,7,0.1,ob_only,42,24,18,45.2,14.18,3.38,4.19,1141.81,3,eth,1H,3m,91
0.5,0.786,1.272,0.002,7,0.2,both,43,25,18,44.2,28.15,6.73,4.18,1281.54,3,eth,1H,3m,91
0.5,0.786,1.618,0.002,7,0.2,ob_only,41,24,17,39.0,30.69,7.34,4.18,1306.91,3,eth,1H,3m,91
0.5,0.786,1.618,0.005,7,0.2,both,40,24,16,50.0,37.31,8.98,4.16,1373.07,3,eth,1H,3m,91
0.5,0.786,1.272,0.002,3,0.2,ob_only,42,24,18,45.2,12.07,2.9,4.16,1120.74,3,eth,1H,3m,91
0.5,0.786,1.272,0.002,5,0.1,ob_only,42,24,18,45.2,9.99,2.42,4.13,1099.94,3,eth,1H,3m,91
0.5,0.786,1.272,0.002,5,0.2,both,43,25,18,44.2,19.64,4.82,4.07,1196.37,3,eth,1H,3m,91
0.5,0.786,1.272,0.002,3,0.1,ob_only,42,24,18,45.2,5.92,1.45,4.07,1059.16,3,eth,1H,3m,91
0.382,0.786,1.272,0.002,7,0.2,ob_only,48,30,18,45.8,31.92,7.85,4.07,1319.22,3,eth,1H,3m,91
0.5,0.786,1.618,0.002,5,0.2,ob_only,41,24,17,39.0,21.4,5.26,4.07,1213.97,3,eth,1H,3m,91
0.5,0.786,1.618,0.005,7,0.1,ob_only,39,23,16,51.3,18.59,4.58,4.06,1185.92,3,eth,1H,3m,91
0.5,0.786,1.618,0.005,3,0.2,ob_only,39,23,16,51.3,15.79,3.93,4.02,1157.94,3,eth,1H,3m,91
0.5,0.786,1.618,0.002,7,0.1,ob_only,41,24,17,39.0,14.7,3.69,3.99,1147.02,3,eth,1H,3m,91
0.5,0.786,2.0,0.002,7,0.2,ob_only,39,24,15,35.9,27.7,6.95,3.99,1277.03,3,eth,1H,3m,91
0.5,0.786,1.272,0.002,7,0.1,both,43,25,18,44.2,13.5,3.38,3.99,1134.99,3,eth,1H,3m,91
0.5,0.786,1.618,0.005,5,0.2,both,40,24,16,50.0,25.81,6.48,3.98,1258.14,3,eth,1H,3m,91
0.5,0.786,1.618,0.002,7,0.2,both,42,25,17,38.1,29.13,7.34,3.97,1291.29,3,eth,1H,3m,91
0.5,0.786,1.618,0.005,5,0.1,ob_only,39,23,16,51.3,13.04,3.29,3.97,1130.43,3,eth,1H,3m,91
0.5,0.786,1.618,0.002,3,0.2,ob_only,41,24,17,39.0,12.52,3.16,3.96,1125.23,3,eth,1H,3m,91
0.5,0.786,1.272,0.002,3,0.2,both,43,25,18,44.2,11.5,2.9,3.96,1115.0,3,eth,1H,3m,91
0.5,0.786,1.272,0.002,5,0.1,both,43,25,18,44.2,9.52,2.42,3.94,1095.25,3,eth,1H,3m,91
0.382,0.786,1.272,0.002,5,0.2,ob_only,48,30,18,45.8,22.25,5.66,3.93,1222.55,3,eth,1H,3m,91
0.5,0.786,1.618,0.002,5,0.1,ob_only,41,24,17,39.0,10.37,2.64,3.93,1103.7,3,eth,1H,3m,91
0.5,0.786,2.0,0.002,5,0.2,ob_only,39,24,15,35.9,19.45,4.97,3.92,1194.46,3,eth,1H,3m,91
0.5,0.786,1.272,0.002,3,0.1,both,43,25,18,44.2,5.64,1.45,3.88,1056.45,3,eth,1H,3m,91
0.5,0.786,1.618,0.005,3,0.1,ob_only,39,23,16,51.3,7.69,1.98,3.88,1076.85,3,eth,1H,3m,91
0.5,0.786,1.618,0.002,3,0.1,ob_only,41,24,17,39.0,6.14,1.58,3.88,1061.43,3,eth,1H,3m,91
0.5,0.786,1.618,0.002,5,0.2,both,42,25,17,38.1,20.36,5.26,3.87,1203.61,3,eth,1H,3m,91
0.5,0.786,2.0,0.002,7,0.1,ob_only,39,24,15,35.9,13.43,3.48,3.86,1134.28,3,eth,1H,3m,91
0.5,0.786,1.618,0.005,7,0.1,both,40,24,16,50.0,17.64,4.58,3.85,1176.36,3,eth,1H,3m,91
