retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,period,n_bos
0.382,0.618,2.0,0.005,7,0.2,ob_only,39,18,21,41.0,55.33,7.49,7.39,1553.34,3,sol,1H,3m,107
0.382,0.618,2.0,0.002,7,0.2,ob_only,39,18,21,38.5,65.54,9.09,7.21,1655.38,3,sol,1H,3m,107
0.382,0.618,2.0,0.005,5,0.2,ob_only,39,18,21,41.0,38.1,5.37,7.09,1380.96,3,sol,1H,3m,107
0.5,0.786,1.618,0.002,7,0.2,fvg_only,5,5,0,40.0,11.95,1.71,6.99,1119.47,5,sol,1H,3m,60
0.5,0.786,1.618,0.002,5,0.2,fvg_only,5,5,0,40.0,8.51,1.22,6.96,1085.09,5,sol,1H,3m,60
0.5,0.786,1.618,0.002,7,0.1,fvg_only,5,5,0,40.0,5.94,0.86,6.94,1059.43,5,sol,1H,3m,60
0.5,0.786,1.618,0.002,3,0.2,fvg_only,5,5,0,40.0,5.09,0.73,6.93,1050.91,5,sol,1H,3m,60
0.5,0.786,1.618,0.002,5,0.1,fvg_only,5,5,0,40.0,4.24,0.61,6.93,1042.39,5,sol,1H,3m,60
0.5,0.786,1.618,0.002,3,0.1,fvg_only,5,5,0,40.0,2.54,0.37,6.91,1025.4,5,sol,1H,3m,60
0.382,0.618,2.0,0.005,7,0.1,ob_only,39,18,21,41.0,25.9,3.77,6.86,1259.04,3,sol,1H,3m,107
0.382,0.618,2.0,0.005,3,0.2,ob_only,39,18,21,41.0,21.98,3.24,6.79,1219.83,3,sol,1H,3m,107
0.382,0.618,2.0,0.002,5,0.2,ob_only,39,18,21,38.5,44.45,6.56,6.77,1444.48,3,sol,1H,3m,107
0.382,0.618,2.0,0.005,5,0.1,ob_only,39,18,21,41.0,18.14,2.7,6.71,1181.36,3,sol,1H,3m,107
0.5,0.786,2.0,0.002,3,0.1,fvg_only,5,5,0,20.0,1.98,0.3,6.69,1019.81,8,sol,1H,3m,41
0.5,0.786,2.0,0.002,5,0.1,fvg_only,5,5,0,20.0,3.29,0.49,6.67,1032.88,8,sol,1H,3m,41
0.5,0.786,2.0,0.002,3,0.2,fvg_only,5,5,0,20.0,3.94,0.59,6.65,1039.38,8,sol,1H,3m,41
0.5,0.786,2.0,0.002,7,0.1,fvg_only,5,5,0,20.0,4.58,0.69,6.64,1045.84,8,sol,1H,3m,41
0.5,0.786,2.0,0.002,5,0.2,fvg_only,5,5,0,20.0,6.51,0.99,6.6,1065.08,8,sol,1H,3m,41
0.5,0.786,2.0,0.002,7,0.2,fvg_only,5,5,0,20.0,9.04,1.38,6.56,1090.36,8,sol,1H,3m,41
0.382,0.618,2.0,0.005,3,0.1,ob_only,39,18,21,41.0,10.66,1.62,6.56,1106.6,3,sol,1H,3m,107
0.382,0.618,2.0,0.002,7,0.1,ob_only,39,18,21,38.5,29.9,4.63,6.46,1298.98,3,sol,1H,3m,107
0.382,0.618,2.0,0.002,3,0.2,ob_only,39,18,21,38.5,25.28,3.98,6.35,1252.84,3,sol,1H,3m,107
0.382,0.618,2.0,0.002,5,0.1,ob_only,39,18,21,38.5,20.79,3.32,6.25,1207.86,3,sol,1H,3m,107
0.382,0.618,2.0,0.002,3,0.1,ob_only,39,18,21,38.5,12.14,2.01,6.05,1121.35,3,sol,1H,3m,107
0.382,0.618,2.0,0.002,7,0.2,both,42,22,20,35.7,57.36,9.63,5.96,1573.64,3,sol,1H,3m,107
0.382,0.618,2.0,0.002,5,0.2,both,42,22,20,35.7,39.29,6.96,5.65,1392.94,3,sol,1H,3m,107
0.5,0.786,2.0,0.002,3,0.1,fvg_only,4,4,0,25.0,2.02,0.37,5.5,1020.23,5,sol,1H,3m,60
0.5,0.786,2.0,0.002,5,0.1,fvg_only,4,4,0,25.0,3.36,0.61,5.49,1033.58,5,sol,1H,3m,60
0.5,0.786,2.0,0.002,3,0.2,fvg_only,4,4,0,25.0,4.02,0.73,5.48,1040.22,5,sol,1H,3m,60
0.5,0.786,2.0,0.002,7,0.1,fvg_only,4,4,0,25.0,4.68,0.86,5.47,1046.83,5,sol,1H,3m,60
0.5,0.786,2.0,0.002,5,0.2,fvg_only,4,4,0,25.0,6.65,1.22,5.44,1066.52,5,sol,1H,3m,60
0.382,0.618,2.0,0.002,7,0.1,both,42,22,20,35.7,26.62,4.91,5.42,1266.24,3,sol,1H,3m,107
