retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,period,n_bos
0.382,0.618,1.272,0.002,3,0.1,fvg_only,11,11,0,9.1,2.67,3.16,0.85,1026.74,8,sol,4H,1y,41
0.382,0.786,1.272,0.002,3,0.1,fvg_only,11,11,0,9.1,2.67,3.16,0.85,1026.74,8,sol,4H,1y,41
0.382,0.618,1.272,0.002,5,0.1,fvg_only,11,11,0,9.1,4.3,5.21,0.82,1042.99,8,sol,4H,1y,41
0.382,0.786,1.272,0.002,5,0.1,fvg_only,11,11,0,9.1,4.3,5.21,0.82,1042.99,8,sol,4H,1y,41
0.382,0.618,1.272,0.002,3,0.2,fvg_only,11,11,0,9.1,5.07,6.23,0.81,1050.65,8,sol,4H,1y,41
0.382,0.786,1.272,0.002,3,0.2,fvg_only,11,11,0,9.1,5.07,6.23,0.81,1050.65,8,sol,4H,1y,41
0.382,0.786,1.272,0.002,7,0.1,fvg_only,11,11,0,9.1,5.8,7.23,0.8,1058.02,8,sol,4H,1y,41
0.382,0.618,1.272,0.002,7,0.1,fvg_only,11,11,0,9.1,5.8,7.23,0.8,1058.02,8,sol,4H,1y,41
0.382,0.618,1.272,0.002,5,0.2,fvg_only,11,11,0,9.1,7.83,10.19,0.77,1078.35,8,sol,4H,1y,41
0.382,0.786,1.272,0.002,5,0.2,fvg_only,11,11,0,9.1,7.83,10.19,0.77,1078.35,8,sol,4H,1y,41
0.382,0.618,1.272,0.002,7,0.2,fvg_only,11,11,0,9.1,10.15,14.01,0.72,1101.54,8,sol,4H,1y,41
0.382,0.786,1.272,0.002,7,0.2,fvg_only,11,11,0,9.1,10.15,14.01,0.72,1101.54,8,sol,4H,1y,41
0.382,0.786,1.272,0.005,3,0.1,fvg_only,11,11,0,9.1,1.76,4.02,0.44,1017.59,8,sol,4H,1y,41
0.382,0.618,1.272,0.005,3,0.1,fvg_only,11,11,0,9.1,1.76,4.02,0.44,1017.59,8,sol,4H,1y,41
0.382,0.786,1.272,0.005,5,0.1,fvg_only,11,11,0,9.1,2.75,6.62,0.42,1027.5,8,sol,4H,1y,41
0.382,0.618,1.272,0.005,5,0.1,fvg_only,11,11,0,9.1,2.75,6.62,0.42,1027.5,8,sol,4H,1y,41
0.382,0.786,1.272,0.005,3,0.2,fvg_only,11,11,0,9.1,3.19,7.9,0.4,1031.93,8,sol,4H,1y,41
0.382,0.618,1.272,0.005,3,0.2,fvg_only,11,11,0,9.1,3.19,7.9,0.4,1031.93,8,sol,4H,1y,41
0.382,0.618,1.272,0.005,7,0.1,fvg_only,11,11,0,9.1,3.6,9.16,0.39,1036.02,8,sol,4H,1y,41
0.382,0.786,1.272,0.005,7,0.1,fvg_only,11,11,0,9.1,3.6,9.16,0.39,1036.02,8,sol,4H,1y,41
0.382,0.618,1.272,0.005,5,0.2,fvg_only,11,11,0,9.1,4.64,12.85,0.36,1046.35,8,sol,4H,1y,41
0.382,0.786,1.272,0.005,5,0.2,fvg_only,11,11,0,9.1,4.64,12.85,0.36,1046.35,8,sol,4H,1y,41
0.382,0.618,1.272,0.005,7,0.2,fvg_only,11,11,0,9.1,5.58,17.57,0.32,1055.83,8,sol,4H,1y,41
0.382,0.786,1.272,0.005,7,0.2,fvg_only,11,11,0,9.1,5.58,17.57,0.32,1055.83,8,sol,4H,1y,41
0.382,0.786,1.618,0.005,3,0.1,ob_only,35,14,21,22.9,-0.13,13.85,-0.01,998.72,5,sol,4H,1y,77
0.382,0.786,1.618,0.005,5,0.1,ob_only,35,14,21,22.9,-0.82,22.16,-0.04,991.82,5,sol,4H,1y,77
0.382,0.786,1.618,0.005,3,0.2,ob_only,35,14,21,22.9,-1.34,26.06,-0.05,986.63,5,sol,4H,1y,77
0.382,0.786,1.618,0.005,3,0.1,both,39,19,20,20.5,-0.87,14.6,-0.06,991.34,5,sol,4H,1y,77
0.382,0.786,1.618,0.005,7,0.1,ob_only,35,14,21,22.9,-1.97,29.78,-0.07,980.34,5,sol,4H,1y,77
0.382,0.786,1.618,0.005,5,0.1,both,39,19,20,20.5,-2.04,23.28,-0.09,979.64,5,sol,4H,1y,77
0.382,0.786,1.618,0.005,3,0.2,both,39,19,20,20.5,-2.79,27.33,-0.1,972.13,5,sol,4H,1y,77
0.382,0.786,1.618,0.005,5,0.2,ob_only,35,14,21,22.9,-4.48,40.02,-0.11,955.2,5,sol,4H,1y,77
0.382,0.786,1.618,0.005,7,0.1,both,39,19,20,20.5,-3.64,31.2,-0.12,963.56,5,sol,4H,1y,77
0.382,0.786,1.618,0.005,5,0.2,both,39,19,20,20.5,-6.8,41.74,-0.16,931.97,5,sol,4H,1y,77
0.382,0.786,2.0,0.002,3,0.1,ob_only,34,15,19,17.6,-1.62,9.27,-0.17,983.79,5,sol,4H,1y,77
0.382,0.786,1.618,0.005,7,0.2,ob_only,35,14,21,22.9,-9.13,51.64,-0.18,908.68,5,sol,4H,1y,77
0.382,0.786,2.0,0.002,5,0.1,ob_only,34,15,19,17.6,-3.29,15.11,-0.22,967.13,5,sol,4H,1y,77
0.382,0.786,1.618,0.005,7,0.2,both,39,19,20,20.5,-12.2,53.58,-0.23,878.0,5,sol,4H,1y,77
0.382,0.786,2.0,0.002,3,0.2,ob_only,34,15,19,17.6,-4.28,17.92,-0.24,957.2,5,sol,4H,1y,77
0.382,0.786,2.0,0.002,7,0.1,ob_only,34,15,19,17.6,-5.37,20.67,-0.26,946.28,5,sol,4H,1y,77
0.382,0.786,2.0,0.002,3,0.1,both,37,18,19,16.2,-2.6,10.17,-0.26,974.01,5,sol,4H,1y,77
0.382,0.618,1.272,0.002,3,0.1,both,14,9,5,21.4,-3.0,10.32,-0.29,969.98,8,sol,4H,1y,41
0.382,0.786,2.0,0.002,5,0.1,both,37,18,19,16.2,-4.89,16.51,-0.3,951.14,5,sol,4H,1y,77
0.382,0.618,1.272,0.002,5,0.1,both,14,9,5,21.4,-5.27,16.71,-0.32,947.27,8,sol,4H,1y,41
0.382,0.786,2.0,0.002,5,0.2,ob_only,34,15,19,17.6,-9.19,28.62,-0.32,908.14,5,sol,4H,1y,77
0.382,0.786,2.0,0.002,3,0.2,both,37,18,19,16.2,-6.18,19.55,-0.32,938.24,5,sol,4H,1y,77
0.382,0.618,1.272,0.002,3,0.2,both,14,9,5,21.4,-6.48,19.77,-0.33,935.2,8,sol,4H,1y,41
