retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,period,n_bos
0.5,0.786,1.618,0.005,7,0.2,ob_only,21,9,12,61.9,92.89,3.98,23.35,1928.88,5,xrp,1H,3m,59
0.382,0.786,1.618,0.005,7,0.2,ob_only,23,9,14,60.9,106.0,4.8,22.07,2060.0,5,xrp,1H,3m,59
0.5,0.786,1.618,0.005,5,0.2,ob_only,21,9,12,61.9,61.17,2.84,21.55,1611.74,5,xrp,1H,3m,59
0.5,0.786,1.618,0.005,7,0.1,ob_only,21,9,12,61.9,40.29,1.99,20.29,1402.87,5,xrp,1H,3m,59
0.382,0.786,1.618,0.005,5,0.2,ob_only,23,9,14,60.9,69.1,3.43,20.15,1691.02,5,xrp,1H,3m,59
0.5,0.786,1.272,0.005,7,0.2,ob_only,23,9,14,60.9,68.39,3.4,20.14,1683.89,5,xrp,1H,3m,59
0.5,0.786,1.618,0.005,3,0.2,ob_only,21,9,12,61.9,33.84,1.7,19.88,1338.36,5,xrp,1H,3m,59
0.5,0.786,1.618,0.005,5,0.1,ob_only,21,9,12,61.9,27.63,1.42,19.49,1276.29,5,xrp,1H,3m,59
0.5,0.786,1.272,0.005,5,0.2,ob_only,23,9,14,60.9,45.89,2.43,18.92,1458.89,5,xrp,1H,3m,59
0.382,0.786,1.618,0.005,7,0.1,ob_only,23,9,14,60.9,45.16,2.4,18.81,1451.64,5,xrp,1H,3m,59
0.5,0.786,1.618,0.005,3,0.1,ob_only,21,9,12,61.9,15.92,0.85,18.72,1159.16,5,xrp,1H,3m,59
0.382,0.786,1.618,0.005,3,0.2,ob_only,23,9,14,60.9,37.84,2.06,18.38,1378.36,5,xrp,1H,3m,59
0.5,0.786,1.272,0.005,7,0.1,ob_only,23,9,14,60.9,30.65,1.7,18.05,1306.46,5,xrp,1H,3m,59
0.382,0.786,1.618,0.005,5,0.1,ob_only,23,9,14,60.9,30.82,1.72,17.97,1308.18,5,xrp,1H,3m,59
0.5,0.786,1.272,0.005,3,0.2,ob_only,23,9,14,60.9,25.86,1.46,17.77,1258.58,5,xrp,1H,3m,59
0.5,0.786,1.272,0.005,5,0.1,ob_only,23,9,14,60.9,21.21,1.21,17.49,1212.12,5,xrp,1H,3m,59
0.382,0.786,1.618,0.005,3,0.1,ob_only,23,9,14,60.9,17.66,1.03,17.17,1176.65,5,xrp,1H,3m,59
0.5,0.786,1.272,0.005,3,0.1,ob_only,23,9,14,60.9,12.33,0.73,16.95,1123.33,5,xrp,1H,3m,59
0.382,0.786,1.272,0.005,7,0.2,ob_only,26,10,16,57.7,70.86,4.8,14.76,1708.62,5,xrp,1H,3m,59
0.382,0.786,1.272,0.005,5,0.2,ob_only,26,10,16,57.7,47.53,3.43,13.86,1475.35,5,xrp,1H,3m,59
0.382,0.786,1.272,0.005,7,0.1,ob_only,26,10,16,57.7,31.73,2.4,13.22,1317.32,5,xrp,1H,3m,59
0.382,0.786,1.272,0.005,3,0.2,ob_only,26,10,16,57.7,26.77,2.06,13.01,1267.7,5,xrp,1H,3m,59
0.382,0.786,1.272,0.005,5,0.1,ob_only,26,10,16,57.7,21.96,1.72,12.8,1219.57,5,xrp,1H,3m,59
0.382,0.786,1.272,0.005,3,0.1,ob_only,26,10,16,57.7,12.76,1.03,12.4,1127.61,5,xrp,1H,3m,59
0.382,0.786,1.618,0.002,7,0.2,ob_only,23,9,14,47.8,94.24,7.85,12.0,1942.38,5,xrp,1H,3m,59
0.5,0.786,1.618,0.002,7,0.2,ob_only,21,9,12,47.6,82.04,7.23,11.35,1820.41,5,xrp,1H,3m,59
0.382,0.786,1.618,0.002,5,0.2,ob_only,23,9,14,47.8,62.1,5.66,10.96,1620.98,5,xrp,1H,3m,59
0.382,0.786,1.618,0.005,7,0.2,both,23,11,12,52.2,83.85,7.72,10.86,1838.52,5,xrp,1H,3m,59
0.5,0.786,1.272,0.002,7,0.2,ob_only,23,9,14,47.8,60.36,5.59,10.8,1603.61,5,xrp,1H,3m,59
0.5,0.786,1.618,0.002,5,0.2,ob_only,21,9,12,47.6,54.6,5.21,10.48,1546.02,5,xrp,1H,3m,59
0.382,0.786,1.272,0.005,7,0.2,both,29,14,15,48.3,53.28,5.09,10.46,1532.77,5,xrp,1H,3m,59
0.382,0.786,1.618,0.002,7,0.1,ob_only,23,9,14,47.8,40.91,3.99,10.24,1409.06,5,xrp,1H,3m,59
0.5,0.786,1.272,0.002,5,0.2,ob_only,23,9,14,47.8,40.85,4.02,10.17,1408.48,5,xrp,1H,3m,59
0.382,0.786,1.618,0.005,5,0.2,both,23,11,12,52.2,55.82,5.56,10.03,1558.18,5,xrp,1H,3m,59
0.382,0.786,1.618,0.002,3,0.2,ob_only,23,9,14,47.8,34.36,3.43,10.01,1343.58,5,xrp,1H,3m,59
0.382,0.786,1.272,0.005,5,0.2,both,29,14,15,48.3,36.49,3.66,9.98,1364.92,5,xrp,1H,3m,59
0.5,0.786,1.618,0.002,7,0.1,ob_only,21,9,12,47.6,36.24,3.67,9.87,1362.37,5,xrp,1H,3m,59
0.382,0.786,1.618,0.002,5,0.1,ob_only,23,9,14,47.8,28.06,2.87,9.79,1280.55,5,xrp,1H,3m,59
0.5,0.786,1.272,0.005,7,0.2,both,24,12,12,50.0,48.99,5.01,9.77,1489.85,5,xrp,1H,3m,59
0.5,0.786,1.272,0.002,7,0.1,ob_only,23,9,14,47.8,27.45,2.83,9.71,1274.51,5,xrp,1H,3m,59
0.5,0.786,1.618,0.002,3,0.2,ob_only,21,9,12,47.6,30.51,3.15,9.67,1305.12,5,xrp,1H,3m,59
0.382,0.786,1.272,0.005,7,0.1,both,29,14,15,48.3,24.73,2.57,9.63,1247.35,5,xrp,1H,3m,59
0.5,0.786,1.272,0.002,3,0.2,ob_only,23,9,14,47.8,23.21,2.43,9.56,1232.11,5,xrp,1H,3m,59
0.382,0.786,1.272,0.005,3,0.2,both,29,14,15,48.3,20.97,2.2,9.51,1209.72,5,xrp,1H,3m,59
0.5,0.786,1.618,0.002,5,0.1,ob_only,21,9,12,47.6,24.98,2.63,9.48,1249.77,5,xrp,1H,3m,59
