retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,period,n_bos
0.382,0.618,2.0,0.005,7,0.2,ob_only,251,140,111,31.1,440.87,40.58,10.86,5408.7,5,xrp,1H,3y,733
0.382,0.618,2.0,0.002,7,0.2,ob_only,259,144,115,25.9,406.01,38.33,10.59,5060.09,5,xrp,1H,3y,733
0.382,0.618,2.0,0.005,5,0.2,ob_only,251,140,111,31.1,269.35,30.2,8.92,3693.54,5,xrp,1H,3y,733
0.382,0.618,2.0,0.002,5,0.2,ob_only,259,144,115,25.9,249.95,28.45,8.78,3499.54,5,xrp,1H,3y,733
0.382,0.786,1.272,0.002,7,0.2,ob_only,336,177,159,34.5,419.1,47.81,8.77,5190.99,5,xrp,1H,3y,733
0.382,0.618,1.618,0.002,7,0.2,ob_only,276,154,122,30.4,336.06,41.55,8.09,4360.63,5,xrp,1H,3y,733
0.5,0.786,1.618,0.002,7,0.2,ob_only,282,156,126,27.3,265.76,33.59,7.91,3657.61,5,xrp,1H,3y,733
0.382,0.618,2.0,0.005,7,0.1,ob_only,251,140,111,31.1,164.0,21.74,7.54,2639.99,5,xrp,1H,3y,733
0.382,0.618,2.0,0.002,7,0.1,ob_only,259,144,115,25.9,153.36,20.7,7.41,2533.65,5,xrp,1H,3y,733
0.5,0.786,1.272,0.002,7,0.2,ob_only,313,167,146,31.6,263.16,36.88,7.13,3631.61,5,xrp,1H,3y,733
0.382,0.618,2.0,0.005,3,0.2,ob_only,251,140,111,31.1,133.67,18.8,7.11,2336.69,5,xrp,1H,3y,733
0.382,0.618,2.0,0.002,3,0.2,ob_only,259,144,115,25.9,125.36,18.0,6.96,2253.62,5,xrp,1H,3y,733
0.5,0.786,1.272,0.002,7,0.2,both,340,198,142,29.4,215.45,31.04,6.94,3154.46,5,xrp,1H,3y,733
0.382,0.618,1.618,0.002,5,0.2,ob_only,276,154,122,30.4,208.1,30.76,6.77,3081.05,5,xrp,1H,3y,733
0.5,0.786,1.618,0.002,5,0.2,ob_only,282,156,126,27.3,168.2,25.01,6.72,2682.0,5,xrp,1H,3y,733
0.382,0.618,2.0,0.005,5,0.1,ob_only,251,140,111,31.1,105.74,15.8,6.69,2057.35,5,xrp,1H,3y,733
0.382,0.786,1.272,0.002,5,0.2,ob_only,336,177,159,34.5,245.43,36.84,6.66,3454.28,5,xrp,1H,3y,733
0.5,0.786,1.618,0.002,7,0.2,both,306,183,123,25.2,204.47,30.91,6.61,3044.72,5,xrp,1H,3y,733
0.382,0.618,2.0,0.002,5,0.1,ob_only,259,144,115,25.9,99.46,15.23,6.53,1994.62,5,xrp,1H,3y,733
0.382,0.618,1.272,0.002,7,0.2,ob_only,307,166,141,35.2,253.22,39.91,6.34,3532.22,5,xrp,1H,3y,733
0.5,0.786,1.272,0.002,5,0.2,both,340,198,142,29.4,138.88,23.14,6.0,2388.78,5,xrp,1H,3y,733
0.5,0.786,1.272,0.002,5,0.2,ob_only,313,167,146,31.6,164.21,27.67,5.93,2642.13,5,xrp,1H,3y,733
0.5,0.786,1.618,0.002,5,0.2,both,306,183,123,25.2,135.05,22.86,5.91,2350.54,5,xrp,1H,3y,733
0.382,0.618,2.0,0.005,3,0.1,ob_only,251,140,111,31.1,56.88,9.63,5.9,1568.84,5,xrp,1H,3y,733
0.5,0.786,1.618,0.002,7,0.1,ob_only,282,156,126,27.3,106.24,18.05,5.89,2062.37,5,xrp,1H,3y,733
0.382,0.618,1.618,0.002,7,0.1,ob_only,276,154,122,30.4,128.9,22.02,5.85,2288.99,5,xrp,1H,3y,733
0.382,0.618,2.0,0.002,3,0.1,ob_only,259,144,115,25.9,53.85,9.41,5.72,1538.49,5,xrp,1H,3y,733
0.382,0.786,2.0,0.005,7,0.2,ob_only,267,147,120,29.2,258.27,45.73,5.65,3582.69,5,xrp,1H,3y,733
0.382,0.618,2.0,0.002,7,0.2,both,294,182,112,22.4,239.6,42.52,5.64,3395.98,5,xrp,1H,3y,733
0.5,0.786,1.618,0.002,3,0.2,ob_only,282,156,126,27.3,87.81,15.63,5.62,1878.07,5,xrp,1H,3y,733
0.382,0.618,1.618,0.002,3,0.2,ob_only,276,154,122,30.4,105.79,19.0,5.57,2057.93,5,xrp,1H,3y,733
0.382,0.618,2.0,0.005,7,0.2,both,284,176,108,27.5,236.51,42.56,5.56,3365.1,5,xrp,1H,3y,733
0.382,0.618,1.272,0.002,5,0.2,ob_only,307,166,141,35.2,161.01,29.77,5.41,2610.06,5,xrp,1H,3y,733
0.5,0.786,1.618,0.002,5,0.1,ob_only,282,156,126,27.3,70.49,13.15,5.36,1704.89,5,xrp,1H,3y,733
0.5,0.786,1.618,0.002,7,0.1,both,306,183,123,25.2,87.95,16.41,5.36,1879.52,5,xrp,1H,3y,733
0.382,0.786,1.272,0.002,7,0.1,ob_only,336,177,159,34.5,146.49,27.31,5.36,2464.91,5,xrp,1H,3y,733
0.5,0.786,1.272,0.002,7,0.1,both,340,198,142,29.4,89.07,16.72,5.33,1890.67,5,xrp,1H,3y,733
0.382,0.618,1.618,0.002,5,0.1,ob_only,276,154,122,30.4,84.32,15.93,5.29,1843.15,5,xrp,1H,3y,733
0.382,0.786,1.272,0.002,7,0.2,both,382,227,155,30.1,235.84,44.81,5.26,3358.43,5,xrp,1H,3y,733
0.382,0.618,2.0,0.002,5,0.2,both,294,182,112,22.4,163.36,31.27,5.22,2633.56,5,xrp,1H,3y,733
0.5,0.786,1.618,0.002,3,0.2,both,306,183,123,25.2,73.42,14.19,5.18,1734.17,5,xrp,1H,3y,733
0.382,0.618,1.618,0.002,7,0.2,both,315,196,119,26.7,241.78,46.65,5.18,3417.82,5,xrp,1H,3y,733
0.382,0.618,2.0,0.005,5,0.2,both,284,176,108,27.5,163.41,31.87,5.13,2634.07,5,xrp,1H,3y,733
0.5,0.786,1.272,0.002,7,0.1,ob_only,313,167,146,31.6,102.91,20.09,5.12,2029.1,5,xrp,1H,3y,733
0.5,0.786,1.272,0.002,3,0.2,both,340,198,142,29.4,74.01,14.49,5.11,1740.11,5,xrp,1H,3y,733
0.382,0.786,2.0,0.005,5,0.2,ob_only,267,147,120,29.2,173.19,34.34,5.04,2731.93,5,xrp,1H,3y,733
0.5,0.786,1.618,0.002,5,0.1,both,306,183,123,25.2,59.51,11.92,4.99,1595.12,5,xrp,1H,3y,733
0.382,0.786,1.272,0.002,3,0.2,ob_only,336,177,159,34.5,118.87,23.86,4.98,2188.74,5,xrp,1H,3y,733
0.5,0.786,1.272,0.002,5,0.1,both,340,198,142,29.4,59.74,12.2,4.9,1597.4,5,xrp,1H,3y,733
0.5,0.786,1.272,0.002,3,0.2,ob_only,313,167,146,31.6,84.88,17.42,4.87,1848.81,5,xrp,1H,3y,733
0.5,0.786,1.618,0.002,3,0.1,ob_only,282,156,126,27.3,39.14,8.05,4.86,1391.4,5,xrp,1H,3y,733
0.382,0.618,2.0,0.002,7,0.1,both,294,182,112,22.4,107.7,22.28,4.83,2077.05,5,xrp,1H,3y,733
0.382,0.786,2.0,0.002,7,0.2,ob_only,279,153,126,24.4,194.42,40.76,4.77,2944.18,5,xrp,1H,3y,733
0.382,0.618,1.618,0.002,3,0.1,ob_only,276,154,122,30.4,46.12,9.66,4.77,1461.19,5,xrp,1H,3y,733
0.382,0.618,1.272,0.002,7,0.1,ob_only,307,166,141,35.2,101.99,21.48,4.75,2019.95,5,xrp,1H,3y,733
0.382,0.618,2.0,0.005,7,0.1,both,284,176,108,27.5,108.47,23.06,4.7,2084.69,5,xrp,1H,3y,733
0.382,0.786,1.618,0.002,7,0.2,ob_only,304,165,139,28.3,220.11,47.03,4.68,3201.11,5,xrp,1H,3y,733
0.382,0.618,2.0,0.002,3,0.2,both,294,182,112,22.4,90.08,19.3,4.67,1900.84,5,xrp,1H,3y,733
0.382,0.786,1.272,0.005,7,0.2,ob_only,325,173,152,37.8,257.31,55.21,4.66,3573.14,5,xrp,1H,3y,733
