rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,long_trades,short_trades,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
30,65,2.0,atr_3x,7,0.3,True,39,9.8,10,29,60.0,51.7,157.17,25.17,6.24
30,65,1.5,atr_3x,7,0.3,True,42,10.5,10,32,60.0,40.6,113.02,27.21,4.15
30,70,1.5,atr_3x,7,0.3,True,26,6.5,10,16,60.0,50.0,112.05,11.75,9.54
30,65,2.0,atr_3x,5,0.3,True,39,9.8,10,29,60.0,51.7,102.54,18.45,5.56
25,65,2.0,atr_3x,7,0.3,True,30,7.5,1,29,100.0,51.7,98.81,18.46,5.35
30,70,2.0,atr_3x,7,0.3,True,23,5.8,10,13,60.0,53.8,98.02,17.16,5.71
30,65,2.0,atr_3x,7,0.2,True,39,9.8,10,29,60.0,51.7,94.18,17.29,5.45
30,65,1.5,atr_3x,5,0.3,True,42,10.5,10,32,60.0,40.6,76.55,19.72,3.88
30,70,1.5,atr_3x,5,0.3,True,26,6.5,10,16,60.0,50.0,74.41,8.47,8.79
30,65,1.5,atr_3x,7,0.2,True,42,10.5,10,32,60.0,40.6,70.75,18.45,3.83
30,70,1.5,atr_3x,7,0.2,True,26,6.5,10,16,60.0,50.0,68.58,7.92,8.66
30,65,2.0,atr_2x,7,0.3,True,41,10.2,10,31,60.0,61.3,68.48,20.74,3.3
25,65,2.0,atr_3x,5,0.3,True,30,7.5,1,29,100.0,51.7,67.02,13.3,5.04
30,70,2.0,atr_3x,5,0.3,True,23,5.8,10,13,60.0,53.8,66.2,12.45,5.32
30,65,2.0,atr_3x,5,0.2,True,39,9.8,10,29,60.0,51.7,62.93,12.56,5.01
30,75,1.5,atr_3x,7,0.3,True,15,3.8,10,5,60.0,40.0,62.4,11.43,5.46
25,65,2.0,atr_3x,7,0.2,True,30,7.5,1,29,100.0,51.7,61.97,12.42,4.99
30,70,2.0,atr_3x,7,0.2,True,23,5.8,10,13,60.0,53.8,61.17,11.65,5.25
30,65,1.5,atr_2x,7,0.3,True,45,11.2,10,35,60.0,51.4,60.97,17.63,3.46
30,70,1.0,atr_3x,7,0.3,True,29,7.2,12,17,41.7,41.2,60.77,17.84,3.41
25,65,2.0,atr_2x,7,0.3,True,32,8.0,1,31,100.0,61.3,55.97,18.01,3.11
30,65,1.0,atr_3x,7,0.3,True,50,12.5,12,38,41.7,31.6,55.88,24.58,2.27
30,65,2.0,atr_3x,3,0.3,True,39,9.8,10,29,60.0,51.7,55.67,11.35,4.9
25,70,2.0,atr_3x,7,0.3,True,14,3.5,1,13,100.0,53.8,53.08,13.52,3.93
25,65,1.5,atr_3x,7,0.3,True,33,8.2,1,32,100.0,40.6,52.98,21.91,2.42
25,70,1.5,atr_3x,7,0.3,True,17,4.2,1,16,100.0,50.0,52.28,11.75,4.45
30,65,1.5,atr_3x,5,0.2,True,42,10.5,10,32,60.0,40.6,48.45,13.28,3.65
30,65,2.0,atr_2x,5,0.3,True,41,10.2,10,31,60.0,61.3,48.07,15.13,3.18
30,70,1.5,atr_3x,5,0.2,True,26,6.5,10,16,60.0,50.0,46.51,5.69,8.18
30,75,2.0,atr_3x,7,0.3,True,15,3.8,10,5,60.0,40.0,46.06,14.62,3.15
30,65,1.5,bb_mid,7,0.3,True,46,11.5,10,36,60.0,58.3,45.22,18.71,2.42
30,65,2.0,atr_2x,7,0.2,True,41,10.2,10,31,60.0,61.3,44.69,14.17,3.15
30,65,1.5,atr_3x,3,0.3,True,42,10.5,10,32,60.0,40.6,43.12,11.97,3.6
30,65,1.5,atr_2x,5,0.3,True,45,11.2,10,35,60.0,51.4,42.98,12.49,3.44
30,75,1.5,atr_3x,5,0.3,True,15,3.8,10,5,60.0,40.0,42.93,8.24,5.21
25,65,2.0,atr_3x,5,0.2,True,30,7.5,1,29,100.0,51.7,42.55,8.92,4.77
30,70,1.0,atr_3x,5,0.3,True,29,7.2,12,17,41.7,41.2,42.41,13.03,3.26
30,70,2.0,atr_3x,5,0.2,True,23,5.8,10,13,60.0,53.8,41.91,8.41,4.98
30,65,2.0,atr_3x,7,0.1,True,39,9.8,10,29,60.0,51.7,41.8,8.9,4.7
30,70,1.5,atr_3x,3,0.3,True,26,6.5,10,16,60.0,50.0,41.3,5.13,8.06
30,65,1.0,atr_3x,5,0.3,True,50,12.5,12,38,41.7,31.6,40.36,17.69,2.28
30,65,1.5,atr_2x,7,0.2,True,45,11.2,10,35,60.0,51.4,40.0,11.64,3.44
30,75,1.5,atr_3x,7,0.2,True,15,3.8,10,5,60.0,40.0,39.81,7.71,5.16
30,70,1.0,atr_3x,7,0.2,True,29,7.2,12,17,41.7,41.2,39.41,12.2,3.23
25,65,2.0,atr_2x,5,0.3,True,32,8.0,1,31,100.0,61.3,39.38,12.98,3.03
25,65,1.5,atr_2x,7,0.3,True,36,9.0,1,35,100.0,51.4,38.43,16.44,2.34
25,65,1.5,atr_3x,5,0.3,True,33,8.2,1,32,100.0,40.6,38.27,15.59,2.46
25,65,2.0,atr_3x,3,0.3,True,30,7.5,1,29,100.0,51.7,37.9,8.03,4.72
30,65,1.0,atr_3x,7,0.2,True,50,12.5,12,38,41.7,31.6,37.7,16.53,2.28
30,70,2.0,atr_3x,3,0.3,True,23,5.8,10,13,60.0,53.8,37.32,7.59,4.92
25,70,2.0,atr_3x,5,0.3,True,14,3.5,1,13,100.0,53.8,37.05,9.75,3.8
30,70,1.5,bb_mid,7,0.3,True,26,6.5,10,16,60.0,56.2,36.68,12.52,2.93
25,65,2.0,atr_2x,7,0.2,True,32,8.0,1,31,100.0,61.3,36.64,12.13,3.02
25,70,1.5,atr_3x,5,0.3,True,17,4.2,1,16,100.0,50.0,36.59,8.47,4.32
30,65,2.0,bb_mid,7,0.3,True,41,10.2,10,31,60.0,67.7,36.29,22.2,1.64
25,65,1.5,atr_3x,7,0.2,True,33,8.2,1,32,100.0,40.6,35.75,14.53,2.46
30,65,2.0,atr_3x,3,0.2,True,39,9.8,10,29,60.0,51.7,35.19,7.66,4.59
25,70,2.0,atr_3x,7,0.2,True,14,3.5,1,13,100.0,53.8,34.44,9.11,3.78
25,70,1.5,atr_3x,7,0.2,True,17,4.2,1,16,100.0,50.0,34.02,7.92,4.3
30,70,1.5,atr_2x,7,0.3,True,26,6.5,10,16,60.0,50.0,33.71,15.89,2.12
30,65,1.5,atr_3x,7,0.1,True,42,10.5,10,32,60.0,40.6,32.77,9.34,3.51
