rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,long_trades,short_trades,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
25,65,2.0,atr_2x,7,0.3,True,36,9.0,2,34,50.0,70.6,157.79,23.89,6.61
30,65,2.0,atr_2x,7,0.3,True,42,10.5,8,34,50.0,70.6,150.89,23.42,6.44
35,65,2.0,atr_2x,7,0.3,True,62,15.5,28,34,50.0,70.6,133.27,40.01,3.33
25,65,1.5,atr_2x,7,0.3,True,38,9.5,2,36,50.0,61.1,122.21,22.79,5.36
25,65,1.0,atr_2x,7,0.3,True,42,10.5,2,40,50.0,52.5,112.59,14.14,7.96
30,65,2.0,atr_3x,7,0.3,True,42,10.5,8,34,50.0,55.9,109.67,31.06,3.53
25,65,2.0,atr_2x,5,0.3,True,36,9.0,2,34,50.0,70.6,101.87,17.39,5.86
30,65,2.0,atr_2x,5,0.3,True,42,10.5,8,34,50.0,70.6,99.04,17.05,5.81
25,65,1.0,bb_mid,7,0.3,True,42,10.5,2,40,50.0,57.5,96.24,13.22,7.28
25,65,2.0,atr_2x,7,0.2,True,36,9.0,2,34,50.0,70.6,93.42,16.29,5.74
35,65,2.0,atr_2x,5,0.3,True,62,15.5,28,34,50.0,70.6,92.62,29.87,3.1
30,65,2.0,atr_2x,7,0.2,True,42,10.5,8,34,50.0,70.6,91.04,15.96,5.7
35,65,2.0,atr_2x,7,0.2,True,62,15.5,28,34,50.0,70.6,85.84,28.08,3.06
25,65,1.5,bb_mid,7,0.3,True,38,9.5,2,36,50.0,66.7,84.81,22.77,3.72
25,65,2.0,bb_mid,7,0.3,True,36,9.0,2,34,50.0,76.5,81.18,23.89,3.4
25,65,1.5,atr_2x,5,0.3,True,38,9.5,2,36,50.0,61.1,81.0,16.54,4.9
30,65,2.0,atr_3x,5,0.3,True,42,10.5,8,34,50.0,55.9,78.19,22.95,3.41
25,65,1.5,atr_2x,7,0.2,True,38,9.5,2,36,50.0,61.1,74.61,15.47,4.82
25,65,1.0,atr_2x,5,0.3,True,42,10.5,2,40,50.0,52.5,74.53,10.12,7.37
30,65,2.0,atr_3x,7,0.2,True,42,10.5,8,34,50.0,55.9,72.78,21.54,3.38
25,65,1.0,atr_2x,7,0.2,True,42,10.5,2,40,50.0,52.5,68.66,9.45,7.27
30,65,2.0,bb_mid,7,0.3,True,42,10.5,8,34,62.5,76.5,68.29,23.42,2.92
30,65,1.0,atr_2x,7,0.3,True,52,13.0,12,40,25.0,52.5,66.15,20.3,3.26
