coin,leverage,pos_ratio,exposure_pct,liq_dist_pct,trades,long_trades,short_trades,win_rate,long_wr,short_wr,return_pct,max_drawdown,calmar,bh_ref
BTC,2,1.0,200.0,50.0,39,10,29,53.8,60.0,51.7,147.54,24.08,6.13,89.4
BTC,3,0.7,209.99999999999997,33.333333333333336,39,10,29,53.8,60.0,51.7,157.17,25.17,6.24,89.4
BTC,3,1.0,300.0,33.333333333333336,39,10,29,53.8,60.0,51.7,252.07,34.56,7.29,89.4
BTC,5,0.4,200.0,20.0,39,10,29,53.8,60.0,51.7,147.54,24.08,6.13,89.4
BTC,5,0.5,250.0,20.0,39,10,29,53.8,60.0,51.7,197.6,29.45,6.71,89.4
BTC,7,0.3,210.0,14.285714285714286,39,10,29,53.8,60.0,51.7,157.17,25.17,6.24,89.4
ETH,2,1.0,200.0,50.0,36,2,34,69.4,50.0,70.6,147.85,22.82,6.48,-19.4
ETH,3,0.7,209.99999999999997,33.333333333333336,36,2,34,69.4,50.0,70.6,157.79,23.89,6.61,-19.4
ETH,3,1.0,300.0,33.333333333333336,36,2,34,69.4,50.0,70.6,257.93,33.13,7.79,-19.4
ETH,5,0.4,200.0,20.0,36,2,34,69.4,50.0,70.6,147.85,22.82,6.48,-19.4
ETH,5,0.5,250.0,20.0,36,2,34,69.4,50.0,70.6,199.98,28.07,7.13,-19.4
ETH,7,0.3,210.0,14.285714285714286,36,2,34,69.4,50.0,70.6,157.79,23.89,6.61,-19.4
XRP,2,1.0,200.0,50.0,27,2,25,55.6,50.0,56.0,126.01,21.33,5.91,121.6
XRP,3,0.7,209.99999999999997,33.333333333333336,27,2,25,55.6,50.0,56.0,133.6,22.3,5.99,121.6
XRP,3,1.0,300.0,33.333333333333336,27,2,25,55.6,50.0,56.0,204.98,30.68,6.68,121.6
XRP,5,0.4,200.0,20.0,27,2,25,55.6,50.0,56.0,126.01,21.33,5.91,121.6
XRP,5,0.5,250.0,20.0,27,2,25,55.6,50.0,56.0,164.79,26.11,6.31,121.6
XRP,7,0.3,210.0,14.285714285714286,27,2,25,55.6,50.0,56.0,133.6,22.3,5.99,121.6
