coin,year,return_pct,max_drawdown,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,trades
BTC,2022,13.69,9.37,46.7,2,50.0,13,46.2,15
BTC,2023,12.07,19.02,50.0,4,75.0,6,33.3,10
BTC,2024,24.05,14.14,50.0,4,50.0,4,50.0,8
BTC,2025,62.71,1.24,83.3,0,0.0,6,83.3,6
BTC,2026,11.25,0.1,100.0,0,0.0,1,100.0,1
ETH,2022,63.54,23.89,75.0,2,50.0,10,80.0,12
ETH,2023,5.81,9.45,62.5,0,0.0,8,62.5,8
ETH,2024,17.59,7.58,71.4,0,0.0,7,71.4,7
ETH,2025,26.7,20.97,66.7,0,0.0,9,66.7,9
ETH,2026,-0.18,9.64,50.0,0,0.0,2,50.0,2
XRP,2022,23.07,18.62,57.1,0,0.0,7,57.1,7
XRP,2023,0.29,22.3,42.9,1,0.0,6,50.0,7
XRP,2024,13.93,15.16,50.0,0,0.0,6,50.0,6
XRP,2025,66.13,11.6,71.4,1,100.0,6,66.7,7
XRP,2026,7.19,18.2,50.0,0,0.0,4,50.0,4
