rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,long_trades,short_trades,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
25,65,2.0,atr_3x,7,0.3,True,27,6.8,2,25,50.0,56.0,133.6,22.3,5.99
35,65,2.0,atr_3x,7,0.3,True,43,10.8,18,25,33.3,56.0,124.01,39.21,3.16
30,65,2.0,atr_3x,7,0.3,True,31,7.8,6,25,33.3,56.0,108.15,28.85,3.75
25,70,2.0,atr_3x,7,0.3,True,11,2.8,2,9,50.0,66.7,96.63,18.62,5.19
35,70,2.0,atr_3x,5,0.2,False,294,73.5,167,127,43.7,44.1,91.77,78.63,1.17
35,70,2.0,atr_3x,3,0.3,False,294,73.5,167,127,43.7,44.1,91.14,74.86,1.22
35,65,2.0,atr_3x,5,0.3,True,43,10.8,18,25,33.3,56.0,90.95,29.4,3.09
25,65,2.0,atr_3x,5,0.3,True,27,6.8,2,25,50.0,56.0,89.55,16.33,5.48
35,70,2.0,atr_3x,7,0.3,True,27,6.8,18,9,33.3,66.7,88.55,41.06,2.16
35,65,2.0,atr_3x,7,0.2,True,43,10.8,18,25,33.3,56.0,84.96,27.66,3.07
25,65,2.0,atr_3x,7,0.2,True,27,6.8,2,25,50.0,56.0,82.6,15.31,5.4
35,70,2.0,atr_3x,7,0.1,False,294,73.5,167,127,43.7,44.1,82.28,65.41,1.26
35,75,2.0,bb_mid,7,0.3,True,20,5.0,18,2,66.7,100.0,78.44,25.31,3.1
30,65,2.0,atr_3x,5,0.3,True,31,7.8,6,25,33.3,56.0,75.6,21.37,3.54
30,70,2.0,atr_3x,7,0.3,True,15,3.8,6,9,33.3,66.7,75.21,24.5,3.07
35,70,2.0,atr_3x,3,0.2,False,294,73.5,167,127,43.7,44.1,74.41,59.53,1.25
30,65,2.0,atr_3x,7,0.2,True,31,7.8,6,25,33.3,56.0,70.18,20.07,3.5
35,70,2.0,atr_3x,7,0.2,False,294,73.5,167,127,43.7,44.1,69.78,89.06,0.78
35,70,2.0,atr_3x,5,0.3,True,27,6.8,18,9,33.3,66.7,66.14,31.03,2.13
35,70,2.0,bb_mid,7,0.3,True,27,6.8,18,9,66.7,66.7,64.95,31.06,2.09
25,70,2.0,atr_3x,5,0.3,True,11,2.8,2,9,50.0,66.7,64.93,13.5,4.81
35,70,2.0,atr_3x,5,0.1,False,294,73.5,167,127,43.7,44.1,64.59,52.75,1.22
35,70,2.0,atr_3x,7,0.2,True,27,6.8,18,9,33.3,66.7,62.03,29.24,2.12
35,65,2.0,atr_3x,5,0.2,True,43,10.8,18,25,33.3,56.0,60.34,20.39,2.96
25,70,2.0,atr_3x,7,0.2,True,11,2.8,2,9,50.0,66.7,59.96,12.63,4.75
35,70,2.0,atr_3x,5,0.3,False,294,73.5,167,127,43.7,44.1,59.23,90.79,0.65
25,65,2.0,atr_3x,5,0.2,True,27,6.8,2,25,50.0,56.0,56.12,11.12,5.05
35,75,2.0,bb_mid,5,0.3,True,20,5.0,18,2,66.7,100.0,54.64,18.4,2.97
35,65,2.0,atr_3x,3,0.3,True,43,10.8,18,25,33.3,56.0,54.1,18.5,2.92
30,70,2.0,atr_3x,5,0.3,True,15,3.8,6,9,33.3,66.7,52.79,17.96,2.94
30,70,2.0,atr_2x,7,0.3,True,15,3.8,6,9,50.0,66.7,52.3,18.62,2.81
35,75,2.0,bb_mid,7,0.2,True,20,5.0,18,2,66.7,100.0,50.73,17.23,2.95
25,65,2.0,atr_3x,3,0.3,True,27,6.8,2,25,50.0,56.0,49.84,10.05,4.96
25,75,2.0,atr_3x,7,0.3,True,4,1.0,2,2,50.0,100.0,49.7,1.92,25.9
30,70,2.0,atr_3x,7,0.2,True,15,3.8,6,9,33.3,66.7,49.08,16.84,2.92
30,65,2.0,atr_3x,5,0.2,True,31,7.8,6,25,33.3,56.0,48.85,14.68,3.33
35,70,2.0,bb_mid,5,0.3,True,27,6.8,18,9,66.7,66.7,46.78,22.89,2.04
35,65,2.0,bb_mid,7,0.3,True,43,10.8,18,25,66.7,64.0,46.25,31.01,1.49
35,70,2.0,atr_3x,5,0.2,True,27,6.8,18,9,33.3,66.7,44.81,21.69,2.07
35,70,2.0,bb_mid,7,0.2,True,27,6.8,18,9,66.7,66.7,43.66,21.47,2.03
30,65,2.0,atr_3x,3,0.3,True,31,7.8,6,25,33.3,56.0,43.64,13.3,3.28
35,75,2.0,atr_3x,7,0.3,True,20,5.0,18,2,33.3,100.0,43.55,36.14,1.21
25,70,2.0,atr_2x,7,0.3,True,11,2.8,2,9,50.0,66.7,43.54,18.62,2.34
35,65,2.0,atr_3x,7,0.1,True,43,10.8,18,25,33.3,56.0,41.65,14.62,2.85
25,70,2.0,atr_3x,5,0.2,True,11,2.8,2,9,50.0,66.7,41.0,9.11,4.5
30,65,2.0,atr_2x,7,0.3,True,31,7.8,6,25,50.0,56.0,40.95,28.85,1.42
35,70,2.0,atr_3x,3,0.1,False,294,73.5,167,127,43.7,44.1,40.63,35.9,1.13
35,70,2.0,atr_3x,3,0.3,True,27,6.8,18,9,33.3,66.7,40.37,19.7,2.05
25,75,2.0,bb_mid,7,0.3,True,4,1.0,2,2,100.0,100.0,40.04,0.1,381.35
35,75,2.0,atr_3x,7,0.1,False,241,60.2,167,74,43.7,41.9,39.07,56.97,0.69
30,75,2.0,bb_mid,7,0.3,True,8,2.0,6,2,66.7,100.0,38.92,10.78,3.61
30,75,2.0,atr_2x,7,0.3,True,8,2.0,6,2,50.0,100.0,38.75,10.78,3.59
25,65,2.0,atr_3x,7,0.1,True,27,6.8,2,25,50.0,56.0,37.72,7.88,4.79
35,75,2.0,atr_3x,3,0.2,False,241,60.2,167,74,43.7,41.9,37.55,51.24,0.73
35,75,2.0,atr_3x,3,0.3,False,241,60.2,167,74,43.7,41.9,37.21,66.64,0.56
30,70,2.0,atr_2x,5,0.3,True,15,3.8,6,9,50.0,66.7,37.11,13.5,2.75
25,70,2.0,atr_3x,3,0.3,True,11,2.8,2,9,50.0,66.7,36.49,8.22,4.44
35,65,2.0,bb_mid,5,0.3,True,43,10.8,18,25,66.7,64.0,35.66,22.77,1.57
35,65,2.0,atr_3x,3,0.2,True,43,10.8,18,25,33.3,56.0,35.48,12.63,2.81
