adx_thresh,sl_mult,leverage,pos_ratio,trades,trades_per_yr,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar,macd_fast,macd_slow,macd_sig
20,3.0,2,0.3,71,17.8,34,37,39.4,35.3,43.2,-10.3,36.72,-0.28,12,26,9
20,2.0,2,0.3,83,20.8,40,43,36.1,35.0,37.2,-11.6,42.42,-0.27,12,21,9
20,2.0,2,0.3,103,25.8,50,53,35.0,34.0,35.8,-16.08,40.48,-0.4,8,21,9
20,2.0,2,0.3,73,18.2,35,38,32.9,31.4,34.2,-18.94,36.41,-0.52,12,26,9
20,3.0,3,0.3,71,17.8,34,37,39.4,35.3,43.2,-22.56,51.32,-0.44,12,26,9
20,2.0,3,0.3,83,20.8,40,43,36.1,35.0,37.2,-23.51,56.69,-0.41,12,21,9
20,3.0,2,0.3,79,19.8,38,41,38.0,36.8,39.0,-24.85,40.26,-0.62,12,21,9
25,3.0,2,0.3,51,12.8,26,25,37.3,34.6,40.0,-25.09,33.25,-0.75,12,21,9
20,3.0,2,0.5,71,17.8,34,37,39.4,35.3,43.2,-27.26,55.62,-0.49,12,26,9
20,2.0,2,0.5,83,20.8,40,43,36.1,35.0,37.2,-27.96,60.67,-0.46,12,21,9
20,0.0,2,0.3,64,16.0,32,32,42.2,37.5,46.9,-29.36,48.78,-0.6,12,26,9
25,3.0,2,0.3,52,13.0,27,25,34.6,29.6,40.0,-29.46,38.56,-0.76,12,26,9
20,2.0,3,0.3,103,25.8,50,53,35.0,34.0,35.8,-29.59,54.46,-0.54,8,21,9
25,2.0,2,0.3,66,16.5,34,32,27.3,29.4,25.0,-29.76,37.8,-0.79,8,21,9
20,2.0,3,0.3,73,18.2,35,38,32.9,31.4,34.2,-32.38,49.83,-0.65,12,26,9
20,0.0,2,0.3,72,18.0,36,36,37.5,36.1,38.9,-33.96,45.33,-0.75,12,21,9
20,2.0,2,0.5,103,25.8,50,53,35.0,34.0,35.8,-34.41,58.4,-0.59,8,21,9
25,0.0,2,0.3,44,11.0,22,22,38.6,36.4,40.9,-36.74,42.69,-0.86,12,21,9
20,2.0,2,0.5,73,18.2,35,38,32.9,31.4,34.2,-37.04,53.8,-0.69,12,26,9
20,0.0,2,0.3,92,23.0,46,46,35.9,34.8,37.0,-37.86,45.57,-0.83,8,21,9
20,3.0,2,0.3,100,25.0,48,52,36.0,35.4,36.5,-38.18,45.26,-0.84,8,21,9
25,0.0,2,0.3,44,11.0,22,22,38.6,31.8,45.5,-38.2,44.51,-0.86,12,26,9
20,3.0,3,0.3,79,19.8,38,41,38.0,36.8,39.0,-40.85,54.48,-0.75,12,21,9
20,2.0,2,0.3,102,25.5,50,52,29.4,28.0,30.8,-41.68,54.48,-0.76,8,26,9
25,3.0,3,0.3,51,12.8,26,25,37.3,34.6,40.0,-42.16,48.63,-0.87,12,21,9
25,0.0,2,0.3,56,14.0,28,28,32.1,35.7,28.6,-42.36,48.96,-0.87,8,21,9
20,3.0,2,0.5,79,19.8,38,41,38.0,36.8,39.0,-46.16,58.61,-0.79,12,21,9
25,3.0,2,0.3,63,15.8,31,32,30.2,32.3,28.1,-46.18,52.34,-0.88,8,21,9
25,2.0,3,0.3,66,16.5,34,32,27.3,29.4,25.0,-46.87,55.51,-0.84,8,21,9
25,3.0,3,0.3,52,13.0,27,25,34.6,29.6,40.0,-47.12,55.23,-0.85,12,26,9
25,2.0,2,0.3,54,13.5,28,26,29.6,25.0,34.6,-47.59,51.64,-0.92,12,21,9
25,3.0,2,0.5,51,12.8,26,25,37.3,34.6,40.0,-47.79,54.2,-0.88,12,21,9
25,3.0,2,0.3,59,14.8,30,29,30.5,30.0,31.0,-48.92,53.23,-0.92,8,26,9
25,0.0,2,0.3,50,12.5,25,25,34.0,36.0,32.0,-50.04,54.26,-0.92,8,26,9
20,0.0,3,0.3,64,16.0,32,32,42.2,37.5,46.9,-50.31,67.39,-0.75,12,26,9
20,2.0,5,0.3,83,20.8,40,43,36.1,35.0,37.2,-51.1,76.1,-0.67,12,21,9
20,2.0,3,0.5,83,20.8,40,43,36.1,35.0,37.2,-51.1,76.1,-0.67,12,21,9
20,3.0,5,0.3,71,17.8,34,37,39.4,35.3,43.2,-52.0,73.31,-0.71,12,26,9
20,3.0,3,0.5,71,17.8,34,37,39.4,35.3,43.2,-52.0,73.31,-0.71,12,26,9
25,2.0,2,0.5,66,16.5,34,32,27.3,29.4,25.0,-52.25,60.73,-0.86,8,21,9
25,3.0,2,0.5,52,13.0,27,25,34.6,29.6,40.0,-52.73,60.36,-0.87,12,26,9
20,3.0,2,0.3,98,24.5,47,51,31.6,29.8,33.3,-53.51,62.29,-0.86,8,26,9
20,0.0,3,0.3,72,18.0,36,36,37.5,36.1,38.9,-53.94,64.57,-0.84,12,21,9
20,0.0,2,0.3,90,22.5,45,45,31.1,28.9,33.3,-54.56,63.84,-0.85,8,26,9
25,2.0,2,0.3,55,13.8,29,26,23.6,20.7,26.9,-54.75,59.37,-0.92,12,26,9
25,0.0,3,0.3,44,11.0,22,22,38.6,36.4,40.9,-56.11,61.01,-0.92,12,21,9
20,3.0,3,0.3,100,25.0,48,52,36.0,35.4,36.5,-56.29,63.39,-0.89,8,21,9
25,0.0,3,0.3,44,11.0,22,22,38.6,31.8,45.5,-57.1,63.41,-0.9,12,26,9
20,0.0,3,0.3,92,23.0,46,46,35.9,34.8,37.0,-57.23,64.18,-0.89,8,21,9
20,0.0,2,0.5,64,16.0,32,32,42.2,37.5,46.9,-57.27,72.63,-0.79,12,26,9
20,2.0,5,0.3,103,25.8,50,53,35.0,34.0,35.8,-57.98,73.81,-0.79,8,21,9
20,2.0,3,0.5,103,25.8,50,53,35.0,34.0,35.8,-57.98,73.81,-0.79,8,21,9
25,2.0,2,0.3,61,15.2,32,29,24.6,21.9,27.6,-58.94,62.4,-0.94,8,26,9
20,2.0,3,0.3,102,25.5,50,52,29.4,28.0,30.8,-59.39,71.19,-0.83,8,26,9
20,2.0,5,0.3,73,18.2,35,38,32.9,31.4,34.2,-59.4,72.17,-0.82,12,26,9
20,2.0,3,0.5,73,18.2,35,38,32.9,31.4,34.2,-59.4,72.17,-0.82,12,26,9
20,0.0,2,0.5,72,18.0,36,36,37.5,36.1,38.9,-60.25,70.07,-0.86,12,21,9
20,3.0,2,0.5,100,25.0,48,52,36.0,35.4,36.5,-61.65,68.46,-0.9,8,21,9
25,0.0,3,0.3,56,14.0,28,28,32.1,35.7,28.6,-61.79,68.0,-0.91,8,21,9
25,0.0,2,0.5,44,11.0,22,22,38.6,36.4,40.9,-61.99,66.65,-0.93,12,21,9
25,0.0,2,0.5,44,11.0,22,22,38.6,31.8,45.5,-62.79,68.79,-0.91,12,26,9
20,0.0,2,0.5,92,23.0,46,46,35.9,34.8,37.0,-63.08,69.63,-0.91,8,21,9
25,3.0,3,0.3,63,15.8,31,32,30.2,32.3,28.1,-64.3,70.1,-0.92,8,21,9
20,2.0,2,0.5,102,25.5,50,52,29.4,28.0,30.8,-64.48,75.48,-0.85,8,26,9
25,2.0,3,0.3,54,13.5,28,26,29.6,25.0,34.6,-64.62,68.57,-0.94,12,21,9
25,0.0,2,0.5,56,14.0,28,28,32.1,35.7,28.6,-67.4,73.18,-0.92,8,21,9
25,3.0,3,0.3,59,14.8,30,29,30.5,30.0,31.0,-67.62,71.56,-0.94,8,26,9
25,0.0,3,0.3,50,12.5,25,25,34.0,36.0,32.0,-69.05,72.82,-0.95,8,26,9
25,2.0,2,0.5,54,13.5,28,26,29.6,25.0,34.6,-69.27,73.04,-0.95,12,21,9
25,3.0,2,0.5,63,15.8,31,32,30.2,32.3,28.1,-69.3,74.75,-0.93,8,21,9
20,3.0,5,0.3,79,19.8,38,41,38.0,36.8,39.0,-69.78,78.16,-0.89,12,21,9
20,3.0,3,0.5,79,19.8,38,41,38.0,36.8,39.0,-69.78,78.16,-0.89,12,21,9
20,2.0,2,1.0,83,20.8,40,43,36.1,35.0,37.2,-71.24,86.14,-0.83,12,21,9
25,2.0,3,0.3,55,13.8,29,26,23.6,20.7,26.9,-71.53,75.72,-0.94,12,26,9
20,3.0,3,0.3,98,24.5,47,51,31.6,29.8,33.3,-71.61,78.58,-0.91,8,26,9
25,3.0,3,0.5,51,12.8,26,25,37.3,34.6,40.0,-72.3,77.1,-0.94,12,21,9
25,3.0,5,0.3,51,12.8,26,25,37.3,34.6,40.0,-72.3,77.1,-0.94,12,21,9
25,3.0,2,0.5,59,14.8,30,29,30.5,30.0,31.0,-72.65,76.31,-0.95,8,26,9
20,3.0,2,1.0,71,17.8,34,37,39.4,35.3,43.2,-73.42,86.27,-0.85,12,26,9
20,0.0,3,0.3,90,22.5,45,45,31.1,28.9,33.3,-73.62,80.83,-0.91,8,26,9
25,0.0,2,0.5,50,12.5,25,25,34.0,36.0,32.0,-74.18,77.63,-0.96,8,26,9
25,2.0,5,0.3,66,16.5,34,32,27.3,29.4,25.0,-74.62,80.81,-0.92,8,21,9
25,2.0,3,0.5,66,16.5,34,32,27.3,29.4,25.0,-74.62,80.81,-0.92,8,21,9
25,2.0,3,0.3,61,15.2,32,29,24.6,21.9,27.6,-75.51,78.5,-0.96,8,26,9
25,2.0,2,0.5,55,13.8,29,26,23.6,20.7,26.9,-75.84,79.74,-0.95,12,26,9
25,3.0,3,0.5,52,13.0,27,25,34.6,29.6,40.0,-76.1,81.54,-0.93,12,26,9
25,3.0,5,0.3,52,13.0,27,25,34.6,29.6,40.0,-76.1,81.54,-0.93,12,26,9
20,3.0,2,0.5,98,24.5,47,51,31.6,29.8,33.3,-76.3,82.46,-0.93,8,26,9
20,2.0,2,1.0,103,25.8,50,53,35.0,34.0,35.8,-76.76,83.81,-0.92,8,21,9
20,2.0,2,1.0,73,18.2,35,38,32.9,31.4,34.2,-77.12,84.83,-0.91,12,26,9
20,0.0,2,0.5,90,22.5,45,45,31.1,28.9,33.3,-78.54,84.82,-0.93,8,26,9
25,2.0,2,0.5,61,15.2,32,29,24.6,21.9,27.6,-79.6,82.33,-0.97,8,26,9
20,3.0,3,0.5,100,25.0,48,52,36.0,35.4,36.5,-82.27,86.6,-0.95,8,21,9
20,3.0,5,0.3,100,25.0,48,52,36.0,35.4,36.5,-82.27,86.6,-0.95,8,21,9
20,2.0,5,0.3,102,25.5,50,52,29.4,28.0,30.8,-83.48,89.78,-0.93,8,26,9
20,2.0,3,0.5,102,25.5,50,52,29.4,28.0,30.8,-83.48,89.78,-0.93,8,26,9
25,0.0,5,0.3,44,11.0,22,22,38.6,36.4,40.9,-84.71,87.36,-0.97,12,21,9
25,0.0,3,0.5,44,11.0,22,22,38.6,36.4,40.9,-84.71,87.36,-0.97,12,21,9
