adx_thresh,sl_mult,leverage,pos_ratio,trades,trades_per_yr,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar,macd_fast,macd_slow,macd_sig
25,2.0,5,0.5,69,17.2,35,34,44.9,42.9,47.1,1789.03,65.41,27.35,8,26,9
25,2.0,2,1.0,69,17.2,35,34,44.9,42.9,47.1,1653.29,54.87,30.13,8,26,9
25,2.0,3,1.0,69,17.2,35,34,44.9,42.9,47.1,1515.16,74.23,20.41,8,26,9
25,2.0,3,0.5,69,17.2,35,34,44.9,42.9,47.1,1188.6,42.69,27.84,8,26,9
25,2.0,5,0.3,69,17.2,35,34,44.9,42.9,47.1,1188.6,42.69,27.84,8,26,9
25,2.0,2,1.0,63,15.8,32,31,50.8,46.9,54.8,730.21,59.16,12.34,12,21,9
25,2.0,5,0.5,63,15.8,32,31,50.8,46.9,54.8,657.66,68.6,9.59,12,21,9
25,2.0,2,0.5,69,17.2,35,34,44.9,42.9,47.1,638.91,29.14,21.93,8,26,9
25,2.0,3,0.5,63,15.8,32,31,50.8,46.9,54.8,621.22,47.81,12.99,12,21,9
25,2.0,5,0.3,63,15.8,32,31,50.8,46.9,54.8,621.22,47.81,12.99,12,21,9
25,3.0,3,0.5,69,17.2,35,34,44.9,42.9,47.1,544.52,59.63,9.13,8,26,9
25,3.0,5,0.3,69,17.2,35,34,44.9,42.9,47.1,544.52,59.63,9.13,8,26,9
25,2.0,3,0.3,69,17.2,35,34,44.9,42.9,47.1,540.24,26.3,20.54,8,26,9
25,3.0,2,1.0,69,17.2,35,34,44.9,42.9,47.1,537.97,72.69,7.4,8,26,9
25,3.0,5,0.3,77,19.2,39,38,42.9,38.5,47.4,462.77,66.43,6.97,8,21,9
25,3.0,3,0.5,77,19.2,39,38,42.9,38.5,47.4,462.77,66.43,6.97,8,21,9
25,2.0,3,0.5,77,19.2,39,38,41.6,35.9,47.4,445.57,73.24,6.08,8,21,9
25,2.0,5,0.3,77,19.2,39,38,41.6,35.9,47.4,445.57,73.24,6.08,8,21,9
25,2.0,3,1.0,63,15.8,32,31,50.8,46.9,54.8,445.27,82.2,5.42,12,21,9
25,2.0,2,1.0,77,19.2,39,38,41.6,35.9,47.4,444.19,84.72,5.24,8,21,9
25,3.0,2,1.0,77,19.2,39,38,42.9,38.5,47.4,421.63,80.54,5.23,8,21,9
25,2.0,2,0.5,63,15.8,32,31,50.8,46.9,54.8,392.75,34.33,11.44,12,21,9
25,3.0,2,0.5,69,17.2,35,34,44.9,42.9,47.1,382.55,43.04,8.89,8,26,9
25,3.0,5,0.5,69,17.2,35,34,44.9,42.9,47.1,365.34,82.96,4.4,8,26,9
