adx_thresh,sl_mult,leverage,pos_ratio,trades,trades_per_yr,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar,macd_fast,macd_slow,macd_sig
20,2.0,2,0.3,74,18.5,36,38,33.8,25.0,42.1,91.94,48.62,1.89,8,21,9
20,2.0,3,0.3,74,18.5,36,38,33.8,25.0,42.1,78.67,64.59,1.22,8,21,9
20,2.0,2,0.5,74,18.5,36,38,33.8,25.0,42.1,68.32,68.92,0.99,8,21,9
20,2.0,2,0.3,68,17.0,34,34,30.9,23.5,38.2,63.96,56.47,1.13,12,21,9
20,3.0,2,0.3,72,18.0,35,37,36.1,25.7,45.9,49.59,58.82,0.84,8,21,9
20,2.0,2,0.3,70,17.5,34,36,34.3,26.5,41.7,41.59,53.28,0.78,8,26,9
20,2.0,2,0.3,59,14.8,30,29,32.2,23.3,41.4,39.62,48.96,0.81,12,26,9
20,2.0,3,0.3,68,17.0,34,34,30.9,23.5,38.2,38.05,72.5,0.52,12,21,9
20,3.0,2,0.3,64,16.0,31,33,32.8,25.8,39.4,33.24,63.93,0.52,12,21,9
20,2.0,2,0.5,68,17.0,34,34,30.9,23.5,38.2,25.43,76.57,0.33,12,21,9
20,3.0,3,0.3,72,18.0,35,37,36.1,25.7,45.9,22.22,75.27,0.3,8,21,9
20,3.0,2,0.3,68,17.0,33,35,36.8,27.3,45.7,20.81,62.56,0.33,8,26,9
20,2.0,3,0.3,70,17.5,34,36,34.3,26.5,41.7,15.96,69.26,0.23,8,26,9
20,3.0,2,0.5,72,18.0,35,37,36.1,25.7,45.9,9.64,79.38,0.12,8,21,9
20,0.0,2,0.3,57,14.2,29,28,31.6,27.6,35.7,8.21,63.59,0.13,12,21,9
20,2.0,3,0.3,59,14.8,30,29,32.2,23.3,41.4,7.15,66.02,0.11,12,26,9
20,2.0,2,0.5,70,17.5,34,36,34.3,26.5,41.7,4.8,73.42,0.07,8,26,9
20,0.0,2,0.3,65,16.2,33,32,35.4,24.2,46.9,2.4,61.29,0.04,8,21,9
20,2.0,3,0.5,74,18.5,36,38,33.8,25.0,42.1,-0.17,84.61,-0.0,8,21,9
20,2.0,5,0.3,74,18.5,36,38,33.8,25.0,42.1,-0.17,84.61,-0.0,8,21,9
20,3.0,3,0.3,64,16.0,31,33,32.8,25.8,39.4,-0.46,79.79,-0.01,12,21,9
20,2.0,2,0.5,59,14.8,30,29,32.2,23.3,41.4,-5.79,70.65,-0.08,12,26,9
20,3.0,3,0.3,68,17.0,33,35,36.8,27.3,45.7,-10.4,78.53,-0.13,8,26,9
20,3.0,2,0.3,57,14.2,28,29,33.3,25.0,41.4,-13.44,60.27,-0.22,12,26,9
20,3.0,2,0.5,64,16.0,31,33,32.8,25.8,39.4,-13.53,83.54,-0.16,12,21,9
20,0.0,2,0.3,49,12.2,25,24,32.7,28.0,37.5,-21.23,66.7,-0.32,12,26,9
20,3.0,2,0.5,68,17.0,33,35,36.8,27.3,45.7,-22.08,82.37,-0.27,8,26,9
20,0.0,2,0.3,61,15.2,31,30,36.1,25.8,46.7,-24.67,63.32,-0.39,8,26,9
20,0.0,3,0.3,57,14.2,29,28,31.6,27.6,35.7,-28.41,79.64,-0.36,12,21,9
25,2.0,2,0.3,53,13.2,26,27,28.3,19.2,37.0,-29.56,59.85,-0.49,8,21,9
20,0.0,3,0.3,65,16.2,33,32,35.4,24.2,46.9,-33.33,77.78,-0.43,8,21,9
25,3.0,2,0.3,53,13.2,26,27,32.1,19.2,44.4,-33.56,68.02,-0.49,8,21,9
20,2.0,3,0.5,68,17.0,34,34,30.9,23.5,38.2,-39.41,90.06,-0.44,12,21,9
20,2.0,5,0.3,68,17.0,34,34,30.9,23.5,38.2,-39.41,90.06,-0.44,12,21,9
20,0.0,2,0.5,57,14.2,29,28,31.6,27.6,35.7,-40.61,83.45,-0.49,12,21,9
20,0.0,2,0.5,65,16.2,33,32,35.4,24.2,46.9,-45.09,81.81,-0.55,8,21,9
25,2.0,3,0.3,53,13.2,26,27,28.3,19.2,37.0,-48.66,76.03,-0.64,8,21,9
20,2.0,3,0.5,70,17.5,34,36,34.3,26.5,41.7,-49.33,87.79,-0.56,8,26,9
20,2.0,5,0.3,70,17.5,34,36,34.3,26.5,41.7,-49.33,87.79,-0.56,8,26,9
25,3.0,2,0.3,50,12.5,24,26,32.0,20.8,42.3,-50.04,70.75,-0.71,8,26,9
20,3.0,3,0.3,57,14.2,28,29,33.3,25.0,41.4,-50.83,77.6,-0.66,12,26,9
20,3.0,3,0.5,72,18.0,35,37,36.1,25.7,45.9,-52.01,92.5,-0.56,8,21,9
20,3.0,5,0.3,72,18.0,35,37,36.1,25.7,45.9,-52.01,92.5,-0.56,8,21,9
25,2.0,2,0.3,50,12.5,24,26,28.0,20.8,34.6,-54.65,64.14,-0.85,8,26,9
25,2.0,2,0.5,53,13.2,26,27,28.3,19.2,37.0,-54.72,80.0,-0.68,8,21,9
25,3.0,3,0.3,53,13.2,26,27,32.1,19.2,44.4,-54.98,83.57,-0.66,8,21,9
25,2.0,2,0.3,48,12.0,23,25,27.1,21.7,32.0,-56.01,64.09,-0.87,12,21,9
20,2.0,2,1.0,74,18.5,36,38,33.8,25.0,42.1,-57.69,93.08,-0.62,8,21,9
25,3.0,2,0.3,48,12.0,23,25,29.2,21.7,36.0,-57.82,73.16,-0.79,12,21,9
20,0.0,3,0.3,49,12.2,25,24,32.7,28.0,37.5,-58.44,83.9,-0.7,12,26,9
20,0.0,3,0.3,61,15.2,31,30,36.1,25.8,46.7,-60.58,79.52,-0.76,8,26,9
20,3.0,2,0.5,57,14.2,28,29,33.3,25.0,41.4,-61.36,81.85,-0.75,12,26,9
25,3.0,2,0.5,53,13.2,26,27,32.1,19.2,44.4,-61.57,87.06,-0.71,8,21,9
20,2.0,5,0.3,59,14.8,30,29,32.2,23.3,41.4,-61.99,87.05,-0.71,12,26,9
20,2.0,3,0.5,59,14.8,30,29,32.2,23.3,41.4,-61.99,87.05,-0.71,12,26,9
25,2.0,2,0.3,44,11.0,21,23,25.0,19.0,30.4,-65.85,70.8,-0.93,12,26,9
20,3.0,3,0.5,64,16.0,31,33,32.8,25.8,39.4,-68.35,94.71,-0.72,12,21,9
20,3.0,5,0.3,64,16.0,31,33,32.8,25.8,39.4,-68.35,94.71,-0.72,12,21,9
20,0.0,2,0.5,49,12.2,25,24,32.7,28.0,37.5,-68.67,87.85,-0.78,12,26,9
20,0.0,2,0.5,61,15.2,31,30,36.1,25.8,46.7,-70.39,83.39,-0.84,8,26,9
25,3.0,3,0.3,50,12.5,24,26,32.0,20.8,42.3,-70.55,85.63,-0.82,8,26,9
20,3.0,3,0.5,68,17.0,33,35,36.8,27.3,45.7,-70.65,94.05,-0.75,8,26,9
20,3.0,5,0.3,68,17.0,33,35,36.8,27.3,45.7,-70.65,94.05,-0.75,8,26,9
25,2.0,3,0.3,50,12.5,24,26,28.0,20.8,34.6,-72.98,80.58,-0.91,8,26,9
25,2.0,3,0.3,48,12.0,23,25,27.1,21.7,32.0,-74.2,80.78,-0.92,12,21,9
25,3.0,2,0.3,44,11.0,21,23,27.3,23.8,30.4,-75.12,78.73,-0.95,12,26,9
25,3.0,2,0.5,50,12.5,24,26,32.0,20.8,42.3,-76.0,88.85,-0.86,8,26,9
25,3.0,3,0.3,48,12.0,23,25,29.2,21.7,36.0,-77.19,88.07,-0.88,12,21,9
25,2.0,2,0.5,50,12.5,24,26,28.0,20.8,34.6,-77.68,84.47,-0.92,8,26,9
25,2.0,2,0.5,48,12.0,23,25,27.1,21.7,32.0,-78.8,84.67,-0.93,12,21,9
25,2.0,5,0.3,53,13.2,26,27,28.3,19.2,37.0,-79.22,92.51,-0.86,8,21,9
25,2.0,3,0.5,53,13.2,26,27,28.3,19.2,37.0,-79.22,92.51,-0.86,8,21,9
20,2.0,2,1.0,68,17.0,34,34,30.9,23.5,38.2,-80.12,96.22,-0.83,12,21,9
25,3.0,2,0.5,48,12.0,23,25,29.2,21.7,36.0,-81.95,91.13,-0.9,12,21,9
25,2.0,3,0.3,44,11.0,21,23,25.0,19.0,30.4,-82.09,85.77,-0.96,12,26,9
20,2.0,2,1.0,70,17.5,34,36,34.3,26.5,41.7,-82.55,94.9,-0.87,8,26,9
20,0.0,5,0.3,57,14.2,29,28,31.6,27.6,35.7,-84.02,94.85,-0.89,12,21,9
20,0.0,3,0.5,57,14.2,29,28,31.6,27.6,35.7,-84.02,94.85,-0.89,12,21,9
25,2.0,2,0.5,44,11.0,21,23,25.0,19.0,30.4,-85.8,88.98,-0.96,12,26,9
20,0.0,3,0.5,65,16.2,33,32,35.4,24.2,46.9,-86.19,94.27,-0.91,8,21,9
20,0.0,5,0.3,65,16.2,33,32,35.4,24.2,46.9,-86.19,94.27,-0.91,8,21,9
25,3.0,5,0.3,53,13.2,26,27,32.1,19.2,44.4,-86.28,96.63,-0.89,8,21,9
25,3.0,3,0.5,53,13.2,26,27,32.1,19.2,44.4,-86.28,96.63,-0.89,8,21,9
20,2.0,5,0.5,74,18.5,36,38,33.8,25.0,42.1,-87.04,97.24,-0.9,8,21,9
20,3.0,2,1.0,72,18.0,35,37,36.1,25.7,45.9,-87.08,97.83,-0.89,8,21,9
25,3.0,3,0.3,44,11.0,21,23,27.3,23.8,30.4,-89.49,91.65,-0.98,12,26,9
20,2.0,2,1.0,59,14.8,30,29,32.2,23.3,41.4,-89.92,95.14,-0.95,12,26,9
