scenario,month,monthly_ret
BuyHold,2022-01,0.0
BuyHold,2022-02,0.14
BuyHold,2022-03,23.32
BuyHold,2022-04,-31.22
BuyHold,2022-05,-45.85
BuyHold,2022-06,-26.29
BuyHold,2022-07,25.47
BuyHold,2022-08,-25.66
BuyHold,2022-09,5.59
BuyHold,2022-10,-2.05
BuyHold,2022-11,-56.48
BuyHold,2022-12,-29.61
BuyHold,2023-01,139.9
BuyHold,2023-02,-8.52
BuyHold,2023-03,-3.26
BuyHold,2023-04,7.41
BuyHold,2023-05,-8.45
BuyHold,2023-06,-9.38
BuyHold,2023-07,25.76
BuyHold,2023-08,-16.85
BuyHold,2023-09,8.26
BuyHold,2023-10,79.75
BuyHold,2023-11,54.56
BuyHold,2023-12,71.61
BuyHold,2024-01,-4.78
BuyHold,2024-02,29.78
BuyHold,2024-03,61.15
BuyHold,2024-04,-37.49
BuyHold,2024-05,30.85
BuyHold,2024-06,-11.57
BuyHold,2024-07,17.09
BuyHold,2024-08,-21.19
BuyHold,2024-09,12.69
BuyHold,2024-10,10.62
BuyHold,2024-11,40.99
BuyHold,2024-12,-20.41
BuyHold,2025-01,22.39
BuyHold,2025-02,-36.05
BuyHold,2025-03,-15.95
BuyHold,2025-04,18.47
BuyHold,2025-05,6.02
BuyHold,2025-06,-1.04
BuyHold,2025-07,11.26
BuyHold,2025-08,16.51
BuyHold,2025-09,4.0
BuyHold,2025-10,-10.29
BuyHold,2025-11,-28.72
BuyHold,2025-12,-6.59
FuturesOnly,2022-01,0.0
FuturesOnly,2022-02,0.0
FuturesOnly,2022-03,0.0
FuturesOnly,2022-04,-25.15
FuturesOnly,2022-05,0.0
FuturesOnly,2022-06,0.0
FuturesOnly,2022-07,0.0
FuturesOnly,2022-08,0.0
FuturesOnly,2022-09,0.0
FuturesOnly,2022-10,0.0
FuturesOnly,2022-11,0.0
FuturesOnly,2022-12,0.0
FuturesOnly,2023-01,47.35
FuturesOnly,2023-02,-1.82
FuturesOnly,2023-03,0.0
FuturesOnly,2023-04,-7.33
FuturesOnly,2023-05,0.0
FuturesOnly,2023-06,0.0
FuturesOnly,2023-07,-3.54
FuturesOnly,2023-08,-8.29
FuturesOnly,2023-09,0.0
FuturesOnly,2023-10,-10.4
FuturesOnly,2023-11,65.59
FuturesOnly,2023-12,39.37
FuturesOnly,2024-01,9.29
FuturesOnly,2024-02,7.73
FuturesOnly,2024-03,25.36
FuturesOnly,2024-04,-7.33
FuturesOnly,2024-05,-0.71
FuturesOnly,2024-06,8.8
FuturesOnly,2024-07,12.24
FuturesOnly,2024-08,-5.86
FuturesOnly,2024-09,-0.1
FuturesOnly,2024-10,-4.46
FuturesOnly,2024-11,-2.65
FuturesOnly,2024-12,-19.56
FuturesOnly,2025-01,-8.24
FuturesOnly,2025-02,-11.76
FuturesOnly,2025-03,0.0
FuturesOnly,2025-04,7.83
FuturesOnly,2025-05,12.65
FuturesOnly,2025-06,0.0
FuturesOnly,2025-07,14.42
FuturesOnly,2025-08,5.51
FuturesOnly,2025-09,-0.09
FuturesOnly,2025-10,-4.77
FuturesOnly,2025-11,0.0
FuturesOnly,2025-12,0.0
B_partial,2022-01,0.0
B_partial,2022-02,0.14
B_partial,2022-03,23.32
B_partial,2022-04,-46.81
B_partial,2022-05,-45.85
B_partial,2022-06,-26.29
B_partial,2022-07,25.47
B_partial,2022-08,-25.66
B_partial,2022-09,5.59
B_partial,2022-10,-2.05
B_partial,2022-11,-56.48
B_partial,2022-12,-29.61
B_partial,2023-01,225.4
B_partial,2023-02,-9.71
B_partial,2023-03,-3.26
B_partial,2023-04,0.19
B_partial,2023-05,-8.45
B_partial,2023-06,-9.38
B_partial,2023-07,20.08
B_partial,2023-08,-24.16
B_partial,2023-09,8.26
B_partial,2023-10,62.1
B_partial,2023-11,128.65
B_partial,2023-12,120.84
B_partial,2024-01,0.85
B_partial,2024-02,36.78
B_partial,2024-03,91.64
B_partial,2024-04,-41.86
B_partial,2024-05,30.13
B_partial,2024-06,-5.27
B_partial,2024-07,28.94
B_partial,2024-08,-25.24
B_partial,2024-09,12.65
B_partial,2024-10,6.32
B_partial,2024-11,35.04
B_partial,2024-12,-34.35
B_partial,2025-01,13.45
B_partial,2025-02,-42.68
B_partial,2025-03,-15.95
B_partial,2025-04,26.2
B_partial,2025-05,16.44
B_partial,2025-06,-1.04
B_partial,2025-07,24.42
B_partial,2025-08,21.07
B_partial,2025-09,3.81
B_partial,2025-10,-14.06
B_partial,2025-11,-28.72
B_partial,2025-12,-6.59
