scenario,month,monthly_ret
BuyHold,2022-01,0.0
BuyHold,2022-02,26.47
BuyHold,2022-03,4.34
BuyHold,2022-04,-28.32
BuyHold,2022-05,-27.85
BuyHold,2022-06,-21.24
BuyHold,2022-07,14.2
BuyHold,2022-08,-13.62
BuyHold,2022-09,46.56
BuyHold,2022-10,-3.23
BuyHold,2022-11,-12.24
BuyHold,2022-12,-16.84
BuyHold,2023-01,19.72
BuyHold,2023-02,-7.3
BuyHold,2023-03,42.93
BuyHold,2023-04,-12.49
BuyHold,2023-05,9.84
BuyHold,2023-06,-8.46
BuyHold,2023-07,47.45
BuyHold,2023-08,-26.77
BuyHold,2023-09,0.78
BuyHold,2023-10,16.54
BuyHold,2023-11,1.13
BuyHold,2023-12,1.52
BuyHold,2024-01,-18.29
BuyHold,2024-02,16.72
BuyHold,2024-03,7.24
BuyHold,2024-04,-20.53
BuyHold,2024-05,3.5
BuyHold,2024-06,-8.09
BuyHold,2024-07,30.88
BuyHold,2024-08,-9.13
BuyHold,2024-09,7.98
BuyHold,2024-10,-16.65
BuyHold,2024-11,283.32
BuyHold,2024-12,6.69
BuyHold,2025-01,45.65
BuyHold,2025-02,-29.34
BuyHold,2025-03,-2.58
BuyHold,2025-04,4.83
BuyHold,2025-05,-0.76
BuyHold,2025-06,2.88
BuyHold,2025-07,35.09
BuyHold,2025-08,-8.14
BuyHold,2025-09,2.56
BuyHold,2025-10,-11.85
BuyHold,2025-11,-14.13
BuyHold,2025-12,-14.51
FuturesOnly,2022-01,0.0
FuturesOnly,2022-02,40.44
FuturesOnly,2022-03,0.0
FuturesOnly,2022-04,-21.94
FuturesOnly,2022-05,-38.76
FuturesOnly,2022-06,13.29
FuturesOnly,2022-07,7.81
FuturesOnly,2022-08,-0.29
FuturesOnly,2022-09,0.0
FuturesOnly,2022-10,6.9
FuturesOnly,2022-11,-12.53
FuturesOnly,2022-12,-1.03
FuturesOnly,2023-01,-6.82
FuturesOnly,2023-02,5.84
FuturesOnly,2023-03,0.0
FuturesOnly,2023-04,-8.12
FuturesOnly,2023-05,-6.94
FuturesOnly,2023-06,-6.82
FuturesOnly,2023-07,6.31
FuturesOnly,2023-08,-30.3
FuturesOnly,2023-09,0.01
FuturesOnly,2023-10,-9.48
FuturesOnly,2023-11,20.03
FuturesOnly,2023-12,8.51
FuturesOnly,2024-01,-25.35
FuturesOnly,2024-02,0.0
FuturesOnly,2024-03,0.0
FuturesOnly,2024-04,-24.28
FuturesOnly,2024-05,0.0
FuturesOnly,2024-06,4.35
FuturesOnly,2024-07,7.42
FuturesOnly,2024-08,18.81
FuturesOnly,2024-09,-6.15
FuturesOnly,2024-10,-8.71
FuturesOnly,2024-11,0.0
FuturesOnly,2024-12,55.16
FuturesOnly,2025-01,7.92
FuturesOnly,2025-02,-56.71
FuturesOnly,2025-03,-3.29
FuturesOnly,2025-04,22.29
FuturesOnly,2025-05,3.32
FuturesOnly,2025-06,10.42
FuturesOnly,2025-07,7.07
FuturesOnly,2025-08,7.37
FuturesOnly,2025-09,0.33
FuturesOnly,2025-10,7.42
FuturesOnly,2025-11,7.97
FuturesOnly,2025-12,3.67
B_partial,2022-01,0.0
B_partial,2022-02,65.48
B_partial,2022-03,4.34
B_partial,2022-04,-42.71
B_partial,2022-05,-56.18
B_partial,2022-06,-12.7
B_partial,2022-07,20.61
B_partial,2022-08,-14.99
B_partial,2022-09,46.56
B_partial,2022-10,1.83
B_partial,2022-11,-24.26
B_partial,2022-12,-17.75
B_partial,2023-01,11.92
B_partial,2023-02,-2.75
B_partial,2023-03,42.93
B_partial,2023-04,-18.41
B_partial,2023-05,1.73
B_partial,2023-06,-14.64
B_partial,2023-07,55.49
B_partial,2023-08,-48.14
B_partial,2023-09,0.07
B_partial,2023-10,5.91
B_partial,2023-11,17.83
B_partial,2023-12,8.75
B_partial,2024-01,-37.6
B_partial,2024-02,16.72
B_partial,2024-03,7.24
B_partial,2024-04,-39.97
B_partial,2024-05,3.5
B_partial,2024-06,-5.65
B_partial,2024-07,36.29
B_partial,2024-08,1.75
B_partial,2024-09,2.41
B_partial,2024-10,-23.52
B_partial,2024-11,283.32
B_partial,2024-12,49.91
B_partial,2025-01,51.95
B_partial,2025-02,-67.44
B_partial,2025-03,-6.17
B_partial,2025-04,20.96
B_partial,2025-05,2.08
B_partial,2025-06,11.09
B_partial,2025-07,42.86
B_partial,2025-08,-2.47
B_partial,2025-09,2.81
B_partial,2025-10,-9.46
B_partial,2025-11,-10.05
B_partial,2025-12,-13.8
