coin,year,self_sw,btc_sw,bh,regime
BTC,2017,394.23,394.23,215.3,상승장
BTC,2018,-40.14,-40.14,-72.4,하락장
BTC,2019,210.27,210.27,94.8,상승장
BTC,2020,354.81,354.81,300.3,상승장
BTC,2021,-40.09,-40.09,57.9,상승장
BTC,2022,-39.02,-39.02,-64.7,하락장
BTC,2023,-1.15,-1.15,155.8,상승장
BTC,2024,144.81,144.81,121.1,상승장
BTC,2025,120.95,120.95,-6.6,횡보장
BTC,2026(YTD),10.36,10.36,-24.8,하락장
ETH,2017,96.46,-58.08,138.3,상승장
ETH,2018,-59.53,-53.76,-82.1,하락장
ETH,2019,74.62,-79.92,-1.6,횡보장
ETH,2020,715.55,-91.04,465.6,상승장
ETH,2021,49.56,-16.34,393.6,상승장
ETH,2022,49.38,123.6,-67.9,하락장
ETH,2023,-56.61,-41.14,91.1,상승장
ETH,2024,55.33,-59.27,46.8,상승장
ETH,2025,182.79,-47.56,-11.4,횡보장
ETH,2026(YTD),2.63,-4.71,-34.0,하락장
XRP,2018,-51.16,-51.37,-62.0,하락장
XRP,2019,-2.16,-61.02,-44.7,하락장
XRP,2020,183.63,-93.36,13.2,횡보장
XRP,2021,108.89,-99.72,265.0,상승장
XRP,2022,-52.1,-26.67,-59.7,하락장
XRP,2023,-14.86,27.46,82.1,상승장
XRP,2024,-63.39,-92.49,239.9,상승장
XRP,2025,-14.38,40.79,-12.6,횡보장
XRP,2026(YTD),-2.46,15.56,-25.4,하락장
