entry_dt,exit_dt,side,result,pnl_pct
2022-01-05 09:45:00+00:00,2022-01-05 10:00:00+00:00,short,loss,-1.5328
2022-01-11 02:45:00+00:00,2022-01-11 08:15:00+00:00,short,loss,-2.5422
2022-01-11 16:45:00+00:00,2022-01-12 11:30:00+00:00,short,loss,-3.238
2022-01-13 14:30:00+00:00,2022-01-13 15:00:00+00:00,short,win,2.1281
2022-01-15 12:45:00+00:00,2022-01-15 14:30:00+00:00,long,win,1.9489
2022-01-20 13:45:00+00:00,2022-01-20 14:30:00+00:00,short,loss,-1.5973
2022-01-23 19:45:00+00:00,2022-01-23 20:00:00+00:00,long,win,3.1581
2022-01-23 23:15:00+00:00,2022-01-24 02:45:00+00:00,short,win,8.3488
2022-01-24 10:30:00+00:00,2022-01-24 11:00:00+00:00,long,loss,-4.6132
2022-01-27 21:00:00+00:00,2022-01-27 21:45:00+00:00,long,win,4.7253
2022-01-30 19:30:00+00:00,2022-01-30 22:45:00+00:00,long,win,2.4558
2022-02-09 19:30:00+00:00,2022-02-10 00:15:00+00:00,short,win,2.9997
2022-02-16 14:00:00+00:00,2022-02-16 14:45:00+00:00,long,loss,-1.8351
2022-02-20 23:00:00+00:00,2022-02-20 23:45:00+00:00,short,win,2.7131
2022-02-23 08:30:00+00:00,2022-02-23 11:45:00+00:00,short,loss,-2.4033
2022-03-03 04:00:00+00:00,2022-03-03 06:00:00+00:00,long,loss,-2.3102
2022-03-03 15:45:00+00:00,2022-03-03 17:15:00+00:00,long,loss,-3.1092
2022-03-04 15:15:00+00:00,2022-03-04 19:00:00+00:00,long,loss,-3.7843
2022-03-04 19:15:00+00:00,2022-03-04 19:45:00+00:00,long,loss,-3.0547
2022-03-12 14:45:00+00:00,2022-03-12 15:30:00+00:00,long,win,1.4665
2022-03-15 07:15:00+00:00,2022-03-15 11:15:00+00:00,long,win,3.0574
2022-03-18 16:30:00+00:00,2022-03-18 17:00:00+00:00,short,loss,-2.4189
2022-03-21 02:45:00+00:00,2022-03-21 08:00:00+00:00,long,win,3.0501
2022-03-24 15:45:00+00:00,2022-03-25 01:30:00+00:00,short,loss,-2.5575
2022-03-28 23:30:00+00:00,2022-03-28 23:45:00+00:00,long,loss,-2.0944
2022-04-04 15:15:00+00:00,2022-04-04 17:30:00+00:00,long,loss,-1.8933
2022-04-16 15:15:00+00:00,2022-04-16 15:30:00+00:00,long,loss,-1.3404
2022-04-28 01:15:00+00:00,2022-04-28 01:45:00+00:00,short,win,1.8158
2022-04-29 16:45:00+00:00,2022-04-30 15:00:00+00:00,long,loss,-2.9697
2022-05-01 15:30:00+00:00,2022-05-01 15:45:00+00:00,short,loss,-1.4207
2022-05-07 20:45:00+00:00,2022-05-07 21:00:00+00:00,long,loss,-0.9168
2022-05-12 15:00:00+00:00,2022-05-12 17:45:00+00:00,short,win,9.5602
2022-05-13 16:45:00+00:00,2022-05-13 18:00:00+00:00,long,loss,-4.0876
2022-05-13 23:45:00+00:00,2022-05-14 11:15:00+00:00,long,loss,-3.6248
2022-05-19 12:00:00+00:00,2022-05-19 13:00:00+00:00,short,loss,-2.4453
2022-05-29 22:45:00+00:00,2022-05-30 01:30:00+00:00,short,loss,-1.3836
2022-06-01 04:15:00+00:00,2022-06-01 12:30:00+00:00,long,win,2.6203
2022-06-10 00:30:00+00:00,2022-06-10 03:00:00+00:00,long,win,2.4462
2022-06-10 13:00:00+00:00,2022-06-10 13:15:00+00:00,long,loss,-2.1982
2022-06-15 04:30:00+00:00,2022-06-15 05:30:00+00:00,long,loss,-5.41
2022-06-25 12:30:00+00:00,2022-06-25 15:45:00+00:00,long,loss,-2.2301
2022-07-07 06:00:00+00:00,2022-07-07 07:30:00+00:00,long,win,1.7341
2022-07-13 08:00:00+00:00,2022-07-13 08:15:00+00:00,short,loss,-2.1972
2022-07-16 14:00:00+00:00,2022-07-16 15:00:00+00:00,short,loss,-1.5043
2022-07-21 11:30:00+00:00,2022-07-21 14:15:00+00:00,long,loss,-2.8299
2022-07-27 07:15:00+00:00,2022-07-27 11:45:00+00:00,short,win,2.5132
2022-08-01 06:30:00+00:00,2022-08-01 08:00:00+00:00,long,win,1.9235
2022-08-01 23:15:00+00:00,2022-08-02 01:30:00+00:00,short,win,3.8919
2022-08-04 17:00:00+00:00,2022-08-04 18:00:00+00:00,long,loss,-2.495
2022-08-07 17:15:00+00:00,2022-08-07 21:00:00+00:00,short,loss,-1.3989
2022-08-10 13:00:00+00:00,2022-08-10 13:15:00+00:00,short,loss,-2.8643
2022-08-11 23:00:00+00:00,2022-08-12 09:45:00+00:00,long,win,2.5373
2022-08-16 14:15:00+00:00,2022-08-16 14:30:00+00:00,long,loss,-1.7599
2022-08-22 07:30:00+00:00,2022-08-22 07:45:00+00:00,long,loss,-1.8391
2022-08-22 18:45:00+00:00,2022-08-22 23:30:00+00:00,long,win,3.1098
2022-08-23 00:00:00+00:00,2022-08-23 05:15:00+00:00,short,win,3.0323
2022-08-29 13:45:00+00:00,2022-08-29 14:00:00+00:00,short,loss,-1.9342
2022-08-30 04:45:00+00:00,2022-08-30 07:30:00+00:00,short,loss,-1.7095
2022-08-31 15:15:00+00:00,2022-08-31 19:45:00+00:00,long,win,3.5275
2022-09-12 01:45:00+00:00,2022-09-12 02:15:00+00:00,short,win,4.0931
2022-09-18 10:00:00+00:00,2022-09-18 10:15:00+00:00,long,win,2.2182
2022-09-25 13:45:00+00:00,2022-09-25 14:00:00+00:00,long,loss,-1.5212
2022-09-27 00:15:00+00:00,2022-09-27 01:00:00+00:00,short,loss,-1.8533
2022-10-03 14:30:00+00:00,2022-10-03 17:15:00+00:00,short,loss,-2.121
