entry_pct,tp_pct,sl_pct,leverage,pos_ratio,rr_ratio,total_trades,win_rate,avg_tp_pct,avg_sl_pct,expectancy,total_return_pct,mdd_pct,max_consec_losses,sharpe
1.5,2.0,1.5,10,30,1.33,21,61.9,19.0,-16.0,5.667,38.7,9.37,2,4.13
1.5,2.0,2.0,10,30,1.0,20,65.0,19.0,-21.0,5.0,30.36,14.71,2,2.065
1.5,3.0,2.0,10,30,1.5,19,52.6,29.0,-21.0,5.316,28.22,26.44,4,1.067
1.5,2.0,1.5,7,30,1.33,21,61.9,13.3,-11.2,3.967,26.52,6.61,2,4.013
1.5,1.5,1.5,10,30,1.0,21,66.7,14.0,-16.0,4.0,26.07,9.37,2,2.782
1.5,2.0,1.5,10,20,1.33,21,61.9,19.0,-16.0,5.667,25.19,6.3,2,4.0
1.5,3.0,1.5,10,30,2.0,20,45.0,29.0,-16.0,4.25,23.33,19.08,4,1.223
1.5,2.0,0.5,10,30,4.0,21,38.1,19.0,-6.0,3.524,23.04,8.68,5,2.654
0.8,1.0,0.8,10,30,1.25,101,54.5,9.0,-9.0,0.802,22.9,15.52,5,1.476
1.5,2.0,2.0,7,30,1.0,20,65.0,13.3,-14.7,3.5,21.28,10.25,2,2.076
1.5,1.5,2.0,10,30,0.75,20,70.0,14.0,-21.0,3.5,20.39,12.2,2,1.671
1.5,3.0,2.0,7,30,1.5,19,52.6,20.3,-14.7,3.721,20.35,19.06,4,1.068
1.5,2.0,2.0,10,20,1.0,20,65.0,19.0,-21.0,5.0,20.26,9.76,2,2.077
1.5,3.0,2.0,10,20,1.5,19,52.6,29.0,-21.0,5.316,19.44,18.21,4,1.067
1.5,2.0,1.5,5,30,1.33,21,61.9,9.5,-8.0,2.833,18.65,4.74,2,3.932
1.5,1.5,1.5,7,30,1.0,21,66.7,9.8,-11.2,2.8,18.11,6.61,2,2.741
1.5,2.0,1.5,7,20,1.33,21,61.9,13.3,-11.2,3.967,17.36,4.43,2,3.918
1.0,2.0,0.5,10,30,4.0,52,28.8,19.0,-6.0,1.212,17.29,13.44,7,1.286
1.5,1.5,1.5,10,20,1.0,21,66.7,14.0,-16.0,4.0,17.23,6.3,2,2.736
1.5,3.0,1.5,7,30,2.0,20,45.0,20.3,-11.2,2.975,16.9,13.58,4,1.244
1.5,1.5,0.5,10,30,3.0,21,42.9,14.0,-6.0,2.571,16.45,7.01,4,2.348
0.8,1.0,0.8,7,30,1.25,101,54.5,6.3,-6.3,0.561,16.43,11.01,5,1.492
1.5,3.0,1.5,10,20,2.0,20,45.0,29.0,-16.0,4.25,16.14,12.96,4,1.246
1.5,2.0,0.5,7,30,4.0,21,38.1,13.3,-4.2,2.467,15.97,6.14,5,2.6
1.0,1.5,0.5,10,30,3.0,54,35.2,14.0,-6.0,1.037,15.71,16.83,7,0.934
0.8,1.0,0.8,10,20,1.25,101,54.5,9.0,-9.0,0.802,15.68,10.5,5,1.493
1.5,2.0,0.5,10,20,4.0,21,38.1,19.0,-6.0,3.524,15.19,5.86,5,2.593
1.5,2.0,2.0,5,30,1.0,20,65.0,9.5,-10.5,2.5,15.17,7.29,2,2.08
1.5,3.0,2.0,5,30,1.5,19,52.6,14.5,-10.5,2.658,14.77,13.88,4,1.064
1.5,1.5,2.0,7,30,0.75,20,70.0,9.8,-14.7,2.45,14.46,8.63,2,1.676
1.5,2.0,2.0,7,20,1.0,20,65.0,13.3,-14.7,3.5,14.16,6.8,2,2.081
1.5,3.0,2.0,7,20,1.5,19,52.6,20.3,-14.7,3.721,13.82,13.0,4,1.063
1.5,1.5,2.0,10,20,0.75,20,70.0,14.0,-21.0,3.5,13.79,8.22,2,1.677
1.5,3.0,0.5,10,30,6.0,21,23.8,29.0,-6.0,2.333,13.48,13.52,8,0.997
1.5,1.5,1.5,5,30,1.0,21,66.7,7.0,-8.0,2.0,12.85,4.74,2,2.71
1.0,2.0,0.5,7,30,4.0,52,28.8,13.3,-4.2,0.848,12.49,9.55,7,1.308
1.5,3.0,1.5,5,30,2.0,20,45.0,14.5,-8.0,2.125,12.3,9.8,4,1.255
1.5,2.0,1.5,10,10,1.33,21,61.9,19.0,-16.0,5.667,12.26,3.17,2,3.862
1.5,2.0,1.5,5,20,1.33,21,61.9,9.5,-8.0,2.833,12.26,3.17,2,3.862
1.5,1.5,1.5,7,20,1.0,21,66.7,9.8,-11.2,2.8,11.98,4.43,2,2.705
1.0,2.0,0.5,10,20,4.0,52,28.8,19.0,-6.0,1.212,11.94,9.11,7,1.31
0.8,1.0,0.8,5,30,1.25,101,54.5,4.5,-4.5,0.401,11.89,7.93,5,1.498
1.0,1.5,0.8,10,30,1.88,51,43.1,14.0,-9.0,0.922,11.78,20.7,5,0.569
1.5,3.0,1.5,7,20,2.0,20,45.0,20.3,-11.2,2.975,11.51,9.17,4,1.256
1.5,1.5,0.5,7,30,3.0,21,42.9,9.8,-4.2,1.8,11.47,4.95,4,2.32
1.0,3.0,0.5,10,30,6.0,50,20.0,29.0,-6.0,1.0,11.37,22.45,14,0.506
1.5,2.0,0.5,5,30,4.0,21,38.1,9.5,-3.0,1.762,11.32,4.42,5,2.562
1.0,1.5,0.5,7,30,3.0,54,35.2,9.8,-4.2,0.726,11.26,11.91,7,0.946
0.8,1.0,0.8,7,20,1.25,101,54.5,6.3,-6.3,0.561,11.11,7.41,5,1.499
1.5,1.0,1.5,10,30,0.67,21,71.4,9.0,-16.0,1.857,11.01,9.37,2,1.176
1.5,2.0,1.5,3,30,1.33,21,61.9,5.7,-4.8,1.7,11.0,2.86,2,3.848
1.5,1.5,0.5,10,20,3.0,21,42.9,14.0,-6.0,2.571,10.92,4.71,4,2.317
1.0,1.5,0.5,10,20,3.0,54,35.2,14.0,-6.0,1.037,10.75,11.36,7,0.947
1.5,2.0,0.5,7,20,4.0,21,38.1,13.3,-4.2,2.467,10.56,4.13,5,2.556
1.5,1.5,2.0,5,30,0.75,20,70.0,7.0,-10.5,1.75,10.4,6.2,2,1.677
1.5,2.0,1.0,10,30,2.0,21,42.9,19.0,-11.0,1.857,10.1,15.45,5,0.654
1.5,2.0,2.0,5,20,1.0,20,65.0,9.5,-10.5,2.5,10.09,4.84,2,2.083
