entry_pct,tp_pct,sl_pct,leverage,pos_ratio,rr_ratio,total_trades,win_rate,avg_tp_pct,avg_sl_pct,expectancy,total_return_pct,mdd_pct,max_consec_losses,sharpe
1.5,3.0,1.5,10,30,2.0,135,45.2,29.0,-16.0,4.333,325.73,41.54,7,7.842
1.5,3.0,0.5,10,30,6.0,145,26.9,29.0,-6.0,3.414,277.37,30.97,19,8.955
1.5,3.0,1.5,7,30,2.0,135,45.2,20.3,-11.2,3.033,193.6,30.89,7,6.267
1.5,3.0,1.5,10,20,2.0,135,45.2,29.0,-16.0,4.333,180.8,29.62,7,6.105
1.5,3.0,0.5,7,30,6.0,145,26.9,20.3,-4.2,2.39,161.56,22.73,19,7.107
1.5,2.0,1.5,10,30,1.33,140,53.6,19.0,-16.0,2.75,161.23,39.19,5,4.114
1.0,1.5,0.5,10,30,3.0,454,34.1,14.0,-6.0,0.828,157.53,20.27,11,7.772
1.5,2.0,0.5,10,30,4.0,147,33.3,19.0,-6.0,2.333,155.04,23.35,8,6.641
1.5,3.0,0.8,10,30,3.75,144,30.6,29.0,-9.0,2.611,154.32,35.04,9,4.404
1.5,3.0,0.5,10,20,6.0,145,26.9,29.0,-6.0,3.414,150.71,21.76,19,6.925
1.0,2.0,0.5,10,30,4.0,444,27.5,19.0,-6.0,0.869,149.49,20.73,11,7.21
1.5,3.0,1.0,10,30,3.0,142,33.8,29.0,-11.0,2.521,133.94,45.49,11,2.944
1.5,3.0,1.5,5,30,2.0,135,45.2,14.5,-8.0,2.167,122.5,22.97,7,5.334
1.5,3.0,1.5,7,20,2.0,135,45.2,20.3,-11.2,3.033,111.95,21.58,7,5.188
1.5,3.0,2.0,10,30,1.5,130,47.7,29.0,-21.0,2.846,111.12,58.36,7,1.904
1.0,1.5,0.8,10,30,1.88,441,42.4,14.0,-9.0,0.753,109.86,40.37,6,2.721
1.5,2.0,1.5,7,30,1.33,140,53.6,13.3,-11.2,1.925,103.97,28.92,5,3.595
1.5,2.0,1.0,10,30,2.0,146,43.2,19.0,-11.0,1.945,102.83,36.39,6,2.826
1.0,2.0,0.8,10,30,2.5,431,35.0,19.0,-9.0,0.81,102.73,37.62,10,2.731
1.5,3.0,0.5,5,30,6.0,145,26.9,14.5,-3.0,1.707,101.84,16.76,19,6.077
1.0,1.5,0.5,7,30,3.0,454,34.1,9.8,-4.2,0.58,101.37,14.58,11,6.952
1.5,1.5,1.5,10,30,1.0,142,59.9,14.0,-16.0,1.958,100.01,42.67,5,2.344
1.5,3.0,0.8,7,30,3.75,144,30.6,20.3,-6.3,1.828,99.99,25.62,9,3.903
1.0,2.0,0.5,7,30,4.0,444,27.5,13.3,-4.2,0.609,99.42,14.83,11,6.704
1.5,2.0,1.5,10,20,1.33,140,53.6,19.0,-16.0,2.75,98.02,27.7,5,3.538
1.5,2.0,0.5,7,30,4.0,147,33.3,13.3,-4.2,1.633,96.3,16.69,8,5.769
1.0,1.5,0.5,10,20,3.0,454,34.1,14.0,-6.0,0.828,95.55,13.93,11,6.86
1.5,3.0,0.8,10,20,3.75,144,30.6,29.0,-9.0,2.611,94.32,24.51,9,3.848
1.0,2.0,0.5,10,20,4.0,444,27.5,19.0,-6.0,0.869,94.01,14.16,11,6.641
1.5,3.0,0.5,7,20,6.0,145,26.9,20.3,-4.2,2.39,93.08,15.73,19,5.919
1.5,2.0,0.5,10,20,4.0,147,33.3,19.0,-6.0,2.333,90.48,15.93,8,5.679
1.5,2.0,0.8,10,30,2.5,146,38.4,19.0,-9.0,1.74,89.83,31.36,6,2.864
1.5,3.0,1.0,7,30,3.0,142,33.8,20.3,-7.7,1.765,89.79,34.25,11,2.622
1.5,1.0,1.5,10,30,0.67,146,70.5,9.0,-16.0,1.637,87.56,34.98,4,2.503
1.5,3.0,1.0,10,20,3.0,142,33.8,29.0,-11.0,2.521,85.0,32.89,11,2.584
1.5,3.0,2.0,7,30,1.5,130,47.7,20.3,-14.7,1.992,81.91,44.87,7,1.826
1.5,1.5,0.5,10,30,3.0,147,37.4,14.0,-6.0,1.483,80.71,25.42,6,3.175
1.5,3.0,2.0,10,20,1.5,130,47.7,29.0,-21.0,2.846,78.22,43.18,7,1.812
1.0,1.5,0.8,7,30,1.88,441,42.4,9.8,-6.3,0.527,77.18,29.51,6,2.615
1.0,2.0,0.8,7,30,2.5,431,35.0,13.3,-6.3,0.567,75.97,26.99,10,2.815
1.0,1.5,0.8,10,20,1.88,441,42.4,14.0,-9.0,0.753,73.39,28.24,6,2.599
1.5,3.0,1.5,10,10,2.0,135,45.2,29.0,-16.0,4.333,73.37,15.83,7,4.635
1.5,3.0,1.5,5,20,2.0,135,45.2,14.5,-8.0,2.167,73.37,15.83,7,4.635
1.0,2.0,0.8,10,20,2.5,431,35.0,19.0,-9.0,0.81,72.59,25.76,10,2.818
1.5,2.0,1.5,5,30,1.33,140,53.6,9.5,-8.0,1.375,69.65,21.38,5,3.258
1.5,2.0,1.0,7,30,2.0,146,43.2,13.3,-7.7,1.362,69.06,26.65,6,2.592
1.0,1.5,0.5,5,30,3.0,454,34.1,7.0,-3.0,0.414,67.89,10.61,11,6.4
1.0,2.0,0.5,5,30,4.0,444,27.5,9.5,-3.0,0.435,67.74,10.74,11,6.308
1.5,1.5,1.5,7,30,1.0,142,59.9,9.8,-11.2,1.37,67.34,31.84,5,2.115
1.5,3.0,0.8,5,30,3.75,144,30.6,14.5,-4.5,1.306,67.25,18.82,9,3.574
1.5,2.0,1.0,10,20,2.0,146,43.2,19.0,-11.0,1.945,65.41,25.5,6,2.565
