entry_pct,tp_pct,sl_pct,leverage,pos_ratio,rr_ratio,total_trades,win_rate,avg_tp_pct,avg_sl_pct,expectancy,total_return_pct,mdd_pct,max_consec_losses,sharpe
1.0,3.0,0.5,10,30,6.0,943,19.0,29.0,-6.0,0.644,187.25,71.73,24,2.611
1.0,3.0,0.5,7,30,6.0,943,19.0,20.3,-4.2,0.451,144.61,56.92,24,2.54
1.0,3.0,0.5,10,20,6.0,943,19.0,29.0,-6.0,0.644,138.36,55.07,24,2.513
1.5,3.0,0.5,10,30,6.0,305,20.7,29.0,-6.0,1.23,136.29,30.46,20,4.474
1.5,1.5,0.5,10,30,3.0,319,34.8,14.0,-6.0,0.959,120.04,21.91,9,5.479
1.0,3.0,0.5,5,30,6.0,943,19.0,14.5,-3.0,0.322,104.37,44.69,24,2.335
1.0,3.0,0.5,7,20,6.0,943,19.0,20.3,-4.2,0.451,97.2,42.38,24,2.293
1.5,3.0,0.5,7,30,6.0,305,20.7,20.3,-4.2,0.861,92.68,22.4,20,4.137
1.5,3.0,0.5,10,20,6.0,305,20.7,29.0,-6.0,1.23,87.84,21.45,20,4.095
1.5,1.0,0.5,10,30,2.0,323,44.9,9.0,-6.0,0.734,87.74,24.3,8,3.61
1.5,1.5,0.5,7,30,3.0,319,34.8,9.8,-4.2,0.671,78.41,15.66,9,5.006
1.5,1.5,0.5,10,20,3.0,319,34.8,14.0,-6.0,0.959,74.05,14.95,9,4.953
1.0,3.0,0.5,5,20,6.0,943,19.0,14.5,-3.0,0.322,68.09,32.27,24,2.11
1.0,3.0,0.5,10,10,6.0,943,19.0,29.0,-6.0,0.644,68.09,32.27,24,2.11
1.5,3.0,0.5,5,30,6.0,305,20.7,14.5,-3.0,0.615,64.0,16.54,20,3.869
1.0,3.0,0.5,3,30,6.0,943,19.0,8.7,-1.8,0.193,60.83,29.51,24,2.061
1.5,3.0,0.5,7,20,6.0,305,20.7,20.3,-4.2,0.861,59.34,15.52,20,3.822
1.5,1.0,0.5,7,30,2.0,323,44.9,6.3,-4.2,0.514,58.07,17.25,8,3.366
1.5,1.0,0.5,10,20,2.0,323,44.9,9.0,-6.0,0.734,54.94,16.45,8,3.339
1.5,1.5,0.5,5,30,3.0,319,34.8,7.0,-3.0,0.48,53.17,11.34,9,4.69
1.5,1.5,0.5,7,20,3.0,319,34.8,9.8,-4.2,0.671,49.18,10.61,9,4.637
1.0,3.0,0.5,7,10,6.0,943,19.0,20.3,-4.2,0.451,46.48,23.7,24,1.961
1.5,2.0,0.5,10,30,4.0,312,26.3,19.0,-6.0,0.571,44.47,31.99,12,1.39
1.5,3.0,0.5,5,20,6.0,305,20.7,14.5,-3.0,0.615,41.15,11.34,20,3.629
1.5,3.0,0.5,10,10,6.0,305,20.7,29.0,-6.0,1.23,41.15,11.34,20,3.629
1.5,1.0,0.5,5,30,2.0,323,44.9,4.5,-3.0,0.367,39.82,12.42,8,3.206
1.0,3.0,0.5,3,20,6.0,943,19.0,8.7,-1.8,0.193,39.44,20.65,24,1.91
1.5,1.0,0.5,7,20,2.0,323,44.9,6.3,-4.2,0.514,36.9,11.61,8,3.179
1.5,3.0,0.5,3,30,6.0,305,20.7,8.7,-1.8,0.369,36.73,10.26,20,3.579
1.5,2.0,0.5,7,30,4.0,312,26.3,13.3,-4.2,0.399,33.88,23.1,12,1.467
1.5,1.5,0.5,5,20,3.0,319,34.8,7.0,-3.0,0.48,33.84,7.64,9,4.428
1.5,1.5,0.5,10,10,3.0,319,34.8,14.0,-6.0,0.959,33.84,7.64,9,4.428
1.5,2.0,0.5,10,20,4.0,312,26.3,19.0,-6.0,0.571,32.52,22.08,12,1.473
1.0,3.0,0.5,5,10,6.0,943,19.0,14.5,-3.0,0.322,32.5,17.48,24,1.859
1.5,1.5,0.5,3,30,3.0,319,34.8,4.2,-1.8,0.288,30.16,6.89,9,4.377
1.5,3.0,0.5,7,10,6.0,305,20.7,20.3,-4.2,0.861,28.09,8.07,20,3.479
1.5,1.0,0.5,10,10,2.0,323,44.9,9.0,-6.0,0.734,25.6,8.33,8,3.074
1.5,1.0,0.5,5,20,2.0,323,44.9,4.5,-3.0,0.367,25.6,8.33,8,3.074
1.5,2.0,0.5,5,30,4.0,312,26.3,9.5,-3.0,0.285,25.23,16.82,12,1.499
1.5,3.0,0.5,3,20,6.0,305,20.7,8.7,-1.8,0.369,23.86,6.96,20,3.429
1.5,2.0,0.5,7,20,4.0,312,26.3,13.3,-4.2,0.399,23.68,15.75,12,1.503
1.5,1.5,0.5,7,10,3.0,319,34.8,9.8,-4.2,0.671,23.01,5.38,9,4.274
1.5,1.0,0.5,3,30,2.0,323,44.9,2.7,-1.8,0.22,22.87,7.5,8,3.048
1.5,3.0,0.5,5,10,6.0,305,20.7,14.5,-3.0,0.615,19.7,5.83,20,3.379
1.5,1.5,0.5,3,20,3.0,319,34.8,4.2,-1.8,0.288,19.52,4.62,9,4.223
