entry_pct,tp_pct,sl_pct,leverage,pos_ratio,rr_ratio,total_trades,win_rate,avg_tp_pct,avg_sl_pct,expectancy,total_return_pct,mdd_pct,max_consec_losses,sharpe
1.5,2.0,0.5,10,30,4.0,371,31.5,19.0,-6.0,1.884,550.27,25.08,15,21.941
1.5,3.0,0.5,10,30,6.0,365,22.5,29.0,-6.0,1.863,447.49,35.38,16,12.649
1.5,2.0,0.8,10,30,2.5,363,38.6,19.0,-9.0,1.799,424.4,28.0,12,15.159
1.5,2.0,1.0,10,30,2.0,360,42.8,19.0,-11.0,1.833,407.46,37.5,10,10.866
1.5,1.5,0.5,10,30,3.0,375,37.6,14.0,-6.0,1.52,371.45,29.63,10,12.534
1.5,3.0,0.8,10,30,3.75,357,28.6,29.0,-9.0,1.857,361.52,31.56,12,11.453
1.5,2.0,1.5,10,30,1.33,354,50.8,19.0,-16.0,1.797,313.36,37.85,8,8.279
1.5,2.0,2.0,10,30,1.0,340,57.4,19.0,-21.0,1.941,295.24,46.04,5,6.413
1.5,2.0,0.5,7,30,4.0,371,31.5,13.3,-4.2,1.319,288.39,18.19,15,15.858
1.5,1.5,0.8,10,30,1.88,369,45.3,14.0,-9.0,1.409,282.56,32.72,8,8.636
1.0,1.5,1.5,10,30,1.0,978,55.9,14.0,-16.0,0.779,268.27,84.5,7,3.175
1.5,2.0,0.5,10,20,4.0,371,31.5,19.0,-6.0,1.884,265.89,17.39,15,15.292
1.5,3.0,0.5,7,30,6.0,365,22.5,20.3,-4.2,1.304,252.26,25.95,16,9.722
1.5,2.0,0.8,7,30,2.5,363,38.6,13.3,-6.3,1.259,239.53,20.46,12,11.705
1.0,1.5,0.5,10,30,3.0,1118,32.5,14.0,-6.0,0.494,238.97,67.46,18,3.542
1.5,2.0,1.0,7,30,2.0,360,42.8,13.3,-7.7,1.283,235.6,27.28,10,8.637
1.5,3.0,0.5,10,20,6.0,365,22.5,29.0,-6.0,1.863,234.23,24.84,16,9.431
1.5,1.5,1.0,10,30,1.5,365,49.3,14.0,-11.0,1.329,231.2,36.25,8,6.377
1.5,2.0,0.8,10,20,2.5,363,38.6,19.0,-9.0,1.799,222.47,19.58,12,11.359
1.5,3.0,0.8,7,30,3.75,357,28.6,20.3,-6.3,1.3,220.39,23.01,12,9.578
1.5,2.0,1.0,10,20,2.0,360,42.8,19.0,-11.0,1.833,219.3,26.13,10,8.391
1.5,3.0,1.5,10,30,2.0,341,39.6,29.0,-16.0,1.815,209.17,52.47,12,3.986
1.0,1.5,1.5,7,30,1.0,978,55.9,9.8,-11.2,0.545,206.32,71.09,7,2.902
1.5,3.0,0.8,10,20,3.75,357,28.6,29.0,-9.0,1.857,206.17,22.01,12,9.366
1.5,1.5,0.5,7,30,3.0,375,37.6,9.8,-4.2,1.064,206.03,21.56,10,9.557
1.0,1.0,0.5,10,30,2.0,1145,42.7,9.0,-6.0,0.406,204.15,61.44,14,3.323
1.5,2.0,1.5,7,30,1.33,354,50.8,13.3,-11.2,1.258,199.08,27.17,8,7.327
1.5,2.0,2.0,7,30,1.0,340,57.4,13.3,-14.7,1.359,197.28,33.07,5,5.965
1.0,1.5,1.5,10,20,1.0,978,55.9,14.0,-16.0,0.779,196.83,69.12,7,2.848
