entry_pct,tp_pct,sl_pct,leverage,pos_ratio,rr_ratio,total_trades,win_rate,avg_tp_pct,avg_sl_pct,expectancy,total_return_pct,mdd_pct,max_consec_losses,sharpe
1.5,3.0,0.5,10,30,6.0,694,24.6,29.0,-6.0,2.624,11637.08,34.9,23,333.469
1.0,3.0,0.5,10,30,6.0,1697,20.3,29.0,-6.0,1.115,6722.2,44.6,22,150.714
1.5,3.0,0.5,7,30,6.0,694,24.6,20.3,-4.2,1.837,3137.68,25.63,23,122.431
1.5,3.0,0.5,10,20,6.0,694,24.6,29.0,-6.0,2.624,2685.68,24.54,23,109.455
1.5,2.0,0.5,10,30,4.0,713,31.0,19.0,-6.0,1.749,2650.58,32.56,14,81.403
1.0,3.0,0.5,7,30,6.0,1697,20.3,20.3,-4.2,0.781,2484.56,32.85,22,75.639
1.5,1.5,0.5,10,30,3.0,724,38.0,14.0,-6.0,1.597,2253.32,31.05,14,72.566
1.0,3.0,0.5,10,20,6.0,1697,20.3,29.0,-6.0,1.115,2185.31,31.45,22,69.485
1.5,3.0,0.8,10,30,3.75,672,28.3,29.0,-9.0,1.744,1325.62,51.67,18,25.655
1.0,2.0,0.5,10,30,4.0,1783,26.7,19.0,-6.0,0.674,1310.61,49.82,22,26.307
0.8,3.0,0.5,10,30,6.0,2907,18.7,29.0,-6.0,0.562,1195.49,66.21,34,18.056
1.5,3.0,0.5,5,30,6.0,694,24.6,14.5,-3.0,1.312,1184.49,18.89,23,62.698
1.0,3.0,0.5,5,30,6.0,1697,20.3,14.5,-3.0,0.558,1078.9,24.2,22,44.588
1.5,2.0,0.5,7,30,4.0,713,31.0,13.3,-4.2,1.224,1011.11,23.85,14,42.396
1.5,3.0,0.5,7,20,6.0,694,24.6,20.3,-4.2,1.837,995.3,17.72,23,56.153
1.0,3.0,0.5,7,20,6.0,1697,20.3,20.3,-4.2,0.781,923.04,22.69,22,40.673
1.5,2.0,0.5,10,20,4.0,713,31.0,19.0,-6.0,1.749,900.07,22.83,14,39.429
1.5,1.5,0.5,7,30,3.0,724,38.0,9.8,-4.2,1.118,872.88,22.82,14,38.248
0.8,3.0,0.5,7,30,6.0,2907,18.7,20.3,-4.2,0.393,866.79,51.17,34,16.938
0.8,3.0,0.5,10,20,6.0,2907,18.7,29.0,-6.0,0.562,813.25,49.25,34,16.514
1.5,3.0,1.0,10,30,3.0,660,31.5,29.0,-11.0,1.606,788.2,51.36,17,15.347
1.5,1.5,0.5,10,20,3.0,724,38.0,14.0,-6.0,1.597,778.97,21.85,14,35.645
1.0,3.0,0.8,10,30,3.75,1601,25.9,29.0,-9.0,0.85,765.15,61.78,16,12.385
1.0,2.0,0.5,7,30,4.0,1783,26.7,13.3,-4.2,0.472,677.15,37.68,22,17.973
1.5,3.0,0.8,7,30,3.75,672,28.3,20.3,-6.3,1.221,665.5,38.21,18,17.417
1.0,2.0,0.5,10,20,4.0,1783,26.7,19.0,-6.0,0.674,619.89,36.19,22,17.129
1.5,3.0,0.8,10,20,3.75,672,28.3,29.0,-9.0,1.744,607.97,36.65,18,16.59
1.0,3.0,0.8,7,30,3.75,1601,25.9,20.3,-6.3,0.595,571.18,47.96,16,11.91
1.0,3.0,0.8,10,20,3.75,1601,25.9,29.0,-9.0,0.85,539.41,46.2,16,11.675
0.8,3.0,0.5,5,30,6.0,2907,18.7,14.5,-3.0,0.281,537.32,38.82,34,13.842
1.5,3.0,1.5,10,30,2.0,630,39.2,29.0,-16.0,1.643,484.32,53.38,11,9.073
0.8,3.0,0.5,7,20,6.0,2907,18.7,20.3,-4.2,0.393,484.17,36.58,34,13.237
1.5,2.0,0.5,5,30,4.0,713,31.0,9.5,-3.0,0.874,482.62,17.55,14,27.494
1.5,3.0,0.5,10,10,6.0,694,24.6,29.0,-6.0,2.624,470.31,12.93,23,36.384
1.5,3.0,0.5,5,20,6.0,694,24.6,14.5,-3.0,1.312,470.31,12.93,23,36.384
1.5,3.0,1.0,7,30,3.0,660,31.5,20.3,-7.7,1.124,465.63,37.59,17,12.386
1.0,3.0,0.5,5,20,6.0,1697,20.3,14.5,-3.0,0.558,461.95,16.64,22,27.755
1.0,3.0,0.5,10,10,6.0,1697,20.3,29.0,-6.0,1.115,461.95,16.64,22,27.755
1.5,3.0,1.0,10,20,3.0,660,31.5,29.0,-11.0,1.606,432.33,36.08,17,11.981
1.5,1.5,0.5,5,30,3.0,724,38.0,7.0,-3.0,0.798,423.78,16.84,14,25.159
1.5,2.0,0.8,10,30,2.5,699,35.9,19.0,-9.0,1.054,421.64,40.18,14,10.494
1.5,2.0,0.5,7,20,4.0,713,31.0,13.3,-4.2,1.224,421.49,16.47,14,25.599
1.5,1.0,0.5,10,30,2.0,734,45.4,9.0,-6.0,0.805,389.4,29.7,8,13.112
1.5,3.0,0.5,3,30,6.0,694,24.6,8.7,-1.8,0.787,382.59,11.71,23,32.674
1.0,3.0,0.5,3,30,6.0,1697,20.3,8.7,-1.8,0.335,379.9,15.1,22,25.152
1.0,2.0,0.5,5,30,4.0,1783,26.7,9.5,-3.0,0.337,375.9,28.32,22,13.272
1.0,3.0,0.8,5,30,3.75,1601,25.9,14.5,-4.5,0.425,371.54,36.67,16,10.132
1.5,1.5,0.5,7,20,3.0,724,38.0,9.8,-4.2,1.118,371.3,15.81,14,23.489
1.5,3.0,0.8,5,30,3.75,672,28.3,14.5,-4.5,0.872,365.98,28.43,18,12.873
1.5,3.0,1.5,7,30,2.0,630,39.2,20.3,-11.2,1.15,353.62,39.22,11,9.017
1.0,3.0,0.8,7,20,3.75,1601,25.9,20.3,-6.3,0.595,338.16,34.61,16,9.77
1.0,2.0,0.5,7,20,4.0,1783,26.7,13.3,-4.2,0.472,335.34,26.66,22,12.578
1.5,3.0,1.5,10,20,2.0,630,39.2,29.0,-16.0,1.643,334.73,37.53,11,8.92
1.5,3.0,0.8,7,20,3.75,672,28.3,20.3,-6.3,1.221,326.2,26.71,18,12.213
0.8,3.0,0.5,5,20,6.0,2907,18.7,14.5,-3.0,0.281,291.76,27.08,34,10.772
0.8,3.0,0.5,10,10,6.0,2907,18.7,29.0,-6.0,0.562,291.76,27.08,34,10.772
1.5,1.5,0.8,10,30,1.88,712,42.7,14.0,-9.0,0.82,281.79,41.96,14,6.716
1.5,3.0,1.0,5,30,3.0,660,31.5,14.5,-5.5,0.803,280.58,28.12,17,9.977
1.0,3.0,1.0,7,30,3.0,1528,29.4,20.3,-7.7,0.528,276.79,53.5,15,5.174
1.0,3.0,1.0,10,20,3.0,1528,29.4,29.0,-11.0,0.754,271.27,51.62,15,5.255
1.5,2.0,0.8,7,30,2.5,699,35.9,13.3,-6.3,0.738,256.81,29.8,14,8.617
1.5,3.0,1.0,7,20,3.0,660,31.5,20.3,-7.7,1.124,253.57,26.45,17,9.588
0.8,3.0,0.5,3,30,6.0,2907,18.7,8.7,-1.8,0.169,249.97,24.59,34,10.168
1.0,3.0,1.0,10,30,3.0,1528,29.4,29.0,-11.0,0.754,248.52,67.89,15,3.661
1.0,3.0,0.5,7,10,6.0,1697,20.3,20.3,-4.2,0.781,246.6,11.95,22,20.644
1.5,3.0,0.5,7,10,6.0,694,24.6,20.3,-4.2,1.837,243.94,9.23,23,26.439
