entry_pct,tp_pct,sl_pct,leverage,pos_ratio,rr_ratio,total_trades,win_rate,avg_tp_pct,avg_sl_pct,expectancy,total_return_pct,mdd_pct,max_consec_losses,sharpe
1.5,2.0,0.5,10,30,4.0,1455,29.5,19.0,-6.0,1.371,17061.53,45.99,18,371.01
1.5,3.0,0.5,10,30,6.0,1399,21.2,29.0,-6.0,1.405,10441.83,75.82,31,137.728
1.5,1.5,0.5,10,30,3.0,1477,35.1,14.0,-6.0,1.014,4802.25,54.62,13,87.923
1.5,2.0,0.5,7,30,4.0,1455,29.5,13.3,-4.2,0.96,4258.44,34.36,18,123.925
1.5,2.0,0.8,10,30,2.5,1427,36.2,19.0,-9.0,1.144,4160.43,65.82,13,63.212
1.5,3.0,0.8,10,30,3.75,1361,27.1,29.0,-9.0,1.303,3672.59,79.34,24,46.292
1.5,2.0,0.5,10,20,4.0,1455,29.5,19.0,-6.0,1.371,3609.28,32.96,18,109.5
1.5,3.0,0.5,7,30,6.0,1399,21.2,20.3,-4.2,0.984,3253.91,62.21,31,52.301
1.5,3.0,0.5,10,20,6.0,1399,21.2,29.0,-6.0,1.405,2815.19,60.34,31,46.658
1.5,3.0,0.8,7,30,3.75,1361,27.1,20.3,-6.3,0.912,1692.43,64.33,24,26.309
1.5,2.0,0.8,7,30,2.5,1427,36.2,13.3,-6.3,0.801,1652.78,50.12,13,32.978
1.5,1.5,0.5,7,30,3.0,1477,35.1,9.8,-4.2,0.71,1627.83,40.9,13,39.797
1.5,3.0,0.8,10,20,3.75,1361,27.1,29.0,-9.0,1.303,1521.09,62.24,24,24.439
1.5,2.0,0.5,5,30,4.0,1455,29.5,9.5,-3.0,0.686,1511.43,25.61,18,59.015
1.5,2.0,0.8,10,20,2.5,1427,36.2,19.0,-9.0,1.144,1468.5,48.13,13,30.511
1.5,1.5,0.5,10,20,3.0,1477,35.1,14.0,-6.0,1.014,1428.77,39.23,13,36.42
1.5,2.0,1.0,10,30,2.0,1405,39.9,19.0,-11.0,0.957,1370.16,80.9,12,16.937
1.5,3.0,0.5,5,30,6.0,1399,21.2,14.5,-3.0,0.703,1289.98,49.61,31,26.004
1.5,2.0,0.5,7,20,4.0,1455,29.5,13.3,-4.2,0.96,1256.46,24.07,18,52.197
1.5,1.5,0.8,10,30,1.88,1452,42.6,14.0,-9.0,0.789,1243.88,79.24,11,15.697
1.5,3.0,0.5,7,20,6.0,1399,21.2,20.3,-4.2,0.984,1089.02,47.17,31,23.087
1.5,3.0,1.0,10,30,3.0,1334,30.1,29.0,-11.0,1.054,858.85,92.34,16,9.301
1.5,3.0,0.8,5,30,3.75,1361,27.1,14.5,-4.5,0.651,829.03,50.39,24,16.452
1.5,2.0,1.0,7,30,2.0,1405,39.9,13.3,-7.7,0.67,768.21,66.53,12,11.547
1.5,2.0,0.8,5,30,2.5,1427,36.2,9.5,-4.5,0.572,766.91,37.5,13,20.453
1.5,3.0,0.8,7,20,3.75,1361,27.1,20.3,-6.3,0.912,722.07,47.73,24,15.129
1.5,1.5,0.5,5,30,3.0,1477,35.1,7.0,-3.0,0.507,712.77,30.42,13,23.428
1.5,2.0,1.0,10,20,2.0,1405,39.9,19.0,-11.0,0.957,706.96,64.5,12,10.961
1.5,2.0,0.8,7,20,2.5,1427,36.2,13.3,-6.3,0.801,664.18,35.24,13,18.85
1.5,1.5,0.8,7,30,1.88,1452,42.6,9.8,-6.3,0.552,634.32,64.75,11,9.796
1.5,3.0,1.0,7,30,3.0,1334,30.1,20.3,-7.7,0.738,626.83,81.96,16,7.648
1.5,1.5,0.5,7,20,3.0,1477,35.1,9.8,-4.2,0.71,613.46,28.58,13,21.468
1.5,3.0,1.0,10,20,3.0,1334,30.1,29.0,-11.0,1.054,590.32,80.25,16,7.356
1.5,1.5,0.8,10,20,1.88,1452,42.6,14.0,-9.0,0.789,580.34,62.73,11,9.251
1.5,2.0,0.5,5,20,4.0,1455,29.5,9.5,-3.0,0.686,568.58,17.68,18,32.166
1.5,2.0,0.5,10,10,4.0,1455,29.5,19.0,-6.0,1.371,568.58,17.68,18,32.166
1.5,1.5,1.0,10,30,1.5,1436,46.7,14.0,-11.0,0.664,542.76,89.85,12,6.041
1.5,3.0,0.5,10,10,6.0,1399,21.2,29.0,-6.0,1.405,519.63,36.32,31,14.306
1.5,3.0,0.5,5,20,6.0,1399,21.2,14.5,-3.0,0.703,519.63,36.32,31,14.306
1.5,2.0,0.5,3,30,4.0,1455,29.5,5.7,-1.8,0.411,457.6,16.02,18,28.568
1.5,2.0,1.0,5,30,2.0,1405,39.9,9.5,-5.5,0.479,435.48,52.81,12,8.246
1.5,3.0,0.5,3,30,6.0,1399,21.2,8.7,-1.8,0.422,422.87,33.31,31,12.693
1.5,3.0,1.0,5,30,3.0,1334,30.1,14.5,-5.5,0.527,400.81,69.34,16,5.78
1.5,2.0,1.0,7,20,2.0,1405,39.9,13.3,-7.7,0.67,388.95,50.15,12,7.756
1.5,3.0,0.8,10,10,3.75,1361,27.1,29.0,-9.0,1.303,385.67,36.07,24,10.691
1.5,3.0,0.8,5,20,3.75,1361,27.1,14.5,-4.5,0.651,385.67,36.07,24,10.691
1.5,3.0,1.0,7,20,3.0,1334,30.1,20.3,-7.7,0.738,363.72,66.61,16,5.461
1.5,1.5,1.0,7,30,1.5,1436,46.7,9.8,-7.7,0.465,353.5,78.43,12,4.507
1.5,1.5,0.8,5,30,1.88,1452,42.6,7.0,-4.5,0.395,351.73,51.19,11,6.871
1.5,2.0,0.8,5,20,2.5,1427,36.2,9.5,-4.5,0.572,349.86,25.79,13,13.565
1.5,2.0,0.8,10,10,2.5,1427,36.2,19.0,-9.0,1.144,349.86,25.79,13,13.565
1.5,1.5,1.0,10,20,1.5,1436,46.7,14.0,-11.0,0.664,331.47,76.63,12,4.326
1.5,3.0,0.8,3,30,3.75,1361,27.1,8.7,-2.7,0.391,321.83,32.91,24,9.78
1.5,1.5,0.5,5,20,3.0,1477,35.1,7.0,-3.0,0.507,318.03,20.91,13,15.209
1.5,1.5,0.5,10,10,3.0,1477,35.1,14.0,-6.0,1.014,318.03,20.91,13,15.209
1.5,1.5,0.8,7,20,1.88,1452,42.6,9.8,-6.3,0.552,313.9,48.58,11,6.461
1.5,2.0,0.8,3,30,2.5,1427,36.2,5.7,-2.7,0.343,291.55,23.34,13,12.493
