entry_pct,tp_pct,sl_pct,leverage,pos_ratio,rr_ratio,total_trades,win_rate,avg_tp_pct,avg_sl_pct,expectancy,total_return_pct,mdd_pct,max_consec_losses,sharpe
1.5,2.0,0.5,10,30,4.0,1815,29.5,19.0,-6.0,1.383,65180.89,39.07,18,1668.447
1.5,3.0,0.5,10,30,6.0,1741,20.9,29.0,-6.0,1.318,21038.43,56.34,21,373.428
1.5,2.0,0.5,7,30,4.0,1815,29.5,13.3,-4.2,0.968,11492.85,28.81,18,398.877
1.5,2.0,0.8,10,30,2.5,1773,36.2,19.0,-9.0,1.139,10174.58,51.98,11,195.744
1.5,2.0,0.5,10,20,4.0,1815,29.5,19.0,-6.0,1.383,9360.49,27.6,18,339.17
1.5,1.5,0.5,10,30,3.0,1851,34.6,14.0,-6.0,0.926,7992.97,55.89,18,143.009
1.5,3.0,0.5,7,30,6.0,1741,20.9,20.3,-4.2,0.922,5688.02,40.98,21,138.787
1.5,3.0,0.5,10,20,6.0,1741,20.9,29.0,-6.0,1.318,4832.83,39.14,21,123.477
1.5,3.0,0.8,10,30,3.75,1669,26.8,29.0,-9.0,1.177,4561.19,69.12,20,65.986
1.0,3.0,0.5,10,30,6.0,3850,18.9,29.0,-6.0,0.6,4459.71,74.15,34,60.147
1.5,2.0,0.8,7,30,2.5,1773,36.2,13.3,-6.3,0.797,3338.02,37.57,11,88.856
1.5,2.0,0.5,5,30,4.0,1815,29.5,9.5,-3.0,0.691,3209.08,21.29,18,150.714
1.5,2.0,0.8,10,20,2.5,1773,36.2,19.0,-9.0,1.139,2897.74,36.05,11,80.377
1.0,3.0,0.5,7,30,6.0,3850,18.9,20.3,-4.2,0.42,2630.02,58.81,34,44.719
1.5,2.0,0.5,7,20,4.0,1815,29.5,13.3,-4.2,0.968,2563.68,19.98,18,128.283
1.5,1.5,0.8,10,30,1.88,1816,42.6,14.0,-9.0,0.79,2490.83,73.84,11,33.734
1.5,1.5,0.5,7,30,3.0,1851,34.6,9.8,-4.2,0.648,2430.04,42.38,18,57.346
1.0,3.0,0.5,10,20,6.0,3850,18.9,29.0,-6.0,0.6,2396.26,56.76,34,42.219
1.5,3.0,0.8,7,30,3.75,1669,26.8,20.3,-6.3,0.824,2139.25,51.95,20,41.175
1.5,1.5,0.5,10,20,3.0,1851,34.6,14.0,-6.0,0.926,2105.41,40.71,18,51.723
1.5,3.0,0.5,5,30,6.0,1741,20.9,14.5,-3.0,0.659,2011.91,29.6,21,67.959
1.5,3.0,0.8,10,20,3.75,1669,26.8,29.0,-9.0,1.177,1919.91,49.89,20,38.486
1.5,3.0,0.5,7,20,6.0,1741,20.9,20.3,-4.2,0.922,1664.8,27.65,21,60.216
1.0,2.0,0.5,10,30,4.0,4217,25.6,19.0,-6.0,0.391,1451.66,75.64,29,19.191
1.5,2.0,1.0,10,30,2.0,1725,39.5,19.0,-11.0,0.843,1414.63,70.58,11,20.043
1.0,3.0,0.5,5,30,6.0,3850,18.9,14.5,-3.0,0.3,1344.17,45.36,34,29.631
1.5,2.0,0.8,5,30,2.5,1773,36.2,9.5,-4.5,0.569,1342.0,28.07,11,47.802
1.0,3.0,0.5,7,20,6.0,3850,18.9,20.3,-4.2,0.42,1168.64,42.86,34,27.269
1.5,2.0,0.8,7,20,2.5,1773,36.2,13.3,-6.3,0.797,1134.04,26.4,11,42.961
1.5,1.5,0.8,7,30,1.88,1816,42.6,9.8,-6.3,0.553,1114.8,58.77,11,18.969
1.5,3.0,0.8,5,30,3.75,1669,26.8,14.5,-4.5,0.589,1029.2,38.78,20,26.538
1.5,1.5,0.8,10,20,1.88,1816,42.6,14.0,-9.0,0.79,1003.98,56.75,11,17.691
1.5,2.0,0.5,5,20,4.0,1815,29.5,9.5,-3.0,0.691,992.82,14.59,18,68.027
1.5,2.0,0.5,10,10,4.0,1815,29.5,19.0,-6.0,1.383,992.82,14.59,18,68.027
1.5,1.5,0.5,5,30,3.0,1851,34.6,7.0,-3.0,0.463,982.99,31.84,18,30.873
1.0,2.0,0.5,7,30,4.0,4217,25.6,13.3,-4.2,0.274,973.58,61.05,29,15.947
1.0,2.0,0.5,10,20,4.0,4217,25.6,19.0,-6.0,0.391,906.46,59.06,29,15.347
1.5,3.0,0.8,7,20,3.75,1669,26.8,20.3,-6.3,0.824,891.89,36.55,20,24.404
1.5,2.0,1.0,7,30,2.0,1725,39.5,13.3,-7.7,0.59,843.58,54.57,11,15.457
1.5,1.5,0.5,7,20,3.0,1851,34.6,9.8,-4.2,0.648,834.77,29.96,18,27.861
1.5,2.0,1.5,10,30,1.33,1633,48.3,19.0,-16.0,0.911,822.04,88.57,9,9.282
1.5,2.0,1.0,10,20,2.0,1725,39.5,19.0,-11.0,0.843,779.35,52.5,11,14.846
1.5,2.0,0.5,3,30,4.0,1815,29.5,5.7,-1.8,0.415,769.55,13.21,18,58.267
1.5,3.0,0.5,10,10,6.0,1741,20.9,29.0,-6.0,1.318,732.24,19.71,21,37.144
1.5,3.0,0.5,5,20,6.0,1741,20.9,14.5,-3.0,0.659,732.24,19.71,21,37.144
1.5,2.0,1.5,7,30,1.33,1633,48.3,13.3,-11.2,0.637,656.48,74.79,9,8.778
1.5,2.0,1.5,10,20,1.33,1633,48.3,19.0,-16.0,0.911,621.96,72.67,9,8.558
1.5,1.5,1.0,10,30,1.5,1780,46.4,14.0,-11.0,0.601,617.12,83.31,8,7.407
1.0,3.0,0.5,10,10,6.0,3850,18.9,29.0,-6.0,0.6,605.71,32.47,34,18.653
1.0,3.0,0.5,5,20,6.0,3850,18.9,14.5,-3.0,0.3,605.71,32.47,34,18.653
1.5,3.0,0.5,3,30,6.0,1741,20.9,8.7,-1.8,0.395,583.86,17.72,21,32.958
1.0,2.0,0.5,5,30,4.0,4217,25.6,9.5,-3.0,0.195,578.32,47.87,29,12.08
1.5,1.5,0.8,5,30,1.88,1816,42.6,7.0,-4.5,0.395,560.94,45.54,11,12.318
1.5,2.0,0.8,10,10,2.5,1773,36.2,19.0,-9.0,1.139,541.4,19.41,11,27.891
1.5,2.0,0.8,5,20,2.5,1773,36.2,9.5,-4.5,0.569,541.4,19.41,11,27.891
1.0,2.0,0.5,7,20,4.0,4217,25.6,13.3,-4.2,0.274,517.86,45.37,29,11.414
