entry,exit,hold,result,net_ret,hurst,rsi_entry,window,ts_entry,ts_exit
30291.78481,30435.5,48,timeout,0.0033443619087296355,0.49,38.485524339770485,1,2023-07-10 21:45:00,2023-07-11 09:45:00
26898.36709,26749.353216520678,1,sl,-0.006839885487499375,0.49,31.359636168710793,1,2023-09-18 17:15:00,2023-09-18 17:30:00
27702.108139999997,27489.07966981735,13,sl,-0.00898997323619017,0.49,29.56575786037577,1,2023-10-02 18:30:00,2023-10-02 21:45:00
28254.67386,28252.9,48,timeout,-0.0014627811175165874,0.49,27.171863148373106,1,2023-10-18 09:45:00,2023-10-18 21:45:00
33619.782909999994,33965.1,48,timeout,0.008871246870463631,0.49,30.9939106022601,1,2023-10-24 15:15:00,2023-10-25 03:15:00
36633.08663,36123.75357501671,2,sl,-0.015203634714913181,0.49,38.815979715428625,1,2023-11-09 16:00:00,2023-11-09 16:30:00
44770.62716,44427.38876744813,1,sl,-0.008966597819262404,0.49,33.18262153799499,2,2024-01-03 11:00:00,2024-01-03 11:15:00
46189.35265,47532.92936467546,33,tp,0.027688450856984653,0.49,34.72222487642004,2,2024-01-09 12:45:00,2024-01-09 21:00:00
49174.64797,48722.80081728222,1,sl,-0.010488619977380091,0.49,21.61325594596417,2,2024-02-13 14:00:00,2024-02-13 14:15:00
61095.923279999995,61554.6,48,timeout,0.006107484875838726,0.49,31.033834090481804,2,2024-02-29 17:30:00,2024-03-01 05:30:00
61353.70059,62949.67041966936,20,tp,0.02471260908994765,0.49,32.409259326453,2,2024-03-01 15:45:00,2024-03-01 20:45:00
66669.39481999999,65457.390032366195,44,sl,-0.0195793278745978,0.49,33.66928313444093,2,2024-03-05 05:00:00,2024-03-05 16:00:00
68965.58347,68413.26607595888,33,sl,-0.009408594522822814,0.49,29.850760390594388,2,2024-03-10 14:30:00,2024-03-10 22:45:00
71758.72116,73058.80254051607,43,tp,0.016717398965587594,0.49,34.745473777290115,2,2024-03-12 03:15:00,2024-03-12 14:00:00
72261.67199999999,72993.5,48,timeout,0.008727471171716157,0.49,32.76894762010885,2,2024-03-13 13:45:00,2024-03-14 01:45:00
