entry_dt,exit_dt,side,result,pnl_pct
2022-01-07 13:30:00+00:00,2022-01-07 14:15:00+00:00,short,loss,-2.9159
2022-01-24 08:45:00+00:00,2022-01-24 10:00:00+00:00,short,win,4.9036
2022-01-31 12:00:00+00:00,2022-01-31 13:30:00+00:00,short,loss,-1.6436
2022-02-05 15:00:00+00:00,2022-02-05 16:45:00+00:00,long,loss,-1.4815
2022-02-06 13:00:00+00:00,2022-02-06 13:30:00+00:00,short,loss,-1.0838
2022-02-06 14:30:00+00:00,2022-02-06 17:15:00+00:00,short,loss,-1.6945
2022-02-23 11:45:00+00:00,2022-02-23 12:45:00+00:00,short,loss,-1.914
2022-03-17 05:00:00+00:00,2022-03-17 10:30:00+00:00,short,win,3.8527
2022-04-06 10:15:00+00:00,2022-04-06 10:30:00+00:00,long,loss,-1.3204
2022-04-09 10:30:00+00:00,2022-04-09 15:15:00+00:00,long,loss,-1.0436
2022-04-14 13:30:00+00:00,2022-04-14 14:00:00+00:00,short,win,3.0401
2022-04-16 15:00:00+00:00,2022-04-16 15:15:00+00:00,short,loss,-1.0252
2022-04-17 13:30:00+00:00,2022-04-17 13:45:00+00:00,long,loss,-0.8546
2022-04-22 13:30:00+00:00,2022-04-22 13:45:00+00:00,short,loss,-1.7377
2022-05-12 07:15:00+00:00,2022-05-12 16:45:00+00:00,long,win,17.6861
2022-07-03 05:00:00+00:00,2022-07-03 08:45:00+00:00,short,win,3.5026
2022-08-21 20:45:00+00:00,2022-08-21 21:00:00+00:00,short,loss,-1.507
2022-09-09 16:30:00+00:00,2022-09-09 17:00:00+00:00,short,loss,-2.3945
2022-09-09 23:15:00+00:00,2022-09-10 04:45:00+00:00,short,loss,-2.07
2022-09-13 12:30:00+00:00,2022-09-13 12:45:00+00:00,short,rsi_exit,3.5924
2022-09-21 18:00:00+00:00,2022-09-21 18:30:00+00:00,short,loss,-5.1156
2022-09-30 00:30:00+00:00,2022-09-30 07:15:00+00:00,short,loss,-1.9804
2022-10-07 12:30:00+00:00,2022-10-07 12:45:00+00:00,short,win,3.2279
2022-10-23 21:15:00+00:00,2022-10-23 21:45:00+00:00,short,loss,-1.1202
2022-10-29 17:45:00+00:00,2022-10-30 07:00:00+00:00,short,loss,-1.6095
2022-12-08 11:45:00+00:00,2022-12-08 13:00:00+00:00,long,loss,-0.7462
2022-12-10 13:15:00+00:00,2022-12-10 14:30:00+00:00,short,loss,-0.4471
